Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,County,Op Status,Coverage,Sponsor,Last update,Coordination,Features,AllStar,Downlink Tone,Commands,Web links,DMR Enabled,Color Code,DMR ID,IPSC Network,Wide Network,Grid,Links,Notes,YSF Digital Enabled,DG-ID,Mixed-Mode,D-STAR Enabled,Node,Sources,Nets,IRLP,Affiliate,P-25 Digital Enabled,NAC,Default Reflector,EchoLink,Talkgroup Network,Talkgroups,Rocky Mountain Wide,Southern Colorado,Central Regional,Northern Colorado Regional,Feed,On-air,WIRES-X,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Local Network,Devilshead Local,Worldwide,North America,English,TAC 310,Local/Cluster,N. Colorado,Worldwide English,DCI Bridge,Colorado,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,Mountain Reg USA,Bandwidth,Eastern Colorado,TAC 311,Colorado Chat,Location Photo,Wyoming,WyLOCAL
448.625,-5,100,W0TX,"Golden, Centennial Cone",CO,OPEN,,,7.28,W,,08,112,39.7525,-105.358,448.625,443.625,100,Jefferson,On-Air,Denver metro area.,Denver Radio Club,2017-03-11,CCARC,E-power.,,100,,DRC Repeaters,,,,,,,"Full-time to 145.49000 (W0TX) at Idaho Springs, Centennial Cone, CO .",,,,,,,,DRC: Sun at 20:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.985,-0.6,100,K0FEZ,"Golden, Centennial Cone",CO,OPEN,I,,7.33,W,,08,82,39.7525,-105.359,146.985,146.385,100,Denver,On-Air,,El Jebel RADOPS,2016-09-05,CCARC,E-power.,,100,,,,,,,,,,,,,,,,,RADOPS: Sun at 19:00.,3346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.28,-0.6,100,KE0SJ,"Golden, Centennial Cone",CO,OPEN,,,7.33,W,,08,140,39.7525,-105.359,145.28,144.68,100,Jefferson,On-Air,Wide area.,,2015-05-22,CCARC,"Closed autopatch, e-power, linked.",,,,Intermountain Repeater Group,,,,,,,"Full-time to 449.52500 (KE0SJ) at Golden, Centennial Cone, CO .","PL is usually off, allowing use by older transceivers.",,,,,,,Sun at 19:30. Everyone welcome.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.525,-5,CSQ,KE0SJ,"Golden, Centennial Cone",CO,OPEN,,,7.33,W,,08,138,39.75249863,-105.35900116,449.525,444.525,CSQ,Jefferson,On-Air,,KE0SJ,2015-05-23,CCARC,E-power.,,,,Intermountain Repeater Group,,,,,,DM79HS,"Full-time to 145.28000 (KE0SJ) at Golden, Centennial Cone, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.64,-0.6,100,WB0TUB,"Golden, Centennial Cone",CO,OPEN,,,7.33,W,,08,77,39.7525,-105.359,146.64,146.04,100,Jefferson,On-Air,Wide area. Repeater Coverage Map,Denver Radio League,2017-03-11,CCARC,E-power.,,,,DRL Repeaters,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.8375,-25.8,D205,KI0HC,"Golden, Centennial Cone",CO,OPEN,,,7.73,W,,08,9702,39.7658,-105.366,927.8375,902.025,,Jefferson,On-Air,Great coverage of the Denver area and I-76 East to Atwood MM112. I-70 East to Agate MM340. West to Idaho Springs MM240. And I-25 from Larkspur MM172 to Longmont MM240 depending on the hills. Now linked with Almagre 927.7250 for great coverage south,,2018-12-23,CCARC,Linked with Chief 927.9375 &amp; Almagre 927.7250 for wide area coverage,45770,,,,,,,,,,,The offset is -25.8125,,,,,,,,,,yes,293,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7875,-5,CC,W0TX,"Denver, Centennial Cone",CO,OPEN,,D,7.73,W,,08,7165,39.7657,-105.366,446.7875,441.7875,,Jefferson,On-Air,,Denver Radio Club,2017-12-09,CCARC,,,,"Any Brandmeister talk group is available on time slot 1, too many to list here, see website. https://dmrx.net/files/US_BM_User_Guide.pdf. TG's are PTT enabled and will timeout after 15 minutes of inactivity. Time Slot 2 Talk Group 310805 is local repeater only.",http://www.w0tx.org/,yes,1,,,,,,,,,,,,,,,Brandmeister Network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.34,-0.6,103.5,KE4GUQ,Evergreen,CO,OPEN,I,,9.87,SSW,,08,73,39.6333,-105.317,145.34,144.74,103.5,Jefferson,On-Air,Wide area.,Rocky Mtn Radio League,2019-08-15,CCARC,E-power.,,127.3,,Repeater,,,,,,,,,,,,,,,,3350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.175,-0.6,CC,N0SZ,"Evergreen, Squaw Mountain",CO,OPEN,,D,9.87,SSW,,08,10932,39.6333,-105.317,145.175,144.575,,Clear Creek,On-Air,,Rocky Mountain Ham Radio,2018-11-25,CCARC,700,,,,Rocky Mountain Ham Radio,yes,7,310810,,,,,Voice ID is required for data/GPS/text on TG 705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.9375,-25.9,,KI0HC,"Indian Hills, Chief Mtn",CO,OPEN,,,10.76,S,,08,17457,39.6,-105.21,927.9375,902.025,,Jefferson,On-Air,"Wide area,Denver,Colorado Springs, Pueblo, Loveland. I70 East of Denver to Genoa and I25 North to Loveland &amp; South to Aguilar. I76 East to Atwood",,2018-12-23,CCARC,linked to Centennial Cone 927.8375 &amp; Almagre 927.7250,,,,,,,,,,,,,,,,,,,,,,yes,293,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.3,-5,100,N1UPS,Westminster,CO,OPEN,EI,,11.27,E,ON - IDLE,08,8208,39.83670044,-105.03700256,449.3,444.3,100,Adams,On-Air,,N1UPS,2017-04-24,CCARC,,,,,,,,,,,,,,,,,,,,,3699,,,,,43699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.85,-5,141.3,AC0KQ,"Evergreen, Saddleback Mountain",CO,OPEN,A,,11.91,WSW,,08,9580,39.7189,-105.44,447.85,442.85,141.3,Clear Creek,Off-Air,Wide area at 9500',AC0KQ,2019-08-23,CCARC,AllStar node repeater providing wide area coverage along the Front Range,29571,141.3,,,,,,,,,,,,,,,,,,,Rocky Mountain Ham Radio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.175,-5,100,W0JRL,"Denver, Broadway Plaza Lofts",CO,OPEN,EA,,12.43,ESE,ON - IDLE,08,12216,39.75519943,-104.98699951,447.175,442.175,100,Denver,On-Air,,W0JRL,2015-05-15,CCARC,,29997,100,Standard AllStar Link access commands.,,,,,,,DM79MS,,,,,,,,,,,,,,,201712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.925,-5,100,K0FEZ,Denver,CO,OPEN,,,12.6,ESE,,08,8196,39.73759842,-104.98500061,447.925,442.925,100,Denver,On-Air,,RADOPS El Jebel Shriners,2014-07-03,CCARC,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.9,-5,CSQ,WB0TPT,Denver,CO,OPEN,,,12.6,ESE,,08,8195,39.73759842,-104.98500061,447.9,442.9,CSQ,Denver,Off-Air,,WB0TPT,2017-03-11,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.65,-5,136.5,WR0AEN,Denver,CO,OPEN,,S,12.6,ESE,,08,8212,39.73759842,-104.98500061,449.65,444.65,,Denver,On-Air,,Colorado Amateur Repeater Network (CARN),2012-11-16,CCARC,,,,,,,,,,,,,,,,,yes,WR0AEN (B),jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
