Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,D-STAR Enabled,Node,Sources,County,Grid,Op Status,Coverage,Sponsor,Features,Web links,Coordination,Last update,Uplink Tone,Downlink Tone,P-25 Digital Enabled,NAC,Default Reflector,Mixed-Mode,Links,DMR Enabled,Color Code,DMR ID,IPSC Network,Wide Network,Notes,Nets,YSF Digital Enabled,DG-ID,WIRES-X,Local Network,On-air,Affiliate,EchoLink,IRLP,AllStar,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,Feed,Talkgroups,Southern Colorado,Devilshead Local,Commands,Rocky Mountain Wide,Central Regional,Bandwidth,TAC 310,TAC 311,Colorado,Colorado Chat,Eastern Colorado,Talkgroup Network,Northern Colorado Regional,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Location Photo,DCI Bridge,N. Colorado,Mountain Reg USA,Local/Cluster,Worldwide,North America,English,Worldwide English,Wyoming,WyLOCAL,REACT,CO-Park County
145.13,-0.6,88.5,KB0VJJ,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,,46.76,SSW,,08,37,38.74520111,-104.86199951,145.13,144.53,,,,El Paso,,On-Air,Wide area: South toward Pueblo and north to Monument. Decent coverage to the east. Little coverage to the west.,Colorado Connection,9,,CCARC,2019-11-11,88.5,123,,,,,Full-time to the Colorado Connection System .,,,,,,Linked into the Colorado Connection System,Colorado Traffic Net: Daily at 19:00. Colorado Connection Net (all welcome): Thu at 20:00. Statewide ARES: Sun at 20:00. Colorado Preparedness Net: Sat at 09:30,,,,,,,,,,,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9125,-5,,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,S,46.77,SSW,,08,8087,38.74509811,-104.86199951,446.9125,441.9125,yes,KC0CVU (B) Repeater,jfindu lookup / dstar-users lookup,El Paso,,Off-Air,,Cheyenne Mountain Repeater Group (CMRG),,,,2019-12-28,,,,,,,,,,,,,This DStar repeater is up but not truly functional. It serves as a local repeater presently as it is not connected to the internet for now.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.85,-25,D114,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,,46.77,SSW,,08,7171,38.74499893,-104.86199951,927.85,902.85,,,,Teller,DM78NR,On-Air,,CMRG,9,http://www.cmrg.org,CCARC,2017-03-09,D114,,,,,,"Full-time to 147.34500 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO . Full-time to 448.10000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.0625,-5,CC,N0SZ,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,D,46.77,SSW,"Welcome to The RMHAM DMR Machine, located on Cheyenne Mountain above Colorado Springs This machine sits atop Cheyenne Mountain overlooking Colorado Springs and Pueblo. The talkgroups that are setup on this system are the Fun Machine Analog transcoded and statically linked on TS1 as TG310815. At this time TS2 will carry TG3108 and 3740 statically and the following are all PTTable with a 15 minute activity timeout (310,31079,31080,31082,31083,31084,31085,31086,31088,310895,311,312,31200,31203,313,31327,314,3140,31400,31408,3148,315,31563,316,31600,31601,31602,31603,31604,31605,31606,31607,31608,31609,31623,31648,31652,317,318,319,3740,91,9112,93). No other TGs are PTTable from this system unless they are enabled. If you have a specific TG that would would like added to TS2 as a PTT TG please let me know and I will consider adding it.",08,12355,38.74509811,-104.86199951,445.0625,440.0625,,,,El Paso,,On-Air,,Rocky Mountain Ham Radio,Rocky Mountain Ham Radio Brandmeister Sites,,CCARC,2019-11-27,,,,,,,,yes,1,310857,RMHAM c Record retrieved from radioid.net,,"This machine sits atop Cheyenne Mountain overlooking Colorado Springs and Pueblo. The talkgroups that are setup on this system are the Fun Machine Analog transcoded and statically linked on TS1 as TG310815. At this time TS2 will carry TG3108 statically and the following are all PTTable with a 15 minute activity timeout (310,31079,31080,31082,31083,31084,31085,31086,31088,311,312,31200,31203,313,31327,314,3140,31400,31408, 3148,315,31563,316,31600,31601,31602,31603,31604,31605,31606,31607,31608,31609,31623,31648,31652,317,318,319,3740,91,9112,93). No other TGs are PTTable from this system unless they are enabled. If you have a specific TG that would would like added to TS2 as a PTT TG please let me know and I will consider adding it.",,,,,,,N0SZ Colorado Springs Brandmeister,,,,,,,,,"Open Talkgroup View Assignment TS TG Access TAC 310 2 310 PTT TAC 311 2 311 PTT Colorado 2 3108 Full-Time Colorado Chat 2 31080 PTT function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",,,,,,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,
53.13,-1.7,107.2,WA6IFI,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,,46.77,SSW,,08,8158,38.74499893,-104.86199951,53.13,51.43,,,,El Paso,DM78NR,On-Air,,Cheyenne Mountain Repeater Group (CMRG),,http://www.cmrg.org,CCARC,2017-03-09,107.2,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.385,-0.6,,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,S,46.8,SSW,,08,8088,38.74449921,-104.86199951,145.385,144.785,yes,KC0CVU (C) Repeater,jfindu lookup / dstar-users lookup,El Paso,DM78NR,Testing,Wide area,Cheyenne Mountain Repeater Group (CMRG),,http://www.cmrg.org,CCARC,2019-12-29,,,,,,,,,,,,,"This repeater is operational and linked to XRF720. Currently, INBOUND traffic is making it in but OUTBOUND traffic is not getting to the gateway or reflector. We hope to have this resolved soon.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.925,-5,114.8,K0EB,Hudson,CO,OPEN,EI,,47.46,NNW,Node Offline,08,8216,40.02019882,-104.64199829,449.925,444.925,,,,Weld,DN70,On-Air,,K0EB,,,CCARC,2018-12-01,114.8,114.8,,,,,,,,,,,,,,,,,,K0UPS Club,448035,8035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.625,-5,100,KE0SJ,Lochbuie,CO,OPEN,,,47.53,NNW,,08,9771,40.00719833,-104.71600342,447.625,442.625,,,,Adams,,On-Air,Local/North Metro,Intermountain Repeater Group,,Intermountain Repeater Group,,2015-05-23,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.345,0.6,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,I,,47.7,SSW,,08,47,38.73720169,-104.87999725,147.345,147.945,,,,El Paso,DM78NR,On-Air,Wide area.,,"Closed autopatch, e-power.",http://www.cmrg.org/,CCARC,2018-01-15,107.2,107.2,,,,,"Full-time to 927.85000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO . Full-time to the Cheyenne Mtn Repeater Group System .",,,,,,,,,,,,,,,3854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.16,-0.6,107.2,W0CRA,"Colorado Springs, Cheyenne Mountain",CO,OPEN,EI,,47.7,SSW,ON - IDLE,08,38,38.73720169,-104.87999725,145.16,144.56,,,,El Paso,,On-Air,"Wide area: Colorado Springs, Pueblo, and other areas of southeast and south central Colorado.",Colorado Repeater Association,"Closed autopatch, e-power.",http://www.w0cra.org/info/cosprgs.html#145160,CCARC,2017-11-13,107.2,107.2,,,,,"Full-time to 145.46000 (W0CRA) at Boulder, Eldorado Mountain, CO . Full-time to 147.22500 (W0CRA) at Larkspur, Westcreek, CO .",,,,,,Switch to this repeater at mile marker 170 on I-25.,,,,,,,CRA VHF Link System,347086,3990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,,47.72,SSW,,08,41,38.73720169,-104.8809967,146.76,146.16,,,,El Paso,DM78NR,On-Air,,Cheyenne Mountain Repeater Group,"Closed autopatch, e-power.",,CCARC,2018-01-15,107.2,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,-5,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,,47.72,SSW,,08,269,38.73720169,-104.8809967,448,443,,,,El Paso,DM78NR,On-Air,,,,CMRG Repeaters,CCARC,2018-01-15,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.1,-5,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,,47.72,SSW,,08,53,38.73720169,-104.8809967,448.1,443.1,,,,El Paso,DM78NR,On-Air,Wide area.,,"Closed autopatch, e-power.",CMRG Repeaters,CCARC,2018-01-15,107.2,107.2,,,,,"Full-time to 927.85000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8375,-5,CC,WA2YZT,"Golden, Lookout",CO,OPEN,,D,48.75,WNW,,08,3753,39.73049927,-105.23200226,446.8375,441.8375,,,,Jefferson,DM79JR,On-Air,,WA2YZT,200,,CCARC,2019-11-27,,,,,,,Full-time to the Colorado TRBO System .,yes,7,310802,RMHR c Record retrieved from radioid.net,,See website for more info on CC/TS/TG programming. www.rmham.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.25,-0.6,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,S,48.79,WNW,,08,3739,39.73049927,-105.23300171,145.25,144.65,yes,W0CDS (C) Repeater,jfindu lookup / dstar-users lookup,Jefferson,DM79JR,On-Air,,Colorado D-Star,,Colorado D-Star,CCARC,2014-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9625,-5,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,S,48.79,WNW,,08,2769,39.73049927,-105.23300171,446.9625,441.9625,yes,W0CDS (B) Repeater,jfindu lookup / dstar-users lookup,Jefferson,DM79JR,On-Air,,Colorado D-Star,,Colorado D-Star,CCARC,2017-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1283.9625,-20,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,S,48.79,WNW,,08,3751,39.73049927,-105.23300171,1283.9625,1263.9625,yes,W0CDS (A) Repeater,jfindu lookup / dstar-users lookup,Jefferson,DM79JR,On-Air,,Colorado D-Star,,Colorado D-Star,CCARC,2014-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1299.9,0,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,S,48.79,WNW,,08,8222,39.73049927,-105.23300171,1299.9,1299.9,yes,W0CDS (A) DVAP 24/7,jfindu lookup / dstar-users lookup,Jefferson,,On-Air,,Colorado D-Star,,Colorado D-Star,,2014-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
