Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,County,Op Status,EchoLink,IRLP,Coordination,Last update,Coverage,Sponsor,Web links,Downlink Tone,Grid,Affiliate,Features,Links,AllStar,Notes,Nets,Feed,YSF Digital Enabled,DG-ID,WIRES-X,Commands,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,D-STAR Enabled,Node,Sources,Mixed-Mode,DMR Enabled,Color Code,Wide Network,DMR ID,On-air,Local Network,P-25 Digital Enabled,NAC,Default Reflector,IPSC Network,Talkgroups,TAC 310,DCI Bridge,N. Colorado,Mountain Reg USA,Local/Cluster,Worldwide,North America,English,Talkgroup Network,Rocky Mountain Wide,Southern Colorado,Central Regional,Northern Colorado Regional,Worldwide English,Colorado,Devilshead Local,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,Bandwidth,Eastern Colorado,TAC 311,Colorado Chat,Wyoming,WyLOCAL,Location Photo
447.45,-5,123,KC0RBT,Fort Collins,CO,OPEN,E,,40.46,NNW,ON - IDLE,08,276,40.5153,-105.147,447.45,442.45,123,Larimer,On-Air,447450,,CCARC,2016-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7375,-5,CC,N0AOL,Fort Collins,CO,OPEN,,D,40.46,NNW,,08,8505,40.5153,-105.147,446.7375,441.7375,,Larimer,On-Air,,,CCARC,2017-03-11,Wide area: North Front Range.,N0AOL - NoCo C-Bridge Network,http://nocodmr.kt0l.net:8080/nocodmr/documentation.htm,,,,DMR-MARC World Wide Network,,,Repeater ID: 310803,"DMR World Wide Net: Sat at 10:00. TS 1 Group Call 1 http://www.dmr-marc.net/ Tac 310 Net: Sun at 18:00, TS 1 Group Call 310 .",,,,,,,,,,,,,,,yes,2,,,,,,,,,"Open Talkgroup View Assignment TS TG Access Worldwide 1 1 North America 1 3 English 1 13 TAC 310 1 310 Local/Cluster 2 2 N. Colorado 2 3171 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",1,,2,,2,1,1,1,,,,,,,,,,,,,,,,,,,
447.5,-5,88.5,N0OWY,"Conifer, Critchell Mountain",CO,OPEN,,,40.84,SSW,,08,60,39.4703,-105.198,447.5,442.5,88.5,Jefferson,On-Air,,,CCARC,2014-04-28,Wide area.,Aurora Repeater Association,,88.5,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,-5,136.5,WR0AEN,"Idaho Springs, Squaw Mountain",CO,OPEN,,,41.08,WSW,,08,8250,39.6732,-105.48,449,444,136.5,Clear Creek,On-Air,,,CCARC,2017-03-11,,CARN,,136.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287.9,-20,CSQ,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,,41.11,SW,,08,103,39.5211,-105.305,1287.9,1267.9,CSQ,Jefferson,Off-Air,,,CCARC,2017-10-07,Fort Collins to Colorado Springs.,Colorado Repeater Association (CRA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.3,0.6,103.5,N0PYY,"Evergreen, Squaw Mountain",CO,OPEN,,,41.22,WSW,,08,84,39.6781,-105.487,147.3,147.9,103.5,Clear Creek,On-Air,,,CCARC,2017-03-11,Wide area.,Denver PD EEB,,103.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.675,-5,100,W0CFI,"Idaho Springs, Squaw Mountain",CO,OPEN,,,41.29,WSW,,08,94,39.6774,-105.488,448.675,443.675,100,Denver,On-Air,,,CCARC,2015-04-03,Wide area.,W0CFI,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.2,-5,82.5,N6RFI,"Severance, Cactus Hill",CO,OPEN,,,41.4,N,,08,8188,40.581,-104.906,447.2,442.2,82.5,Weld,On-Air,,,CCARC,2017-03-11,,N6RFI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.67,-0.6,100,KB0UDD,"Idaho Springs, Squaw Mountain",CO,OPEN,,,41.41,WSW,,08,78,39.6794,-105.492,146.67,146.07,100,Clear Creek,On-Air,,,CCARC,2016-09-08,"North to Cheyenne, Wy - East to Limon, Co - South to Colorado Springs, Co and West to the Continental Divide.",Castle Rock Repeater Group,,100,,,11,,,,CRRG/QCWA: Sun at 0930. Southern Metro LDS Ham Group: Sun at 1900. ARES23: Thu at 1930. ARES13: Sun at 2000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.145,-0.6,107.2,W0CRA,"Idaho Springs, Squaw Mountain",CO,OPEN,,,41.41,WSW,,08,107,39.6794,-105.492,145.145,144.545,107.2,Clear Creek,On-Air,,,CCARC,2018-07-23,Wide area. Denver metro.,Colorado Repeater Assoc,http://www.w0cra.org/info/squaw.html#145145,107.2,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.575,-5,107.2,W0CRA,"Idaho Springs, Squaw Mountain",CO,OPEN,EI,,41.41,WSW,Node Offline,08,264,39.6794,-105.492,447.575,442.575,107.2,Clear Creek,On-Air,347088,3291,CCARC,2017-11-13,Wide area: Denver metro.,Colorado Repeater Association (CRA),http://www.w0cra.org,107.2,,,,,,,,,,,,Member-only IRLP and Echolink node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.49,-0.6,100,W0TX,"Idaho Springs, Centennial Cone",CO,OPEN,,,41.41,WSW,,08,76,39.6794,-105.492,145.49,144.89,100,Jefferson,On-Air,,,CCARC,2017-03-11,,"KB0VIU, Denver Radio Club",DRC Repeaters,100,,,E-power.,"Full-time to 448.62500 (W0TX) at Golden, Centennial Cone, CO .",,,DRC: Sun at 20:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.35,-5,100,W0TX,"Idaho Springs, Squaw Mountain",CO,OPEN,E,,41.41,WSW,ON - IDLE,08,98,39.6794,-105.492,449.35,444.35,100,Clear Creek,On-Air,4140,,CCARC,2017-03-11,Wide area.,Denver Radio Club,DRC Repeaters,100,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9375,-5,CC,N0SZ,"Idaho Springs, Squaw Mountain",CO,OPEN,,D,41.44,WSW,,08,7190,39.6798,-105.493,446.9375,441.9375,,Clear Creek,On-Air,,,CCARC,2017-01-13,,Rocky Mountain Ham Radio,Rocky Mountain Ham Radio,,,,,Full-time to the Colorado TRBO System .,,See the website for programming information.,,,,,,,,,,,,,,,,yes,7,,,,,,,,,"Open Talkgroup View Assignment TS TG Access Rocky Mountain Wide 1 700 Full-Time Southern Colorado 2 719 Full-Time Central Regional 2 720 Full-Time Northern Colorado Regional 2 721 Full-Time function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",,,,,,,,,RMHAM,1,2,2,2,,,,,,,,,,,,,,
448.225,-5,141.3,N0SZ,"Idaho Springs, Squaw Mountain",CO,OPEN,,,41.44,WSW,,08,8197,39.6797,-105.493,448.225,443.225,141.3,Clear Creek,On-Air,,,CCARC,2016-05-24,,Rocky Mountain Ham Radio,,141.3,,,E-power(gen).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.94,-0.6,103.5,W0WYX,"Idaho Springs, Squaw Mountain",CO,OPEN,,,41.44,WSW,,08,81,39.6798,-105.493,146.94,146.34,103.5,Clear Creek,On-Air,,,CCARC,2017-03-11,"Wide area: west to the Continental Divide, south to Colorado Springs, east to Limon, and north to Cheyenne.",Rocky Mtn Radio League,Repeater,103.5,,,11,"Linkable to 449.82500 (W0WYX) at Broomfield, CO . Linkable to 449.45000 (K1DUN) at Idaho Springs, Squaw Mountain, CO .",,,Colorado WX: Daily at 06:30. RMRL: Mod at 20:30. Astronomy: Tue at 19:00. Amateur Radio Events: Tue at 20:00.,Listen Live,,,,Autopatch: 911* / Off 0*.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.45,-5,103.5,K1DUN,"Idaho Springs, Squaw Mountain",CO,OPEN,,,41.45,WSW,,08,99,39.6794,-105.493,449.45,444.45,103.5,Clear Creek,On-Air,,,CCARC,2016-12-23,"Wide area: West to the Continental Divide, south to Colorado Springs, east to Limon, and north to Cheyenne.",Rocky Mountain Radio League,Repeater,127.3,,,11,,,,RMRL: Mon at 20:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.85,-5,,K0PRA,Franktown,CO,OPEN,,S,41.62,S,,08,11473,39.3935,-104.675,446.85,441.85,,Douglas,On-Air,,,CCARC,2018-03-18,,Parker Radio Association,http://parkerradio.org,,,,D-Star B module,,,,,,,,,,,,,,,yes,K0PRA (B) Repeater,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.685,-0.6,123,N0FH,Estes Park,CO,OPEN,EI,,42.16,NW,ON - IDLE,08,119,40.3601,-105.451,146.685,146.085,123,Larimer,On-Air,625757,7268,CCARC,2017-08-05,Estes Valley and east RMNP - some coverage E and SE (Loveland and Denver),Estes Valley ARC,,,,,E-power.,"Full-time to 449.80000 (N0FH) at Estes Park, CO .",,"Both Echolink and IRLP are open, IRLP connect is a four digit node number only and '73' to disconnect. Top of Hour time is announced from 0600 to 2200.",ARES D-10: Thu at 19:00.,,,,,"The EchoLink node connects to both machines. The node is open (no passwords; touch tone only the the ' * ' character followed by a four, five, or six digit node number where you wish to connect). The disconnect is ' # '.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.775,-5,CC,W0DMR,"Fort Collins, Timnath",CO,OPEN,,D,42.41,N,,08,10995,40.5938,-104.926,446.775,441.775,,Larimer,On-Air,,,CCARC,2017-01-11,"Fort Collins east side, into Red Feather Lakes area.",W0DMR - NoCo C-bridge Network,W0DMR,,,Brandmeister Network,,,,"Any additional Brandmeister talk group is available on time slot 1, too many to list here, see website. https://dmrx.net/files/US_BM_User_Guide.pdf",,,,,,"Repeater ID: 310806, TS 1: TG 91 - World Wide, TG 93 - North America, TG 3100 USA. TS 2: TG 2 - Local, TG 3171 - No. Colorado, TG 3108 Colorado Statewide.",,,,,,,,,,yes,2,,,,,,,,,"Open Talkgroup View Assignment TS TG Access Worldwide English 1 91 Full-Time North America 1 93 Full-Time DCI Bridge 1 3100 Full-Time Local/Cluster 2 2 Colorado 2 3108 Full-Time N. Colorado 2 3171 Full-Time function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",,1,2,,2,,1,,BrandMeister US,,,,,1,2,,,,,,,,,,,,
446.75,-5,CC,K7PFJ,"Fort Collins, Horsetooth Mountain",CO,OPEN,,D,42.65,NNW,,08,8715,40.5388,-105.179,446.75,441.75,,Larimer,On-Air,,,CCARC,2013-12-01,,Rocky Mountain Ham Radio,http://www.rmham.org,,,,,Full-time to the Colorado TRBO System .,,See website for complete info on color codes/time slot assignment.,,,,,,,,,,,,,,,,yes,7,,,,,,,,,"Open Talkgroup View Assignment TS TG Access Rocky Mountain Wide 1 700 Northern Colorado Regional 2 721 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",,,,,,,,,,1,,,2,,,,,,,,,,,,,,
145.265,-0.6,CC,KB0VGD,"Fort Collins, Horsetooth Mountain",CO,OPEN,,D,42.65,NNW,,08,14274,40.5388,-105.179,145.265,144.665,,Larimer,On-Air,,,CCARC,2017-01-11,Northern Colorado Front Range Wide Area coverage.,W0DMR - NoCo C-bridge Network,http://www.w0dmr.org/,,,Brandmeister Network,,,,"Any additional Brandmeister talk group is available on time slot 1, too many to list here, see website. https://dmrx.net/files/US_BM_User_Guide.pdf",,,,,,"Repeater ID: 310831, TS 1: TG 91 - World Wide, TG 93 - North America, TG 3100 USA. TS 2: TG 2 - Local, TG 3171 - No. Colorado, TG 3108 Colorado Statewide.",,,,,,,,,,yes,2,,,,,,,,,"Open Talkgroup View Assignment TS TG Access Worldwide English 1 91 Full-Time North America 1 93 Full-Time DCI Bridge 1 3100 Full-Time Local/Cluster 2 2 Colorado 2 3108 Full-Time N. Colorado 2 3171 Full-Time function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",,1,2,,2,,1,,BrandMeister US,,,,,1,2,,,,,,,,,,,,
147.36,0.6,100,W0QEY,"Fort Collins, CSU Durward Hall",CO,OPEN,,,42.65,NNW,,08,125,40.5708,-105.077,147.36,147.96,100,Larimer,On-Air,,,CCARC,2017-03-11,Map,CO State Univ ARC,,100,,,Closed autopatch.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.12,0.6,88.5,N0ARA,"Critchell, Critchell Mountain",CO,OPEN,,,43.08,SW,,08,59,39.5148,-105.353,147.12,147.72,88.5,Jefferson,On-Air,,,CCARC,2016-01-17,Denver metro and east.,Aurora Repeater Association,http://www.n0ara.org,88.5,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.115,-0.6,100,W0UPS,"Fort Collins, Horsetooth Mountain",CO,OPEN,E,,43.11,NNW,ON - IDLE,08,123,40.5397,-105.196,145.115,144.515,100,Larimer,On-Air,4236,,CCARC,2016-10-25,Wide area.,Northern Colorado ARC,,100,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.52,-1.6,100,W0UPS,"Fort Collins, Horsetooth Mountain",CO,OPEN,,,43.11,NNW,,08,275,40.5397,-105.196,224.52,222.92,100,Larimer,Off-Air,,,CCARC,2018-03-21,,Northern Colorado ARC,,100,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.275,-5,100,W0UPS,"Fort Collins, Horsetooth Mountain",CO,OPEN,,,43.11,NNW,,08,126,40.5397,-105.196,447.275,442.275,100,Larimer,On-Air,,,CCARC,2018-07-23,Wide area.,Northern Colorado ARC,,100,,,"Closed autopatch, e-power.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
