Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,County,Op Status,EchoLink,IRLP,Coordination,Last update,Coverage,Sponsor,Web links,Downlink Tone,Grid,Affiliate,Features,Links,AllStar,Notes,Nets,Feed,YSF Digital Enabled,DG-ID,WIRES-X,Commands,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,D-STAR Enabled,Node,Sources,Mixed-Mode,DMR Enabled,Color Code,Wide Network,DMR ID,On-air,Local Network,P-25 Digital Enabled,NAC,Default Reflector,IPSC Network,Talkgroups,TAC 310,DCI Bridge,N. Colorado,Mountain Reg USA,Local/Cluster,Worldwide,North America,English,Talkgroup Network,Rocky Mountain Wide,Southern Colorado,Central Regional,Northern Colorado Regional,Worldwide English,Colorado,Devilshead Local,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,Bandwidth,Eastern Colorado,TAC 311,Colorado Chat,Wyoming,WyLOCAL,Location Photo
448.3,-5,100,AA0L,Colorado Springs,CO,OPEN,,,79.56,S,,08,8200,38.8339,-104.821,448.3,443.3,100,El Paso,On-Air,,,CCARC,2016-08-10,,AA0L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.35,-5,151.4,K0IRP,Colorado Springs,CO,OPEN,,,79.56,S,,08,50,38.8339,-104.821,447.35,442.35,151.4,El Paso,On-Air,,,CCARC,2015-03-04,,GGARC,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.06,-1.6,,KB0SRJ,Colorado Springs,CO,CLOSED,,,79.56,S,,08,8182,38.8339,-104.821,224.06,222.46,,El Paso,,,,CCARC,2012-11-12,Wide area.,Pikes Peak FM Association (PPFMA),,,,,"E-power, linked.",,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.025,-5,123,KF0WF,Colorado Springs,CO,OPEN,,,79.56,S,,08,49,38.8339,-104.821,447.025,442.025,123,El Paso,Off-Air,,,CCARC,2016-08-10,,Colorado Springs ARA,,,,,"Closed autopatch, e-power, linked, remote base.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.25,-5,123,N0KG,"Colorado Springs, Broadmoor Area",CO,OPEN,,,79.56,S,,08,8198,38.8339,-104.821,448.25,443.25,123,El Paso,Off-Air,,,CCARC,2018-09-25,Colorado Springs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.475,-5,107.2,NX0G,Colorado Springs,CO,OPEN,,,79.56,S,,08,51,38.8339,-104.821,447.475,442.475,107.2,El Paso,,,,CCARC,2012-11-10,,Mountain ARC (MARC),,,,,"Closed autopatch, e-power.","Full-time to 146.68500 (NX0G) at Lake George, Badger Mountain, CO . Full-time to 146.82000 (NX0G) at Woodland Park, CO . Full-time to 448.65000 (NX0G) at Woodland Park, CO . Full-time to 147.01500 (NX0G) at Cripple Creek, CO .",,,MARC/PCRC: Tue at 1930.,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.6,-5,114.8,W0MOG,Colorado Springs,CO,OPEN,,,79.56,S,,08,55,38.8339,-104.821,448.6,443.6,114.8,El Paso,,,,CCARC,2012-11-10,,W0MOG,,,,,,"Full-time to 927.80000 (W0MOG) at Colorado Springs, CO .",,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.8,-25,D116,W0MOG,Colorado Springs,CO,OPEN,,,79.56,S,,08,3537,38.8339,-104.821,927.8,902.8,D116,Teller,On-Air,,,CCARC,2012-11-10,,,,,,,6,"Full-time to 448.60000 (W0MOG) at Colorado Springs, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.55,-5,123,WA6IFI,Colorado Springs,CO,OPEN,,,79.56,S,,08,8191,38.8339,-104.821,447.55,442.55,123,El Paso,On-Air,,,CCARC,2015-11-13,,WA6IFI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.235,-0.6,131.8,KB7SWR,Cheyenne,WY,OPEN,,,79.79,N,,56,19,41.14,-104.82,145.235,144.635,114.8,Laramie,On-Air,,,WRCG,2017-01-04,Local: Cheyenne.,N7GT,,,,,,"Full-time to 448.15000 (KB7SWR) at Cheyenne, WY .",,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.105,0.6,91.5,KC7SNO,"Cheyenne, North Park",WY,OPEN,,,79.79,N,,56,26,41.14,-104.82,147.105,147.705,91.5,Laramie,On-Air,,,WRCG,2019-02-15,,ShyWyArc,,91.5,DN71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.9,-5,100,N7JJY,Cheyenne,WY,OPEN,,,79.79,N,,56,15518,41.14,-104.82,449.9,444.9,100,Laramie,On-Air,,,,2017-01-04,From 5 miles to 25 miles,N7JJY,,100,,,,,,To be used as a portable repeater for ARES/RACES or as needed for specific needs of the Amateur Community in Laramie County or other areas as needed. Repeater will be on when needed otherwise offline.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,CC,WY7EOC,Cheyenne,WY,OPEN,,D,79.79,N,,56,10803,41.13999939,-104.81999969,449.975,444.975,,Laramie,On-Air,,,WRCG,2020-02-27,,WY7EOC,,,,Laramie County Emergency Management/WY7EOC,,,,See the website for TG/TS/CC programming info and link status/info,,,,,,,,,,,,,,,,yes,11,,315601,,Wyoming DMR Project,,,,WyDMR c Record retrieved from radioid.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.97,-0.6,100,KB0SRJ,"Colorado Springs, Pikes Peak",CO,OPEN,,,80,S,,08,44,38.84,-105.04,146.97,146.37,100,El Paso,On-Air,,,CCARC,2019-08-16,"Wide area. line-of-sight coverage to pretty much the entire prairie of Colorado, from the mountains eastward to Kansas, with signal as far as New Mexico and Wyoming depending on where you are.",Pikes Peak FM Assoc,PPFMA Repeaters,,,,e-power.,"Linkable to 448.45000 (KB0SRJ) at Colorado Springs, Pikes Peak, CO .",,,listed on http://ppfma.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,
448.45,-5,100,KB0SRJ,"Colorado Springs, Pikes Peak",CO,OPEN,,,80,S,,08,54,38.84,-105.04,448.45,443.45,100,El Paso,On-Air,,,CCARC,2019-03-07,"Wide area. line-of-sight coverage to pretty much the entire prairie of Colorado, from the mountains eastward to Kansas, with signal as far as New Mexico and Wyoming depending on where you are.",Pikes Pk FM Assoc,PPFMA Repeaters,,,,E-power.,"Linkable to 146.97000 (KB0SRJ) at Colorado Springs, Pikes Peak, CO .",,,see http://www.ppfma.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,
448.95,-5,CC,KC7DHF,"Cheyenne, Old airport control tower",WY,OPEN,,D,80.69,N,,56,8991,41.153,-104.818,448.95,443.95,,Laramie,On-Air,,,WRCG,2019-02-25,Local,,,,,,,,,Brandmiester DMR only no analog.,,,,,,,,,,,,,,,,yes,15,,315615,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.25,,,,,,
147.075,0.6,88.5,KB0VJJ,"Kremmling, Santoy Peak",CO,OPEN,,,83.07,W,,08,166,40.0589,-106.388,147.075,147.675,88.5,Grand,On-Air,,,CCARC,2016-05-23,Flattops Wilderness Area well and can even be worked from the Front Range in some locations. Coverage at the east end of Glenwood Canyon to Eagle is available in some spots along I-70. Map,Colorado Connection,,123,,,,Full-time to the Colorado Connection System .,,Part of the Colorado Connection system of Repeaters,Colorado Traffic Net: Daily at 19:30. Colorado Connection Net (all welcome): Thu at 20:00. Statewide ARES: Sun at 20:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.725,-5,123,KA0TTF,"Colorado Springs, Fillmore Hill",CO,OPEN,,,83.3,S,,08,56,38.78,-104.85,448.725,443.725,123,El Paso,On-Air,,,CCARC,2016-04-19,,KA0TTF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,100,KB7SWR,Cheyenne,WY,OPEN,,,83.34,NNW,,56,20,41.1525,-105.221,448.15,443.15,100,Laramie,Off-Air,,,WRCG,2017-01-04,,KB7SWR,,,,,,"Full-time to 145.23500 (KB7SWR) at Cheyenne, WY .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.18,0.6,100,AA0SP,"Colorado Springs, Almagre Mountain",CO,PRIVATE,,,84.3,S,,08,8178,38.7725,-104.993,147.18,147.78,100,El Paso,On-Air,,,CCARC,2017-03-09,"Located on South Almagre Mountain at 12,367 feet, it provides excellent coverage of nearly all of El Paso County and points east, along with coverage extending south past Pueblo. Locations very close in to the Front Range, or in the shadow of Cheyenne Mountain are not covered well. Since this peak is shorter than Pikes Peak its coverage to the north is not as good as Pikes Peak, although there are points northeast of Colorado Springs where there is coverage.",AA0SP,,,,,E-power (solar).,,,This repeater is available for public service oriented communications with prior coordination. Contact Mike Proctor KB0IAP to coordinate its use.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.95,-5,CC,K7PFJ,"Colorado Springs, Almagre Mountain",CO,OPEN,,D,84.3,S,,08,5220,38.7726,-104.993,446.95,441.95,,Teller,On-Air,,,,2017-03-11,Monument Hill through Pueblo.,Rocky Mountain Ham Radio,,,,RMHAM,,"Full-time to 446.98750 (N0SZ) at Boulder, Lee Hill, CO .",,,,,,,,,,,,,,,,,,yes,7,,,,,,,,,"Open Talkgroup View Assignment TS TG Access Rocky Mountain Wide 1 700 Southern Colorado 2 719 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",,,,,,,,,,1,2,,,,,,,,,,,,,,,,
927.725,-25.7,D114,WA6IFI,"Colorado Springs, Almagre Mountain",CO,OPEN,,,84.3,S,,08,58,38.7726,-104.993,927.725,902.025,,Teller,On-Air,,,CCARC,2018-12-01,"Wide area: Along I-25 from Raton Pass to Pueblo, really solid from Pueblo through Colorado Springs, to Castle Rock, Now we are linked to Centennial Cone 927.8375 &amp; Chief Mtn 927.9375 in the Denver area.",WA6IFI,Yahoo Group,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,yes,293,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.235,-0.6,CC,N0SZ,"Colorado Springs, Almagre Mountain",CO,OPEN,,D,84.34,S,,08,17250,38.772,-104.993,145.235,144.635,,El Paso,On-Air,,,CCARC,2018-12-23,Wide area,RMHAM,Rocky Mountain Ham Radio,,,,,,,Voice ID is required for data/GPS/text on TG 705,,,,,,,,,,,,,,,,yes,7,,310824,,,,,,,"Open Talkgroup View Assignment TS TG Access Rocky Mountain Wide 1 700 Eastern Colorado 2 705 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",,,,,,,,,,1,,,,,,,,,,,,2,,,,,
446.7375,-5,CC,K0RTS,"Genoa, Limon",CO,OPEN,,D,85.6,SE,,08,13581,39.2783,-103.5,446.7375,441.7375,,Lincoln,On-Air,,,CCARC,2016-01-31,"I-70 H-40 H-287 Arriba, Genoa, Hugo, Limon 50 mile radius",K0RTS KC0VJD,,,,RMHam,,,,Colorado on TG700 Slot 1 Denver on TG720 Slot 2,,,,,,,,,,,,,,,,yes,8,,,,,,,,,"Open Talkgroup View Assignment TS TG Access Rocky Mountain Wide 1 700 Central Regional 2 720 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",,,,,,,,,,1,,2,,,,,,,,,,,,,,,
146.61,-0.6,107.2,K0RV,"Vail, Bald Mountain",CO,OPEN,,,85.6,WSW,,08,256,39.6061,-106.356,146.61,146.01,107.2,Eagle,On-Air,,,CCARC,2012-11-10,,ECHO,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7625,-5,CC,N0SZ,"Fairplay, Badger",CO,OPEN,,D,85.62,SW,,08,12698,39.0469,-105.87,446.7625,441.7625,,Park,On-Air,,,,2017-03-11,,K7PFJ,,,,RMHAM,,,,,,,,,,,,,,,,,,,,yes,0,,,,,,,,,"Open Talkgroup View Assignment TS TG Access Rocky Mountain Wide 1 700 Central Regional 2 720 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",,,,,,,,,,1,,2,,,,,,,,,,,,,,,
145.13,-0.6,88.5,KB0VJJ,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,,85.72,S,,08,37,38.7452,-104.862,145.13,144.53,88.5,El Paso,On-Air,,,CCARC,2016-04-03,Wide area: South toward Pueblo and north to Monument. Decent coverage to the east. Little coverage to the west.,Colorado Connection,,123,,,9,Full-time to the Colorado Connection System .,,Linked into the Colorado Connection System,Colorado Traffic Net: Daily at 19:00. Colorado Connection Net (all welcome): Thu at 20:00. Statewide ARES: Sun at 20:00. Colorado Preparedness Net: Sat at 09:30,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9125,-5,,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,S,85.72,S,,08,8087,38.7451,-104.862,446.9125,441.9125,,El Paso,Off-Air,,,,2019-01-08,,Cheyenne Mountain Repeater Group (CMRG),,,,,,,,This DStar repeater is up but not truly functional. It serves as a local repeater presently as it is not connected to the internet for now.,,,,,,,,,,,,yes,KC0CVU (B) Repeater,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.0625,-5,CC,N0SZ,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,D,85.72,S,,08,12355,38.7451,-104.862,445.0625,440.0625,,El Paso,On-Air,,,CCARC,2019-02-10,,Rocky Mountain Ham Radio,,,,N0SZ Colorado Springs Brandmeister,Rocky Mountain Ham Radio Brandmeister Sites,,,"This machine sits atop Cheyenne Mountain overlooking Colorado Springs and Pueblo. The talkgroups that are setup on this system are the Fun Machine Analog transcoded and statically linked on TS1 as TG310815. At this time TS2 will carry TG3108 statically and the following are all PTTable with a 15 minute activity timeout (310,31079,31080,31082,31083,31084,31085,31086,31088,311,312,31200,31203,313,31327,314,3140,31400,31408, 3148,315,31563,316,31600,31601,31602,31603,31604,31605,31606,31607,31608,31609,31623,31648,31652,317,318,319,3740,91,9112,93). No other TGs are PTTable from this system unless they are enabled. If you have a specific TG that would would like added to TS2 as a PTT TG please let me know and I will consider adding it.",,,,,,,,,,,,,,,,yes,1,,310857,,,,,,,"Open Talkgroup View Assignment TS TG Access TAC 310 2 310 PTT TAC 311 2 311 PTT Colorado 2 3108 Full-Time Colorado Chat 2 31080 PTT function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",2,,,,,,,,,,,,,,2,,,,,,,,2,2,,,
927.85,-25,D114,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,,85.73,S,,08,7171,38.745,-104.862,927.85,902.85,D114,Teller,On-Air,,,CCARC,2017-03-09,,CMRG,http://www.cmrg.org,,,,9,"Full-time to 147.34500 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO . Full-time to 448.10000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.13,-1.7,107.2,WA6IFI,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,,85.73,S,,08,8158,38.745,-104.862,53.13,51.43,107.2,El Paso,On-Air,,,CCARC,2017-03-09,,Cheyenne Mountain Repeater Group (CMRG),http://www.cmrg.org,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.385,-0.6,,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,S,85.76,S,,08,8088,38.7445,-104.862,145.375,144.77,,El Paso,Off-Air,,,CCARC,2018-07-15,wide area,Cheyenne Mountain Repeater Group (CMRG),http://www.cmrg.org,,,,,,,Repeater off air for now.,,,,,,,,,,,,yes,KC0CVU (C) Repeater,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.8,-1.6,,N0AFO,Vail,CO,OPEN,,,85.8,WSW,,08,242,39.6403,-106.374,224.8,223.2,,Eagle,Off-Air,,,CCARC,2018-06-02,,ECHO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.9,-5,107.2,N0AFO,Vail,CO,OPEN,,,85.8,WSW,,08,243,39.6403,-106.374,449.9,444.9,107.2,Eagle,Off-Air,,,CCARC,,,ECHO,,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.4,-0.6,88.5,KB0VJJ,Akron,CO,OPEN,,,85.83,ESE,,08,2,40.1606,-103.214,145.4,144.8,88.5,Washington,On-Air,,,CCARC,2018-11-02,Northeastern plains of Colorado.,Colorado Connection,,123,,,,Full-time to the Colorado Connection System .,,Part of the Colorado Connection system of repeaters,Colorado Traffic Net: Daily at 19:30. Colorado Connection Net (all welcome): Thu at 20:00. Statewide ARES: Sun at 20:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.175,-5,CC,W0FT,Akron,CO,OPEN,,D,85.83,ESE,,08,16784,40.1605,-103.214,448.175,443.175,,Morgan,On-Air,,,CCARC,2018-02-01,,W0FT,http://www.rmham.org/,,,Rocky Mountain Ham Radio,,,,,,,,,,,,,,,,,,,,yes,7,,310833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.125,-5,103.5,AA0BF,"Fairplay, Sacramento Mountain",CO,OPEN,A,,86.1,SW,,08,5336,39.21,-106.087,447.125,442.125,103.5,Park,On-Air,,,CCARC,2019-03-08,"Covers Fairplay, Alma, and western South Park.",AA0BF,,103.5,DM69wf,"Park County Radio Club, AB0PC",Emergency automatic generator.,,45840,"Normally linked via Allstar to 45835 - AB0PC, Bailey, CO.","When connected to AB0PC - Bailey: ARES Mon 19:00, Park County Radio Club Wed 19:30.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,,86.3,S,,08,41,38.7372,-104.881,146.76,146.16,107.2,El Paso,On-Air,,,CCARC,2018-01-15,,Cheyenne Mountain Repeater Group,,107.2,,,"Closed autopatch, e-power.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.345,0.6,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,I,,86.3,S,,08,47,38.7372,-104.88,147.345,147.945,107.2,El Paso,On-Air,,3854,CCARC,2018-01-15,Wide area.,,http://www.cmrg.org/,107.2,,,"Closed autopatch, e-power.","Full-time to 927.85000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO . Full-time to the Cheyenne Mtn Repeater Group System .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,-5,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,,86.3,S,,08,269,38.7372,-104.881,448,443,107.2,El Paso,On-Air,,,CCARC,2018-01-15,,,CMRG Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.1,-5,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,,86.3,S,,08,53,38.7372,-104.881,448.1,443.1,107.2,El Paso,On-Air,,,CCARC,2018-01-15,Wide area.,,CMRG Repeaters,107.2,,,"Closed autopatch, e-power.","Full-time to 927.85000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.16,-0.6,107.2,W0CRA,"Colorado Springs, Cheyenne Mountain",CO,OPEN,EI,,86.3,S,ON - IDLE,08,38,38.7372,-104.88,145.16,144.56,107.2,El Paso,On-Air,347086,3990,CCARC,2017-11-13,"Wide area: Colorado Springs, Pueblo, and other areas of southeast and south central Colorado.",Colorado Repeater Association,http://www.w0cra.org/info/cosprgs.html#145160,107.2,,CRA VHF Link System,"Closed autopatch, e-power.","Full-time to 145.46000 (W0CRA) at Boulder, Eldorado Mountain, CO . Full-time to 147.22500 (W0CRA) at Larkspur, Westcreek, CO .",,Switch to this repeater at mile marker 170 on I-25.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.06,0.6,103.5,KE0AE,Genoa,CO,OPEN,A,,86.51,SE,,08,128,39.2688,-103.488,147.06,147.66,103.5,Lincoln,On-Air,,,CCARC,2019-07-21,"I-70, US-71, US-287, US-40, US-24",BSARC,http://www.bigsandyradio.com/,,,,"APRS repeater / weather station, remote base, e-power (solar - completely off the electrical grid).",,42740,,Big Sandy Net: Tues 19:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.445,-0.6,88.5,KB0VJJ,"Leadville, Mosquito Pass",CO,OPEN,,,87.42,WSW,,08,172,39.2814,-106.186,145.445,144.845,88.5,Lake,On-Air,,,CCARC,2019-08-16,,Colorado Connection,,,,,E-power (solar).,Full-time to the Colorado Connection System .,,"At 13,685;, it is one of the highest 2-meter repeaters in North America.",Central Colorado Traffic Net: Daily at 19:30. Colorado Connection Net (all welcome): Thu at 20:00. Statewide ARES: Sun at 20:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.4,-5,67,WB0WDF,Cripple Creek,CO,OPEN,,,87.68,SSW,,08,66,38.7467,-105.178,447.4,442.4,67,Teller,On-Air,,,CCARC,2012-06-15,,WB0WDF,,,,,"E-power, Solar, Remote Base",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.015,0.6,107.2,NX0G,Cripple Creek,CO,OPEN,,,87.69,SSW,,08,65,38.7466,-105.178,147.015,147.615,107.2,Teller,On-Air,,,CCARC,2016-11-17,,Mountain ARC,,,,,E-power.,"Full-time to 146.68500 (NX0G) at Lake George, Badger Mountain, CO . Full-time to 146.82000 (NX0G) at Woodland Park, CO . Full-time to 448.65000 (NX0G) at Woodland Park, CO . Full-time to 447.47500 (NX0G) at Colorado Springs, CO .",,,MARC/PCRC: Tue at 19:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.46,-0.6,67,WB0WDF,Cripple Creek,CO,OPEN,,,87.69,SSW,,08,64,38.7466,-105.178,145.46,144.86,67,Teller,On-Air,,,CCARC,2012-06-15,,WB0WDF,,,,RGARC,"E-power, 100% Solar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.94,-1.6,67,WB0WDF,Cripple Creek,CO,OPEN,,,87.69,SSW,,08,7203,38.7466,-105.178,224.94,223.34,67,Teller,Testing,,,CCARC,2012-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287.7,-20,67,WB0WDF,Cripple Creek,CO,OPEN,,,87.69,SSW,,08,67,38.7466,-105.178,1287.7,1267.7,67,Teller,Testing,,,CCARC,2012-06-18,,WB0WDF,,,,,,,,Testing in Canon City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.05,-5,CC,N0SZ,"Leadville, Mosquito Pass",CO,OPEN,,D,87.87,SW,,08,16783,39.2653,-106.182,445.05,440.05,,Lake,On-Air,,,CCARC,2018-07-07,,K2AD,http://www.rmham.org/,,,Rocky Mountain Ham Radio,,,,,,,,,,,,,,,,,,,,yes,7,,310852,,,,,,,"Open Talkgroup View Assignment TS TG Access Southern Colorado 2 719 Full-Time Central Regional 2 720 Full-Time Northern Colorado Regional 2 721 Full-Time function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",,,,,,,,,RMHAM,,2,2,2,,,,,,,,,,,,,,
145.265,-0.6,100,KB0SRJ,"Colorado Springs, ~2 mi ENE USAFA North Gate",CO,OPEN,,Y,88.91,S,,08,39,38.7,-104.9,145.265,144.665,,El Paso,On-Air,,,CCARC,2019-03-07,Local. Good coverage of I25 corridor from Baptist Rd south to Fort Carson.,Pikes Peak FM Association (http://PPFMA.ORG),PPFMA Repeaters,,,,,,,,,,yes,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.075,-5,CC,N0SZ,Vail,CO,OPEN,,D,89.64,WSW,,08,16781,39.6348,-106.447,445.075,440.075,,Eagle,On-Air,,,CCARC,2018-02-01,,K2AD,http://www.rmham.org/,,,Rocky Mountain Ham Radio,,,,,,,,,,,,,,,,,,,,yes,7,,310851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.345,0.6,88.5,KB0VJJ,Vail,CO,OPEN,,,89.76,WSW,,08,241,39.6554,-106.457,147.345,147.945,88.5,Eagle,On-Air,,,CCARC,2017-01-06,Wide area: Vail Pass to Glenwood Canyon and the Flattops Wilderness to Tennessee Pass. Map,Colorado Connection,,123,,,9,Full-time to the Colorado Connection System .,,,Central Colorado Traffic Net: Daily at 19:3030 Colorado Connection Net (All Welcome): Thu at 20:00. Statewide ARES net: Sun at 20:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.24,0.6,156.7,N0ZSN,"Leadville, Quail Mountain",CO,OPEN,,,93.35,WSW,,08,10827,39.2508,-106.293,147.24,147.84,156.7,Lake,On-Air,,,CCARC,2019-07-23,,,,156.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
