Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Op Status,Coverage,Sponsor,Features,Coordination,Last update,DMR Enabled,Color Code,IPSC Network,Wide Network,Affiliate,Nets,Web links,D-STAR Enabled,Node,Sources,Grid,Notes,EchoLink,DMR ID,Talkgroups,Worldwide,North America,English,TAC 310,Local/Cluster,N. Colorado,Rocky Mountain Wide,Northern Colorado Regional,Links,Talkgroup Network,Worldwide English,DCI Bridge,Colorado,Commands,Mountain Reg USA,YSF Digital Enabled,DG-ID,Mixed-Mode,P-25 Digital Enabled,NAC,Default Reflector,IRLP,Bandwidth,Local Network,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,AllStar,Wyoming,WyLOCAL,On-air,Feed,WIRES-X,Southern Colorado,Central Regional,Devilshead Local,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,Eastern Colorado,TAC 311,Colorado Chat,Location Photo
449.575,-5,100,W0LRA,"Loveland, Namaqua Hill",CO,OPEN,,,12.97,S,,08,181,40.39780045,-105.0739975,449.575,444.575,100,,Larimer,On-Air,,Loveland Rptr Assoc,"Closed autopatch, e-power.",CCARC,2018-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.875,-25.9,,KI0HC,"Fort Collins, Buckhorn Mountain",CO,OPEN,,,12.98,W,,08,18424,40.61669922,-105.32800293,927.875,902.025,,,Larimer,On-Air,"Wide area coverage, I 25 from Cheyenne south to MM 20 just north of Trinidad. I 76 East to MM 100. I 70 from Idaho Springs to Genoa. Highway 24 from the Colorado Springs to Limon. Highway 24 west of Colorado Springs is spotty to Hartsel. US 50 from Canon City to Las Animas. Salida south to the San Luis Valley to Antonito. Salida North to just south of Leadville. Repeater Coverage Map",RM Ham,,CCARC,2020-01-01,,,,,,,,,,,,,,,,,,,,,,,,Full-time to the The 900 P25 Network System .,,,,,,,,,,yes,293,yes,,,,,,,,,,,,,,,,,,,,,,,,,
147.195,0.6,100,W0LRA,"Loveland, Namaqua Hill",CO,OPEN,,,13.09,S,,08,179,40.39849854,-105.125,147.195,147.795,100,,Larimer,On-Air,,Loveland Repeater Assoc,"Closed autopatch, e-power.",CCARC,2016-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.1375,-5,CC,KB0VGD,Greeley,CO,OPEN,,D,22.65,SE,,08,18521,40.42331314,-104.70912933,445.1375,440.1375,,,Weld,On-Air,,,,,2020-02-17,yes,2,c Record retrieved from radioid.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.325,-5,136.5,WR0AEN,Greeley,CO,OPEN,,S,22.66,SE,,08,8210,40.4233017,-104.70899963,449.325,444.325,,,Weld,On-Air,,Colorado Amateur Repeater Network (CARN),,CCARC,2012-11-12,,,,,,,,yes,WR0AEN (B),jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.725,-5,127.3,K0OJ,"Greeley, UNC",CO,OPEN,,,23.63,SE,,08,159,40.40370178,-104.70300293,449.725,444.725,127.3,,Weld,On-Air,,K0OJ,"Autopatch, WX.",CCARC,2019-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.85,-0.6,100,W0UPS,"Greeley, UNC",CO,OPEN,,,23.77,SE,,08,156,40.40359879,-104.69999695,146.85,146.25,100,100,Weld,On-Air,,Northern Colorado ARC,"E-power, WX.",CCARC,2017-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.685,-0.6,123,N0FH,Estes Park,CO,OPEN,EI,,24.78,SW,ON - IDLE,08,119,40.36009979,-105.4509964,146.685,146.085,123,,Larimer,On-Air,Estes Valley and east RMNP - some coverage E and SE (Loveland and Denver),Estes Valley ARC,E-power.,CCARC,2017-08-05,,,,,,ARES D-10: Thu at 19:00.,,,,,DN70GI,"Both Echolink and IRLP are open, IRLP connect is a four digit node number only and '73' to disconnect. Top of Hour time is announced from 0600 to 2200.",625757,,,,,,,,,,,"Full-time to 449.80000 (N0FH) at Estes Park, CO .",,,,,"The EchoLink node connects to both machines. The node is open (no passwords; touch tone only the the ' * ' character followed by a four, five, or six digit node number where you wish to connect). The disconnect is ' # '.",,,,,,,,7268,,,,,,,,,,,,,,,,,,,,,,,,
449.8,-5,123,N0FH,Estes Park,CO,OPEN,EI,,27.1,WSW,ON - IDLE,08,120,40.37720108,-105.52100372,449.8,444.8,123,,Larimer,On-Air,,Estes Valley ARC,E-Power,CCARC,2017-08-05,,,,,,ARES D-10: Thu at 19:00.,,,,,,"Both Echolink and IRLP are open, IRLP connect is a four digit node number only and '73' to disconnect. Top of Hour time is announced from 0600 to 2200.",625757,,,,,,,,,,,"Full-time to 146.68500 (N0FH) at Estes Park, CO .",,,,,"The EchoLink node connects to both machines. The node is open (no passwords; touch tone only the the ' * ' character followed by a four, five, or six digit node number where you wish to connect). The disconnect is ' # '.",,,,,,,,7268,,,,,,,,,,,,,,,,,,,,,,,,
147.24,0.6,CC,N0WAR,"Estes Park, Prospect Mtn",CO,OPEN,,D,27.68,SW,"DMR BrandMeister Repeater in Estes Park, Colorado Wide area coverage of Estes Park, Colorado &amp; Rocky Mountain National Park. Static TG of 3171 on T.S. 2 Located @ KC0KBP QTH",08,17813,40.36059952,-105.51999664,147.24,147.84,,,Larimer,On-Air,Wide Area: Estes Park &amp; Rocky Mtn Nat Park,N0WAR,Brandmeister Network,,2019-11-27,yes,2,Brandmeister c Record retrieved from radioid.net,,W0DMR,,http://www.w0dmr.org,,,,DN70FI,,,310853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.525,-5,151.4,N0EPA,Longmont,CO,OPEN,E,,28.9,S,ON - IDLE,08,176,40.16719818,-105.10099792,448.525,443.525,151.4,,Boulder,On-Air,,N0EPA,,CCARC,2019-06-19,,,,,,,,,,,,,223853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.27,0.6,100,W0ENO,Longmont,CO,OPEN,,,28.9,S,,08,175,40.16719818,-105.10099792,147.27,147.87,100,100,Boulder,On-Air,Wide area: Northern Colorado.,Longmont ARC (LARC),"Closed autopatch, e-power, EchoLink.",CCARC,2017-03-11,,,,,,,http://w0eno.org/?q=node/11,,,,,,,,,,,,,,,,,"Linkable to 448.80000 (W0ENO) at Longmont, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.8,-5,88.5,W0ENO,Longmont,CO,OPEN,,,28.9,S,,08,177,40.16719818,-105.10099792,448.8,443.8,88.5,88.5,Boulder,On-Air,,Longmont ARC,30,CCARC,2017-03-11,,,,,,LARC: Sun at 20:00.,,,,,,,,,,,,,,,,,,"Linkable to 147.27000 (W0ENO) at Longmont, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,0.6,100,KC0KWD,LaSalle,CO,OPEN,I,Y,29.95,SE,,08,157,40.26119995,-104.70600128,147,147.6,,,Weld,On-Air,,Weld ARS,"Yaesu System Fusion, 20 Watts. Will be switching to DSQ on 1 Feb 2016.",CCARC,2019-05-06,,,,,,Tuesday Night club net,,,,,DN70PG,,,,,,,,,,,,,,,,,,,,yes,Open ↑ / Open ↓,,,,,3839,,,,,,,,,,,,,,,,,,,,,,,,
