Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Op Status,Sponsor,Coordination,Last update,Coverage,Web links,Links,Nets,DMR Enabled,Color Code,DMR ID,Wide Network,Affiliate,Notes,Features,Grid,IPSC Network,Talkgroups,Rocky Mountain Wide,Southern Colorado,Talkgroup Network,Worldwide,North America,English,Europe,TAC 310,DCI Bridge,Southwest USA,D-STAR Enabled,Node,Sources,EchoLink,AllStar,On-air,IRLP,Commands,Bandwidth,Mixed-Mode,P-25 Digital Enabled,NAC,Default Reflector,YSF Digital Enabled,DG-ID,Location Photo,Feed,Central Regional,Northern Colorado Regional,Eastern Colorado,TAC 311,Colorado,Colorado Chat
147.24,0.6,67,NM5ML,"Cuba, Eureka Mesa",NM,OPEN,,,104.4,SSE,,35,66,36.0135994,-106.84400177,147.24,147.84,67,,Sandoval,On-Air,,NMFCC,2018-01-07,Wide area.,,Full-time to the Mega-Link System .,,,,,,,,9,DM66NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,67,KF5PFO,"Tres Piedras, San Antonio Mountain",NM,OPEN,,,106.55,SE,,35,19,36.8594017,-106.01899719,146.76,146.16,67,,Rio Arriba,On-Air,Taos ARC,,2016-04-30,"Most of Taos County, eastern Rio Arriba County and the San Luis Valley in Southern Colorado.",,,,,,,,,,11,DM66XU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.22,0.6,100,NM5ML,"Tres Piedras, San Antonio Mountain",NM,OPEN,,,106.6,SE,,35,175,36.85969925,-106.01799774,147.22,147.82,100,,Rio Arriba,On-Air,New Mexico Mega Link Assoc,NMFCC,2017-01-23,Wide area.,,Full-time to the Mega-Link System .,,,,,,,,10,DM66XU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.2,-5,100,KC5WDV,"Gallup, Deza Bluffs",NM,OPEN,,,106.95,SSW,,35,13539,35.90309906,-108.77200317,448.2,443.2,100,,McKinley,On-Air,,NMFCC,2017-12-27,,,,,,,,,McKinley County ARES,,,DM55OV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.22,0.6,67,NM5ML,"Gallup, Deza Bluffs",NM,OPEN,,,106.95,SSW,,35,89,35.90309906,-108.77200317,147.22,147.82,67,,McKinley,On-Air,New Mexico Mega Link Assoc,NMFCC,2017-12-23,Wide area.,,Full-time to the Mega-Link System .,,,,,,,,"Closed autopatch, e-power.",DM55OV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.33,0.6,107.2,KI0MR,Paonia,CO,OPEN,,,111.18,N,,08,8179,38.8683,-107.592,147.33,147.93,107.2,,Delta,On-Air,North Fork Repeater Assoc.,CCARC,2016-05-16,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.195,0.6,107.2,KC0QXX,"Cedaredge, Cedar Mesa",CO,OPEN,,,112.4,N,,08,3745,38.9016,-107.926,147.195,147.795,107.2,,Delta,,,,2018-04-04,Local.,,,,,,,,Colorado District 25 ARES,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,
147.36,0.6,100,W0ALC,Cedaredge,CO,OPEN,,,112.4,N,,08,3749,38.90159988,-107.9260025,147.36,147.96,100,,Delta,On-Air,W0ALC,CCARC,2019-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.825,-5,100,W0ALC,Cedaredge,CO,OPEN,,,112.4,N,,08,3760,38.9016,-107.926,449.825,444.825,100,,Delta,,W0ALC,CCARC,2018-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,
147.04,0.6,141.3,NM5EM,"Abiquiu, Cerro Pelon",NM,OPEN,,,113.65,SE,,35,15632,36.2071991,-106.31900024,147.04,147.64,141.3,,Rio Arriba,Off-Air,NMEMA ARC,NMFCC,2017-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,67,KF5PFO,"Tres Piedras, San Antonio Mountain",NM,OPEN,,,114.19,SE,,35,174,36.64690018,-105.96700287,146.76,146.16,67,,Taos,On-Air,Taos ARC,,2016-08-20,"Wide area: Most of Taos County, Eastern Rio Arriba County and the San Luis Valley in Southern Colorado.",,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.175,-0.6,141.3,NM5EM,"Tres Piedras, San Antonio Mtn.",NM,OPEN,,,114.19,SE,,35,15616,36.64699936,-105.96700287,145.175,144.575,141.3,,Taos,Off-Air,NMEMA ARC,NMFCC,2017-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.9,-5,123,KD7HLL,Mexican Hat,UT,OPEN,,,114.2,W,,49,100,37.26929855,-109.95700073,449.9,444.9,123,,San Juan,On-Air,,UVHFS,2018-01-15,"Lake Powell area from Bullfrog to Wahweap and Hite, toward the south into Arizona and North as far as Boulder.",,,,,,,,,Part time link to two repeaters,6,DM57AG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,88.5,K7QEQ,"Moab, Bald Mesa",UT,OPEN,,,116.96,NW,,49,13042,38.5286,-109.322,146.76,146.16,88.5,,Grand,On-Air,Sinbad Desert ARC,UVHFS,2017-11-04,Moab and immediate surroundings.,http://www.sdarc.us/repeaters/bald.html,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.1,-5,107.2,K7QEQ,"Moab, Bald Mesa",UT,OPEN,,,117.07,NW,,49,52,38.5286,-109.325,449.1,444.1,107.2,107.2,Grand,On-Air,Grand Mesa Repeater Association (GMRA),UVHFS,2017-11-04,"Wide area: Moab and surrounding areas, including large portions of Arches and Canyonlands National Parks.",GMRA Repeaters,,RACES Wed. 1930 hours,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,100,W0GJT,Grand Junction,CO,OPEN,EI,,117.09,NNW,Node Offline,08,153,38.899,-108.496,448.15,443.15,100,,Mesa,On-Air,,CCARC,2016-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,312189,,,7963,,,,,,,,,,,,,,,,
447.65,-5,151.4,KB0YNA,"Gunnison, W Mountain or Tenderfoot Mountain",CO,OPEN,,,117.66,NE,,08,15212,38.6125,-106.543,447.65,442.65,151.4,151.4,Gunnison,On-Air,KB0YNA,CCARC,2016-10-28,Gunnison valley and along East and west on Highway 50.,,"Full-time to 448.65000 (KB0YNA) at Montrose, Waterdog Peak, CO . Full-time to 449.65000 (KB0YNA) at Grand Junction, Grand Mesa, CO .",,,,,,,,"Linked to 448.650 in Montrose, Colorado and 449.650 in Grand Junction, Colorado.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.35,-5,107.2,,"Cedaredge, Grand Mesa",CO,OPEN,,,118.89,N,,08,3755,38.9944,-107.973,447.35,442.35,107.2,,Delta,,Grand Mesa Repeater Assoc (GMRA),CCARC,2012-11-10,,GMRA Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,
145.41,-0.6,100,W5HO,La Cueva,NM,OPEN,,,119.23,SE,,35,15622,35.86729813,-106.63800049,145.41,144.81,100,,Santa Fe,Off-Air,W5HO,NMFCC,2017-08-25,,,,,,,,,,,,DM65QU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.325,-0.6,100,KD0MRC,Maysville,CO,OPEN,,,119.33,NE,,08,16739,38.50630188,-106.34500122,145.325,144.725,100,,Chaffee,On-Air,Chaffee Lake Amateur Repeater Association,,2019-09-04,wide area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443.1,5,100,NM5SC,"San Ysidro, Pajarito Peak",NM,OPEN,A,,122.94,SSE,,35,9767,35.69670105,-106.85900116,443.1,448.1,100,,Sandoval,On-Air,Sandoval County ARES,NMFCC,2017-02-10,Wide area - NW NM.,http://nmscares.org/,,Sandoval County ARES: Mon at 19:30.,,,,,ARRL,"KNWD TKR-850, RTCM Interface. 25W, 9000' MSL. (Pajarito Peak differs from Pajarito Mountain near Los Alamos)","Linked, e-power.",DM65NQ,,,,,,,,,,,,,,,,,27748,,,,,,,,,,,,,,,,,,
443,5,100,K5YEJ,"San Luis, Cabezon",NM,OPEN,,,123.74,SSE,,35,16603,35.59930038,-107.09600067,443,448,100,,Sandoval,On-Air,,NMFCC,2017-12-25,,,,,,,,,,,,DM65KO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.26,0.6,100,KC5WDV,"Gallup, Gibson Peak",NM,OPEN,,,123.78,SSW,,35,90,35.60509872,-108.68499756,147.26,147.86,100,,McKinley,On-Air,KC5WDV,NMFCC,2018-01-07,,,,,,,,,,,VHF/UHF Remote Bases,DM55PO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.65,-5,151.4,KB0YNA,"Grand Junction, Grand Mesa",CO,OPEN,I,,123.81,N,,08,8763,39.0666,-107.937,449.65,444.65,151.4,151.4,Mesa,On-Air,Keri Washburn,CCARC,2016-10-28,Wide area coverage,,"Full-time to 447.65000 (KB0YNA) at Gunnison, W Mountain or Tenderfoot Mountain, CO .",,,,,,,,NWS weather alert system.,,,,,,,,,,,,,,,,,,,,8162,11,,,,,,,,,,,,,,,
145.355,-0.6,88.5,KB0VJJ,"Grand Junction, Grand Mesa",CO,OPEN,,,123.82,N,,08,149,39.06669998,-107.93599701,145.355,144.755,88.5,123,Mesa,On-Air,Colorado Connection,CCARC,2017-01-06,"Rifle to the east, several miles east of Green River, Utah to the west.",,Full-time to the Colorado Connection System .,Central Colorado Traffic Net: Daily at 19:30. Colorado Connection Net (all welcome): Thu at 20:00. Statewide ARES: Sun at 20:00.,,,,,,Colorado Connection system of repeaters,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.3,-5,107.2,WA4HND,"Grand Junction, Grand Mesa",CO,OPEN,I,,124.56,N,,08,154,39.0539,-108.254,449.3,444.3,107.2,107.2,Mesa,On-Air,,CCARC,2018-01-16,Wide Area I-70 West Rifle to Western Utah,http://www.gmra.org/,,RACES Wed 1930 hrs,,,,,,Closed IRLP out,e-power Linked to GMRA Open System,,,,,,,,,,,,,,,,,,,,3710,,,,,,,,,,,,,,,,
442.225,5,CC,NM5BB,"Los Alamos, Pajarito Mountain",NM,OPEN,,D,126.47,SE,,35,15733,35.88669968,-106.39499664,442.225,447.225,,,Los Alamos,On-Air,Rocky Mountain Ham Radio,NMFCC,2019-12-16,Wide area 50 mi radius.,https://www.rmham.org/wordpress/dmr-radio-site-information/,,Red Cross Net on Wide - Third Thursday of the month at 1900 Tech Net on Wide - First Saturday of the month at 1900,yes,7,313505,yes,,Linked,TS 1 TG 700 Wide TS 2 TG 719 South TS 2 TG 714 Los Alamos Local TS 2 TG 505 New Mexico,DM65TV,Colorado/Rocky Mountain c Record retrieved from radioid.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.19,-0.6,,NM5EC,"Los Alamos, Pajarito Mountain",NM,OPEN,,S,126.47,SE,,35,18232,35.88669968,-106.39499664,145.19,144.59,,,Los Alamos,On-Air,SFARC,,2019-10-30,Wide area,,,,,,,,,,"Mixed mode DStar, analog and fusion (under another entry, using W5SF callsign)",DM65TV,,,,,,,,,,,,,yes,NM5EC (C) Repeater,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,
145.19,-0.6,162.2,W5SF,"Los Alamos, Pajarito Mountain",NM,OPEN,,,126.47,SE,,35,118,35.88669968,-106.39499664,145.19,144.59,162.2,162.2,Los Alamos,On-Air,SFARC,NMFCC,2019-10-30,Wide Area,,,Northern New Mexico Amateur Radio Net: Mon at 20:30.,,,,,,W5SF/PAJ - Distinct from the NM5SC repeater near Cuba on Pajarito Peak.,"Mixed mode analog, Fusion, and D-star (using call NM5EC C, noted under separate entry)",DM65TV,,,,,,,,,,,,,,,,,,,,,25,Yes; analog capable.,,,,,,,,,,,,,
446.9125,-5,CC,W0BX,"Grand Junction, Grand Mesa",CO,OPEN,,D,126.72,N,,08,16721,39.0889,-108.227,446.9125,441.9125,,,Mesa,On-Air,Bill Frost,,2018-01-09,"Grand Junction, I70",,,,yes,1,310868,yes,,Brandmeister network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.2,-5,107.2,,Glade Park,CO,OPEN,,,126.73,NNW,,08,18392,38.97999954,-108.73999786,449.2,444.2,107.2,,Mesa,On-Air,GMRA,,2019-12-22,,http://www.gmra.org/repeaters.html,,,,,,,,,Solar Powered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223.94,-1.6,CSQ,KB5RX,"Los Alamos, Pajarito Mountain",NM,OPEN,,,127.08,SE,,35,196,35.88399887,-106.38200378,223.94,222.34,CSQ,,Los Alamos,On-Air,,NMFCC,2015-10-16,,,,,,,,,,,E-power.,DM65TV,,,,,,,,,,,,,,,,,,,,Wide area.,,,,,,,,,,,,,,,
146.9,-0.6,88.5,K7QEQ,Moab,UT,OPEN,,,127.77,NW,,49,48,38.5739,-109.549,146.9,146.3,88.5,,Grand,On-Air,Sinbad Desert ARC,UVHFS,2015-03-29,Moab and immediate surroundings.,http://sdarc.us/repeaters/moab.html,,,,,,,,,"Closed autopatch, remote base, linked to Bald Mesa (146.760).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.29,-0.6,123,K7LEN,Window Rock,NM,OPEN,,,128.02,SSW,,35,16750,35.68059921,-109.0530014,145.29,144.69,123,,McKinley,Off-Air,NARC,,2018-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,5,100,KD7LEN,Window Rock,NM,OPEN,,,128.02,SSW,,35,17731,35.68059921,-109.0530014,442,447,100,,McKinley,,NARC,,2019-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,
147.355,-0.6,88.5,KB0VJJ,"Grand Junction, Grand Mesa",CO,OPEN,,,128.28,NNW,,08,15581,39.052,-108.565,147.355,146.755,88.5,123,Mesa,On-Air,Colorado Connection,CCARC,2017-01-06,,,Full-time to the Colorado Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,107.2,KE0TY,Grand Junction,CO,OPEN,,,128.83,NNW,,08,152,39.0639,-108.55,147.39,147.99,107.2,,Mesa,,KE0TY,CCARC,2012-11-10,,,,,,,,,,,Linked.,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,
146.82,-0.6,107.2,W0GJT,"Grand Junction, 9 Mile, Hwy 141, Unaweep",CO,OPEN,A,,128.83,NNW,,08,261,39.0639,-108.55,146.82,146.22,107.2,,Mesa,On-Air,,CCARC,2019-02-12,Wide area: North Western Colorado - South to Montrose and East on I-70.,,,,,,,,,,,,,,,,,,,,,,,,,,,,43554,,,Enter *83 node# to link. *81 Unlink,,,,,,,,,,,,,,,
447.5,-5,114.8,KC0ARV,Grand Junction,CO,OPEN,,,128.84,NNW,,08,3757,39.0638,-108.551,447.5,442.5,114.8,,Mesa,,KC0ARV,CCARC,2012-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,
147.105,0.6,,K0SSI,Grand Junction,CO,OPEN,,,128.85,NNW,,08,8175,39.0639,-108.551,147.105,147.705,,,Mesa,On-Air,K0SSI,CCARC,2013-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,-5,,KB0SW,Grand Junction,CO,CLOSED,,,128.85,NNW,,08,8206,39.0639,-108.551,449,444,,107.2,Mesa,On-Air,KB0SW,CCARC,2015-08-03,,,,,,,,,Grand Mesa Repeater Assoc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.775,-5,,KD0RED,Grand Junction,CO,OPEN,,S,128.85,NNW,,08,11792,39.0639,-108.551,446.775,441.775,,,Mesa,On-Air,,,2014-08-16,,,,,,,,,,,,,,,,,,,,,,,,,yes,KD0RED (B) Gateway Repeater,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,
449.775,-5,173.8,KD0SMZ,Grand Junction,CO,OPEN,EI,,128.85,NNW,ON - IDLE,08,11793,39.06389999,-108.5510025,449.775,444.775,173.8,88.5,Mesa,On-Air,,CCARC,2015-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,7572,,,7573,,,,,,,,,,,,,,,,
145.22,-0.6,107.2,KE0TY,Grand Junction,CO,OPEN,,,128.85,NNW,,08,8167,39.0639,-108.551,145.22,144.62,107.2,,Mesa,,KE0TY,CCARC,2012-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,
442.425,5,,NM5WR,Los Alamos,NM,OPEN,,S,129.63,SE,,35,5181,35.88809967,-106.30699921,442.425,447.425,,,Los Alamos,On-Air,,,2017-07-25,30,,,,,,,,,,,,,,,,,,,,,,,,yes,NM5WR (B),jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,
444.775,5,131.8,WD9CMS,Los Alamos,NM,OPEN,,,129.67,SE,,35,123,35.88809967,-106.30599976,444.775,449.775,,,Los Alamos,On-Air,WD9CMS,NMFCC,2017-03-19,Los Alamos and surrounding areas,,,,,,,,,"Mixed mode analog and digital P25 system, linked with 927.9 WD9CMS",E-power.,,,,,,,,,,,,,,,,,,,,,,,,yes,293,yes,,,,,,,,,,
146.88,-0.6,CSQ,W5PDO,"Los Alamos, Barranca Mesa",NM,OPEN,,,129.82,SE,,35,194,35.90269852,-106.28199768,146.88,146.28,CSQ,,Los Alamos,On-Air,Los Alamos ARC,NMFCC,2018-05-17,,,,LAARC: Sun at 2000.,,,,,,Located on the Barranca Mesa water tower.,Autopatch,DM65UV,,,,,,,,,,,,,,,,,,,,"Autopatch: Up- *88, wait for dialtone, and dial phone nbr. Down- #.",,,,,,,,,,,,,,,
449.75,-5,100,KC5WDV,Gallup,NM,OPEN,E,,129.9,SSW,ON - IDLE,35,91,35.52809906,-108.74199677,449.75,444.75,100,,McKinley,On-Air,KC5WDV,NMFCC,2017-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,6810,,,,,,,,,,,,,,,,,,,
449.65,-5,107.2,KC0CVU,"Salida, Methodist Mountain",CO,OPEN,,,130.14,NE,,08,205,38.4528,-106.018,449.65,444.65,107.2,,Chaffee,On-Air,,CCARC,2018-01-15,Wide area.,CMRG Repeaters,,,,,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.925,-5,103.5,WZ0N,"Salida, Methodist Mountain",CO,OPEN,,,130.14,NE,,08,3811,38.4528,-106.018,449.925,444.925,103.5,103.5,Chaffee,On-Air,,CCARC,2013-07-05,"Upper Arkansas and Platte Rivers, and the SLV",,,,,,,,Colorado ARES,Identifies with an 'M' following WZ0N callsign which identifies the site as Methodist.,E-power (Bat),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Salida, Methodist Mountain",CO,OPEN,EIA,,130.16,NE,ON - IDLE,08,13510,38.4463,-106.011,449.975,444.975,100,100,Chaffee,On-Air,,CCARC,2017-03-11,I-25 from Walsenburg to Wyoming and US-50 from La junta to Monarch Pass,K0JSC.COM,Full-time to the The Fun Machine System .,APRS Net: Sun at 19:00. Region 5 District 2 ARES Net: Sun at 19:30. Statewide ARES Net: Sun at 20:00. Region 5 District 1 ARES Net: Mon at 19:00. RGARC Net: Wed at 19:00.,,,,,,Can be linked to various local repeater systems via the remote base. Echolink/IRLP connects restricted. Email me to be added to the authorized list.,2,DM68xk,,,,,,,,,,,,,,,,363976,28368,,7301,,,,,,,,,,,,,,,,
144.265,0,203.5,KC2HSO,Los Alamos,NM,OPEN,I,,130.2,SE,,35,16629,35.88000107,-106.3030014,144.265,144.265,203.5,,Los Alamos,On-Air,,,2017-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8039,,,,,,,,,,,,,,,,
442.925,5,CC,KE8AVN,Los Alamos,NM,OPEN,,D,130.2,SE,,35,16602,35.88000107,-106.3030014,442.925,447.925,,,Los Alamos,On-Air,,,2018-05-14,,,,,yes,1,,yes,,,,,c Record retrieved from radioid.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.9,-25,131.8,WD9CMS,Los Alamos,NM,OPEN,,,130.2,SE,,35,12228,35.88000107,-106.3030014,927.9,902.9,,,Los Alamos,On-Air,,NMFCC,2017-02-05,Los Alamos and surrounding areas,,,,,,,,,"Mixed mode analog and digital P25 system, linked with 444.775 WD9CMS",,,,,,,,,,,,,,,,,,,,,,,,,yes,293,yes,,,,,,,,,,
927.8625,-25.8,,WA6IFI,"Salida, Methodist Mountain",CO,OPEN,,,130.22,NE,,08,18425,38.44670105,-106.01000214,927.8625,902.025,,,Chaffee,On-Air,CMRG,CCARC,2020-01-01,"Wide area coverage, I 25 from Cheyenne south to MM 20 just north of Trinidad. I 76 East to MM 100. I 70 from Idaho Springs to Genoa. Highway 24 from the Colorado Springs to Limon. Highway 24 west of Colorado Springs is spotty to Hartsel. US 50 from Canon City to Las Animas. Salida south to the San Luis Valley to Antonito. Salida North to just south of Leadville. Repeater Coverage Map",,Full-time to the The 900 P25 Network System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,yes,,,,,,,,,,
224.04,-1.6,100,KA5BIW,Los Alamos,NM,OPEN,,,130.26,SE,,35,9407,35.89199829,-106.28500366,224.04,222.44,100,100,Los Alamos,On-Air,KA5BIW,NMFCC,2019-03-13,,,,,,,,,,linked with 442.0 in Los Alamos and 224.38 in Albuquerque,,DM65uv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,5,100,KA5BIW,Los Alamos,NM,OPEN,,,130.26,SE,,35,15608,35.89199829,-106.28500366,442,447,100,,Los Alamos,On-Air,KA5BIW,NMFCC,2019-03-12,,http://ka5biw.com/ham_radio/repeater.php,,,,,,,,Linked to 224.04 in Los Alamos and 224.38 in Albuquerque,,DM65UV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.285,0.6,88.5,KB0VJJ,"Salida, Methodist Mountain",CO,OPEN,,,130.72,NE,,08,204,38.4596,-106.011,147.285,147.885,88.5,123,Chaffee,On-Air,Colorado Connection,CCARC,2016-05-23,"Wide area: South Park, Gunnison, Pueblo, and the San Luis Valley south to New Mexico. At extremes, it has been worked from east of Montrose and Blue Mesa Resevoir, on Fremont Pass near Climax, in and around Bailey on U.S. 285, and south toward Trinidad on Interstate 25.",,Full-time to the Colorado Connection System .,Central Colorado Traffic Net: Daily at 19:30. Colorado Connection Net (All Welcome): Thu at 20:00. Statewide ARES Net: Sun at 20:00.,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.295,-0.6,107.2,KC0CVU,"Salida, Methodist Mountain",CO,OPEN,,,130.72,NE,,08,203,38.4596,-106.011,145.295,144.695,107.2,,Chaffee,On-Air,Cheyenne Mtn Repeater Group,CCARC,2019-08-15,Wide area.,CMRG Repeaters,,,,,,,,,,DM78ik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.175,-0.6,107.2,W0RRZ,"Grand Junction, GJT",CO,OPEN,I,,131.96,NNW,,08,147,39.1173,-108.522,145.175,144.575,107.2,,Mesa,On-Air,,CCARC,2016-05-11,Greater grand Junction area.,,,,,,,,,,"E-power,",,,,,,,,,,,,,,,,,,,,3161,Standard IRLP node commands.,,,,,,,,,,,,,,,
146.94,-0.6,107.2,W0RRZ,"Grand Junction, Black Ridge (Above Colorado Ntl Monument)",CO,OPEN,,,132.39,NNW,,08,151,39.06560135,-108.7480011,146.94,146.34,107.2,107.2,Mesa,On-Air,Western Colorado Amateur Radio Club,CCARC,2016-05-11,Grand Junction 30-50 mi,http://w0rrz.org,,Oatmeal Net: Mon-Fri at 7:30AM-8:00AM,,,,,,,E-power and autopatch for WCARC members,DM59PB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.575,-5,131.8,WA4HND,"Grand Junction, Black Ridge",CO,OPEN,I,,132.39,NNW,,08,155,39.0656,-108.748,449.575,444.575,131.8,131.8,Mesa,On-Air,,CCARC,2018-01-15,Grand Junction,GMRA Repeaters,,Wed RACES Net 1930 Hrs,,,,,Grand Mesa Repeater Assoc,Closed IRLP out,e-power. Linked to GMRA Open System,,,,,,,,,,,,,,,,,,,,3710,,,,,,,,,,,,,,,,
147.18,0.6,100,KD5PX,"Dixon, Cerro Abajo",NM,OPEN,,,132.99,SE,,35,15923,36.19889832,-105.88899994,147.18,147.78,100,100,Rio Arriba,On-Air,,NMFCC,2018-04-13,Dixon Embudo Ojo Sarco St Rd 68 Rio Grande Canyon,,,,,,,,,,,DM76BF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.975,-5,,KD0QPG,"Salida, Methodist Mountain",CO,OPEN,,S,134.49,NE,,08,9844,38.5347,-105.999,446.975,441.975,,,Chaffee,On-Air,Crestone Amateur Radio Emergency Services,CCARC,2013-07-06,,KD0QPG,,,,,,,Crestone Amateur Radio Emergency Services,,,,,,,,,,,,,,,,yes,KD0QPG (B) Gateway Repeater,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,
446.8125,-5,CC,N0SZ,"Salida, Methodist Mountain",CO,OPEN,,D,134.49,NE,,08,12697,38.53469849,-105.99900055,446.8125,441.8125,,,Chaffee,On-Air,RMHAM,,2019-11-27,,,,,yes,7,310825,yes,,,,,RMHR c Record retrieved from radioid.net,"Open Talkgroup View Assignment TS TG Access Rocky Mountain Wide 1 700 Southern Colorado 2 719 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.745,-0.6,100,W0LSD,Nathrop,CO,OPEN,,,135.04,NE,,08,184,38.7129,-106.2,146.745,146.145,100,,Chaffee,On-Air,CLARA,CCARC,2019-07-21,,,,,,,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.5,-5,107.2,KB0SW,Collbran,CO,OPEN,,,135.87,N,,08,36,39.2406,-107.961,449.5,444.5,107.2,,Mesa,Off-Air,Grand Mesa Repeater Association (GMRA),CCARC,2016-07-01,,,,,,,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.39,-0.6,100,KF5PFO,"Red River, Molycorp",NM,OPEN,,,136.65,SE,,35,137,36.69300079,-105.51399994,145.39,144.79,100,,Taos,On-Air,Taos ARC,NMFCC,2017-09-01,Wide area.,Taos Amateur Radio Club,,,,,,,,,"E-power, linked.",DM76FQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.95,5,100,KE5FYL,"Grants, La Mosca Peak",NM,OPEN,,,140.62,S,,35,96,35.25299835,-107.59700012,444.95,449.95,100,88.5,Cibola,On-Air,Cibola County Amateur Radio Club,NMFCC,2018-11-29,Wide area.,,"Full-time to 147.18000 (KE5FYL) at Grants, NM .",,,,,,,,,DM65EG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
