Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Grid,Op Status,Coverage,Sponsor,Affiliate,Features,AllStar,Notes,Nets,Coordination,Last update,DMR Enabled,Color Code,DMR ID,IPSC Network,Wide Network,Talkgroup Network,Talkgroups,Southern Colorado,Central Regional,Northern Colorado Regional,Web links,Links,Rocky Mountain Wide,IRLP,Commands,On-air,Feed,EchoLink,Devilshead Local,D-STAR Enabled,Node,Sources,P-25 Digital Enabled,NAC,Default Reflector,Mixed-Mode,YSF Digital Enabled,DG-ID,Bandwidth,Eastern Colorado,Location Photo,Local Network,WIRES-X,TAC 310,TAC 311,Colorado,Colorado Chat,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Worldwide,North America,English,Local/Cluster,N. Colorado,Worldwide English,DCI Bridge,Mountain Reg USA,Wyoming,WyLOCAL,Europe,Southwest USA
146.67,-0.6,100,KB0UDD,"Idaho Springs, Squaw Mountain",CO,OPEN,,,41.56,NE,,08,78,39.6794014,-105.49199677,146.67,146.07,100,100,Clear Creek,,On-Air,"North to Cheyenne, Wy - East to Limon, Co - South to Colorado Springs, Co and West to the Continental Divide.",Castle Rock Repeater Group,,11,,,CRRG/QCWA: Sun at 0930. Southern Metro LDS Ham Group: Sun at 1900. ARES23: Thu at 1930. ARES13: Sun at 2000.,CCARC,2019-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.145,-0.6,107.2,W0CRA,"Idaho Springs, Squaw Mountain",CO,OPEN,,,41.56,NE,,08,107,39.6794014,-105.49199677,145.145,144.545,107.2,107.2,Clear Creek,,On-Air,Wide area. Denver metro.,Colorado Repeater Assoc,,E-power.,,,,CCARC,2019-11-11,,,,,,,,,,,http://www.w0cra.org/info/squaw.html#145145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.575,-5,107.2,W0CRA,"Idaho Springs, Squaw Mountain",CO,OPEN,EI,,41.56,NE,ON - IDLE,08,264,39.6794014,-105.49199677,447.575,442.575,107.2,107.2,Clear Creek,,On-Air,Wide area: Denver metro.,Colorado Repeater Association (CRA),,,,,,CCARC,2017-11-13,,,,,,,,,,,http://www.w0cra.org,,,3291,Member-only IRLP and Echolink node,,,347088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.49,-0.6,100,W0TX,"Idaho Springs, Centennial Cone",CO,OPEN,,,41.56,NE,,08,76,39.6794014,-105.49199677,145.49,144.89,100,100,Jefferson,,On-Air,,"KB0VIU, Denver Radio Club",,E-power.,,,DRC: Sun at 20:30.,CCARC,2017-03-11,,,,,,,,,,,DRC Repeaters,"Full-time to 448.62500 (W0TX) at Golden, Centennial Cone, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.35,-5,100,W0TX,"Idaho Springs, Squaw Mountain",CO,OPEN,E,,41.56,NE,Node Offline,08,98,39.6794014,-105.49199677,449.35,444.35,100,100,Clear Creek,,On-Air,Wide area.,Denver Radio Club,,11,,,,CCARC,2017-03-11,,,,,,,,,,,DRC Repeaters,,,,,,,4140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.675,-5,100,W0CFI,"Idaho Springs, Squaw Mountain",CO,OPEN,,,41.6,NE,,08,94,39.67739868,-105.48799896,448.675,443.675,100,100,Denver,,On-Air,Wide area.,W0CFI,,,,,,CCARC,2020-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.3,0.6,103.5,N0PYY,"Evergreen, Squaw Mountain",CO,OPEN,,,41.67,NE,,08,84,39.67810059,-105.48699951,147.3,147.9,103.5,103.5,Clear Creek,DM79GQ,On-Air,Wide area.,Denver PD EEB,,,,,,CCARC,2017-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,-5,136.5,WR0AEN,"Idaho Springs, Squaw Mountain",CO,OPEN,,,41.67,NE,,08,8250,39.6731987,-105.48000336,449,444,136.5,136.5,Clear Creek,,On-Air,,CARN,,,,,,CCARC,2017-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287.9,-20,CSQ,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,,42.49,E,,08,103,39.52109909,-105.30500031,1287.9,1267.9,CSQ,,Jefferson,,Off-Air,Fort Collins to Colorado Springs.,Colorado Repeater Association (CRA),,,,,,CCARC,2017-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.05,-5,107.2,WG0N,"Idaho Springs, Squaw Mountain",CO,OPEN,,,44.24,NE,,08,95,39.74250031,-105.51399994,449.05,444.05,107.2,107.2,Denver,DM79FR,On-Air,Wide area.,WG0N,,E-power.,,,,CCARC,2012-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
