Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,County,Op Status,Sponsor,Features,IRLP,Coordination,Last update,DMR Enabled,Color Code,DMR ID,Wide Network,Affiliate,Web links,Downlink Tone,Coverage,Links,Notes,Nets,Talkgroup Network,Talkgroups,Southern Colorado,Central Regional,Northern Colorado Regional,Grid,AllStar,Rocky Mountain Wide,Commands,Feed,EchoLink,P-25 Digital Enabled,NAC,Default Reflector,On-air,Mixed-Mode,YSF Digital Enabled,DG-ID,D-STAR Enabled,Node,Sources,IPSC Network,Devilshead Local,Local Network,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,WIRES-X,Bandwidth,Eastern Colorado,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,TAC 310,TAC 311,Colorado,Colorado Chat,Location Photo,Worldwide,North America,English,Local/Cluster,N. Colorado,Worldwide English,DCI Bridge,Mountain Reg USA,Wyoming,WyLOCAL
445.075,-5,CC,N0SZ,Vail,CO,OPEN,,D,24.22,WNW,,08,16781,39.6348,-106.447,445.075,440.075,,Eagle,On-Air,K2AD,,,CCARC,2018-02-01,yes,7,310851,,Rocky Mountain Ham Radio,http://www.rmham.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.345,0.6,88.5,KB0VJJ,Vail,CO,OPEN,,,25.34,WNW,,08,241,39.6554,-106.457,147.345,147.945,88.5,Eagle,On-Air,Colorado Connection,9,,CCARC,2017-01-06,,,,,,,123,Wide area: Vail Pass to Glenwood Canyon and the Flattops Wilderness to Tennessee Pass. Map,Full-time to the Colorado Connection System .,,Central Colorado Traffic Net: Daily at 19:3030 Colorado Connection Net (All Welcome): Thu at 20:00. Statewide ARES net: Sun at 20:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.895,-0.6,100,AB0PC,"Bailey, Dick Mountain",CO,OPEN,A,,30.6,ESE,,08,7,39.4056,-105.473,146.895,146.295,100,Park,On-Air,AB0RR,25,,CCARC,2017-07-05,,,,,,Park County Radio Club (PCRC),100,285,"Full-time internet linked to 448.57500 (WZ0N) at Hartsel, CO .",,Wed at 19:30.,,,,,,,45835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7625,-5,CC,N0SZ,"Fairplay, Badger",CO,OPEN,,D,31.36,SSE,,08,12698,39.0469,-105.87,446.7625,441.7625,,Park,On-Air,K7PFJ,,,,2017-03-11,yes,0,,,RMHAM,,,,,,,,"Open Talkgroup View Assignment TS TG Access Rocky Mountain Wide 1 700 Central Regional 2 720 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.285,0.6,88.5,KB0VJJ,"Winter Park, Winter Park",CO,OPEN,,,31.56,NNE,,08,15582,39.8865,-105.763,147.285,147.885,88.5,Grand,On-Air,Colorado Connection,,,CCARC,2017-01-06,,,,,,,123,,Full-time to the Colorado Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.45,-5,103.5,K1DUN,"Idaho Springs, Squaw Mountain",CO,OPEN,,,32.08,E,,08,99,39.6794,-105.493,449.45,444.45,103.5,Clear Creek,On-Air,Rocky Mountain Radio League,11,,CCARC,2016-12-23,,,,,,Repeater,127.3,"Wide area: West to the Continental Divide, south to Colorado Springs, east to Limon, and north to Cheyenne.",,,RMRL: Mon at 20:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9375,-5,CC,N0SZ,"Idaho Springs, Squaw Mountain",CO,OPEN,,D,32.09,E,,08,7190,39.6798,-105.493,446.9375,441.9375,,Clear Creek,On-Air,Rocky Mountain Ham Radio,,,CCARC,2017-01-13,yes,7,,,,Rocky Mountain Ham Radio,,,Full-time to the Colorado TRBO System .,See the website for programming information.,,RMHAM,"Open Talkgroup View Assignment TS TG Access Rocky Mountain Wide 1 700 Full-Time Southern Colorado 2 719 Full-Time Central Regional 2 720 Full-Time Northern Colorado Regional 2 721 Full-Time function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",2,2,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.225,-5,141.3,N0SZ,"Idaho Springs, Squaw Mountain",CO,OPEN,,,32.09,E,,08,8197,39.6797,-105.493,448.225,443.225,141.3,Clear Creek,On-Air,Rocky Mountain Ham Radio,E-power(gen).,,CCARC,2016-05-24,,,,,,,141.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.94,-0.6,103.5,W0WYX,"Idaho Springs, Squaw Mountain",CO,OPEN,,,32.09,E,,08,81,39.6798,-105.493,146.94,146.34,103.5,Clear Creek,On-Air,Rocky Mtn Radio League,11,,CCARC,2017-03-11,,,,,,Repeater,103.5,"Wide area: west to the Continental Divide, south to Colorado Springs, east to Limon, and north to Cheyenne.","Linkable to 449.82500 (W0WYX) at Broomfield, CO . Linkable to 449.45000 (K1DUN) at Idaho Springs, Squaw Mountain, CO .",,Colorado WX: Daily at 06:30. RMRL: Mod at 20:30. Astronomy: Tue at 19:00. Amateur Radio Events: Tue at 20:00.,,,,,,,,,Autopatch: 911* / Off 0*.,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.67,-0.6,100,KB0UDD,"Idaho Springs, Squaw Mountain",CO,OPEN,,,32.13,E,,08,78,39.6794,-105.492,146.67,146.07,100,Clear Creek,On-Air,Castle Rock Repeater Group,11,,CCARC,2016-09-08,,,,,,,100,"North to Cheyenne, Wy - East to Limon, Co - South to Colorado Springs, Co and West to the Continental Divide.",,,CRRG/QCWA: Sun at 0930. Southern Metro LDS Ham Group: Sun at 1900. ARES23: Thu at 1930. ARES13: Sun at 2000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
