Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,YSF Digital Enabled,DG-ID,WIRES-X,County,Grid,Op Status,Coverage,Sponsor,Features,Coordination,Last update,Uplink Tone,EchoLink,IRLP,Notes,Downlink Tone,DMR Enabled,Color Code,DMR ID,IPSC Network,Wide Network,Web links,Links,Nets,Bandwidth,AllStar,Talkgroups,Rocky Mountain Wide,Central Regional,Affiliate,Mixed-Mode,On-air,Commands,Local/Cluster,Colorado,REACT,CO-Park County,Northern Colorado Regional,D-STAR Enabled,Node,Sources,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,Feed,P-25 Digital Enabled,NAC,Default Reflector,Southern Colorado,TAC 310,TAC 311,Colorado Chat,Local Network,Eastern Colorado,Devilshead Local,Location Photo,Talkgroup Network,Local or Reflector,Kansas,CKRG,KansasLink,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,DCI Bridge,N. Colorado,Mountain Reg USA,Worldwide English,North America,Worldwide,English,BYRG
927.7375,-25.7,100,KI0HC,Parker,CO,OPEN,,,128.63,WNW,,08,14732,39.53910065,-104.56900024,927.7375,902.025,,,,Douglas,DM79RM,On-Air,"Wide area coverage, I 25 from Cheyenne south to MM 20 just north of Trinidad. I 76 East to MM 100. I 70 from Idaho Springs to Genoa. Highway 24 from the Colorado Springs to Limon. Highway 24 west of Colorado Springs is spotty to Hartsel. US 50 from Canon City to Las Animas. Salida south to the San Luis Valley to Antonito. Salida North to just south of Leadville. Repeater Coverage Map",,,CCARC,2020-01-01,100,,,,100,,,,,,,Full-time to the The 900 P25 Network System .,,,,,,,,Yes; analog capable.,,,,,,,,,,,,,,,,yes,293,yes,,,,,,,,,,,,,,,,,,,,,,,,,,
146.85,-0.6,156.7,AD0TP,Colorado Springs,CO,OPEN,,,128.69,W,,08,42,38.83969879,-104.7437973,146.85,146.25,,,,El Paso,DM78PU,On-Air,Greater Colorado Springs Area,AD0TP,,CCARC,2020-02-10,156.7,,,Please email with comments/signal reports,103.5,,,,,,http://www.v7arc.com/,,,,,,,,Village 7 Amateur Radio Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9875,-5,CC,K0JSC,Pueblo,CO,OPEN,,D,128.7,WSW,,08,10785,38.23070145,-104.61100006,446.9875,441.9875,,,,Pueblo,DM78QF,Off-Air,,,,CCARC,2019-11-27,,,,,,yes,6,310821,RMHR c Record retrieved from radioid.net,,Rocky Mountain Ham Radio,Full-time to the Colorado TRBO System .,,,,"Open Talkgroup View Assignment TS TG Access Rocky Mountain Wide 1 700 Southern Colorado 2 719 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",1,,RMHAM,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
447.275,-5,100,K0JSC,"Pueblo, Metro",CO,OPEN,,,128.7,WSW,,08,9527,38.23049927,-104.61100006,447.275,442.275,,,,Pueblo,DM78QF,On-Air,,,,CCARC,2017-01-06,100,,,"Moved to Pueblo. Now called ""Pueblo Metro""",100,,,,,,The Fun Machine,Full-time to the The Fun Machine System .,APRS Net: Sun at 19:00. Region 5 District 2 ARES Net: Sun at 19:30. Statewide ARES Net: Sun at 20:00. Region 5 District 1 ARES Net: Mon at 19:00. EOSS Net: Tue at 20:00. RGARC Net: Wed at 19:00.,,,,,,The Fun Machine,,,,,,,,,,,,,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.24,0.6,103.5,KJ0T,Pueblo,CO,OPEN,,,128.7,WSW,,08,3747,38.23059845,-104.61100006,147.24,147.84,,,,Pueblo,DM78QF,Off-Air,Pueblo and Fremont Counties,TARA,,CCARC,2012-06-13,103.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.85,-5,,K0PRA,Franktown,CO,OPEN,,S,130.62,WNW,,08,11473,39.39350128,-104.67500305,446.85,441.85,,,,Douglas,DM79PJ,On-Air,,Parker Radio Association,D-Star B module,CCARC,2018-03-18,,,,,,,,,,,http://parkerradio.org,,,,,,,,,,,,,,,,,yes,K0PRA (B) Repeater,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.115,-0.6,88.5,W0PHC,Pueblo,CO,OPEN,,,130.85,WSW,,08,191,38.2521019,-104.66200256,145.115,144.515,,,,Pueblo,DM78qg,On-Air,,Pueblo Amateur Radio Club,E-power.,CCARC,2019-12-10,88.5,,,,,,,,,,http://www.puebloradio.org/,,,6.25,,,,,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.25,5,141.3,K0ECT,Montezuma,KS,OPEN,,,131.29,SE,,20,4098,37.6344986,-100.46399689,444.25,449.25,,,,Gray,DM97SP,On-Air,Local,SKECT,,Kansas Repeater Council,2018-07-12,141.3,,,,141.3,,,,,,http://skect.org/default.aspx,Full-time to the SKECT System .,ARES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.135,0.6,100,AA0L,Colorado Springs,CO,OPEN,,,131.72,W,,08,8176,38.83969879,-104.80000305,147.135,147.735,,,,El Paso,DM78OU,On-Air,,AA0L,6,CCARC,2016-04-08,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.72,-1.6,103.5,W0MOG,Colorado springs,CO,OPEN,,,131.77,W,,08,15989,38.90000153,-104.80000305,224.72,223.12,,,,El Paso,,On-Air,Local,w0mog,,,2017-04-07,103.5,,,,103.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.8,-5,100,KB0SRJ,"Colorado Springs, ~2 mi ENE USAFA North Gate",CO,OPEN,,,132.27,W,,08,57,39.03020096,-104.7990036,448.8,443.8,,,,El Paso,DM79OA,On-Air,I-25 corridor from Baptist Rd south to Fort Carson,Pikes Peak FM Association (http://PPFMA.ORG),,CCARC,2019-09-24,100,,,,,,,,,,PPFMA Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.5,5,151.4,N7UVW,McCook,NE,OPEN,,,132.35,NE,,31,15122,40.19670105,-100.625,444.5,449.5,,,,Frontier,,On-Air,20,dirt,link comm rlc 1,,2017-12-26,151.4,,,16,,,,,,,,,,,,,,,Dirt Truckin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.8,5,162.2,N7UVW,McCook,NE,OPEN,,,132.35,NE,,31,15136,40.19670105,-100.625,444.8,449.8,,,,Red Willow,,On-Air,50,N7UVW,Link Com RLC-1 Controller,,2017-12-26,162.2,,,180,,,,,,,,,,,,,,,Dirt Truckin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.295,-0.6,100,WA0JTB,"Sterling, CO",CO,OPEN,,,132.67,NNW,,08,238,40.62559891,-103.20700073,145.295,144.695,,,,Logan,,On-Air,Wide area,NECARA,"Autopatch, e-power.",CCARC,2020-01-17,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.27,0.6,,K0TAJ,"McCook, 180' tower S. of McCook",NE,OPEN,,,132.73,NE,,31,39,40.2053,-100.626,147.27,147.87,,,,Red Willow,,On-Air,50,McCook ARA,Fusion Repeater,,2017-12-26,,,,,,,,,,,,,Monday Nights at 7PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.27,0.6,,,Colorado Springs,CO,OPEN,,,132.85,W,,08,46,38.83810043,-104.82099915,147.27,147.87,,,,El Paso,,On-Air,,TRA,E-power.,,2016-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.575,-5,,,Colorado Springs,CO,CLOSED,,,132.85,W,,08,8211,38.83390045,-104.82099915,449.575,444.575,,,,El Paso,,On-Air,,RMHARC,,CCARC,2016-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.3,-5,100,AA0L,Colorado Springs,CO,OPEN,,,132.85,W,,08,8200,38.83390045,-104.82099915,448.3,443.3,,,,El Paso,,On-Air,,AA0L,,CCARC,2016-08-10,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.91,-0.6,151.4,K0IRP,Colorado Springs,CO,OPEN,,,132.85,W,,08,43,38.83810043,-104.82099915,146.91,146.31,,,,El Paso,,On-Air,,GGARC,E-power.,CCARC,2016-08-10,151.4,,,,151.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.35,-5,151.4,K0IRP,Colorado Springs,CO,OPEN,,,132.85,W,,08,50,38.83390045,-104.82099915,447.35,442.35,,,,El Paso,,On-Air,,GGARC,E-power.,CCARC,2015-03-04,151.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.06,-1.6,,KB0SRJ,Colorado Springs,CO,CLOSED,,,132.85,W,,08,8182,38.83390045,-104.82099915,224.06,222.46,,,,El Paso,,,Wide area.,Pikes Peak FM Association (PPFMA),"E-power, linked.",CCARC,2012-11-12,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.025,-5,123,KF0WF,Colorado Springs,CO,OPEN,,,132.85,W,,08,49,38.83390045,-104.82099915,447.025,442.025,,,,El Paso,,Off-Air,,Colorado Springs ARA,"Closed autopatch, e-power, linked, remote base.",CCARC,2016-08-10,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.25,-5,123,N0KG,"Colorado Springs, Broadmoor Area",CO,OPEN,,,132.85,W,,08,8198,38.83390045,-104.82099915,448.25,443.25,,,,El Paso,DM78OU,Off-Air,Colorado Springs,,,CCARC,2018-09-25,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.475,-5,107.2,NX0G,Colorado Springs,CO,OPEN,,,132.85,W,,08,51,38.83390045,-104.82099915,447.475,442.475,,,,El Paso,,On-Air,,Mountain ARC (MARC),"Closed autopatch, e-power.",CCARC,2019-11-07,107.2,,,,,,,,,,,"Full-time to 146.68500 (NX0G) at Lake George, Badger Mountain, CO . Full-time to 146.82000 (NX0G) at Woodland Park, CO . Full-time to 448.65000 (NX0G) at Woodland Park, CO . Full-time to 147.01500 (NX0G) at Cripple Creek, CO .",MARC/PCRC: Tue at 1930.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,103.5,W0MOG,Colorado Springs,CO,OPEN,,,132.85,W,,08,48,38.83810043,-104.82099915,147.39,147.99,,,,El Paso,,On-Air,,W0MOG,,CCARC,2016-08-10,103.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.6,-5,114.8,W0MOG,Colorado Springs,CO,OPEN,,,132.85,W,,08,55,38.83390045,-104.82099915,448.6,443.6,,,,El Paso,,,,W0MOG,,CCARC,2012-11-10,114.8,,,,,,,,,,,"Full-time to 927.80000 (W0MOG) at Colorado Springs, CO .",,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.8,-25,D116,W0MOG,Colorado Springs,CO,OPEN,,,132.85,W,,08,3537,38.83390045,-104.82099915,927.8,902.8,,,,Teller,,On-Air,,,6,CCARC,2012-11-10,D116,,,,,,,,,,,"Full-time to 448.60000 (W0MOG) at Colorado Springs, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.55,-5,123,WA6IFI,Colorado Springs,CO,OPEN,,,132.85,W,,08,8191,38.83390045,-104.82099915,447.55,442.55,,,,El Paso,,On-Air,,WA6IFI,,CCARC,2015-11-13,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.075,-5,CC,K0PRA,Parker,CO,OPEN,,D,133.2,WNW,"Colorado Mega Reflector - XLX376 Transcoder - YSF 23160 - WiresX 40895 Welcome to the new and improved Colorado Mega Link! Brought to you by the Parker Radio Association, where we have fun, play radio and keep the squelch loose. Please join us Monday nights at 8pm mountain time our our digital net.",08,17292,39.44910049,-104.70300293,445.075,440.075,,,,Douglas,,On-Air,,Parker Radio Association,Brandmeister Network https://brandmeister.network/?page=repeater&amp;id=310844,CCARC,2019-11-27,,,,Mixed Mode,,yes,1,310844,None c Record retrieved from radioid.net,,http://www.parkerradio.org,,Mondays 20:30 MST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.975,-5,100,K0JSC,Pueblo West,CO,OPEN,EIA,,133.53,WSW,ON - IDLE,08,7994,38.3030014,-104.73400116,448.975,443.975,,,,Pueblo,,On-Air,,,,CCARC,2017-03-11,100,363976,7301,Off air. Will return to service,100,,,,,,http://www.k0jsc.com,Full-time to the The Fun Machine System .,,,28368,,,,,,,,,,,,,,,,,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,CC 88.5,W0PHC,"Pueblo, 12 Mile Hill",CO,OPEN,,D,134.16,WSW,,08,194,38.20700073,-104.70700073,146.88,146.28,,,,Pueblo,DM78pe,On-Air,Wide area.,Pueblo Amateur Radio Club,E-power.,CCARC,2019-12-10,88.5,,,,,yes,0,,c Record retrieved from radioid.net,,http://www.puebloradio.org/,,,,,,,,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.725,-5,123,KA0TTF,"Colorado Springs, Fillmore Hill",CO,OPEN,,,134.49,W,,08,56,38.77999878,-104.84999847,448.725,443.725,,,,El Paso,,On-Air,,KA0TTF,,CCARC,2016-04-19,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.73,-0.6,88.5,W0PHC,"Walsenburg, N Rattlesnake Butte",CO,OPEN,,,135.14,WSW,,08,247,37.77190018,-104.45600128,146.73,146.13,,,,Huerfano,DM77SS,On-Air,"Wide area: Pueblo, Huerfano, Otero, and Las Animas Counties.",Pueblo Amateur Radio Club,6,CCARC,2019-12-10,88.5,,,,,,,,,,Pueblo Ham Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.13,-0.6,88.5,KB0VJJ,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,,135.24,W,,08,37,38.74520111,-104.86199951,145.13,144.53,,,,El Paso,,On-Air,Wide area: South toward Pueblo and north to Monument. Decent coverage to the east. Little coverage to the west.,Colorado Connection,9,CCARC,2019-11-11,88.5,,,Linked into the Colorado Connection System,123,,,,,,,Full-time to the Colorado Connection System .,Colorado Traffic Net: Daily at 19:00. Colorado Connection Net (all welcome): Thu at 20:00. Statewide ARES: Sun at 20:00. Colorado Preparedness Net: Sat at 09:30,,,,,,,,,,,,,,,,,,,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.385,-0.6,,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,S,135.24,W,,08,8088,38.74449921,-104.86199951,145.385,144.785,,,,El Paso,DM78NR,Testing,Wide area,Cheyenne Mountain Repeater Group (CMRG),,CCARC,2019-12-29,,,,"This repeater is operational and linked to XRF720. Currently, INBOUND traffic is making it in but OUTBOUND traffic is not getting to the gateway or reflector. We hope to have this resolved soon.",,,,,,,http://www.cmrg.org,,,,,,,,,,,,,,,,,yes,KC0CVU (C) Repeater,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9125,-5,,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,S,135.24,W,,08,8087,38.74509811,-104.86199951,446.9125,441.9125,,,,El Paso,,Off-Air,,Cheyenne Mountain Repeater Group (CMRG),,,2019-12-28,,,,This DStar repeater is up but not truly functional. It serves as a local repeater presently as it is not connected to the internet for now.,,,,,,,,,,,,,,,,,,,,,,,,yes,KC0CVU (B) Repeater,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.85,-25,D114,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,,135.24,W,,08,7171,38.74499893,-104.86199951,927.85,902.85,,,,Teller,DM78NR,On-Air,,CMRG,9,CCARC,2017-03-09,D114,,,,,,,,,,http://www.cmrg.org,"Full-time to 147.34500 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO . Full-time to 448.10000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.0625,-5,CC,N0SZ,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,D,135.24,W,"Welcome to The RMHAM DMR Machine, located on Cheyenne Mountain above Colorado Springs This machine sits atop Cheyenne Mountain overlooking Colorado Springs and Pueblo. The talkgroups that are setup on this system are the Fun Machine Analog transcoded and statically linked on TS1 as TG310815. At this time TS2 will carry TG3108 and 3740 statically and the following are all PTTable with a 15 minute activity timeout (310,31079,31080,31082,31083,31084,31085,31086,31088,310895,311,312,31200,31203,313,31327,314,3140,31400,31408,3148,315,31563,316,31600,31601,31602,31603,31604,31605,31606,31607,31608,31609,31623,31648,31652,317,318,319,3740,91,9112,93). No other TGs are PTTable from this system unless they are enabled. If you have a specific TG that would would like added to TS2 as a PTT TG please let me know and I will consider adding it.",08,12355,38.74509811,-104.86199951,445.0625,440.0625,,,,El Paso,,On-Air,,Rocky Mountain Ham Radio,Rocky Mountain Ham Radio Brandmeister Sites,CCARC,2019-11-27,,,,"This machine sits atop Cheyenne Mountain overlooking Colorado Springs and Pueblo. The talkgroups that are setup on this system are the Fun Machine Analog transcoded and statically linked on TS1 as TG310815. At this time TS2 will carry TG3108 statically and the following are all PTTable with a 15 minute activity timeout (310,31079,31080,31082,31083,31084,31085,31086,31088,311,312,31200,31203,313,31327,314,3140,31400,31408, 3148,315,31563,316,31600,31601,31602,31603,31604,31605,31606,31607,31608,31609,31623,31648,31652,317,318,319,3740,91,9112,93). No other TGs are PTTable from this system unless they are enabled. If you have a specific TG that would would like added to TS2 as a PTT TG please let me know and I will consider adding it.",,yes,1,310857,RMHAM c Record retrieved from radioid.net,,,,,,,"Open Talkgroup View Assignment TS TG Access TAC 310 2 310 PTT TAC 311 2 311 PTT Colorado 2 3108 Full-Time Colorado Chat 2 31080 PTT function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",,,N0SZ Colorado Springs Brandmeister,,,,,2,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,,,,,,,,,,,
53.13,-1.7,107.2,WA6IFI,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,,135.24,W,,08,8158,38.74499893,-104.86199951,53.13,51.43,,,,El Paso,DM78NR,On-Air,,Cheyenne Mountain Repeater Group (CMRG),,CCARC,2017-03-09,107.2,,,,107.2,,,,,,http://www.cmrg.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.345,0.6,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,I,,136.24,W,,08,47,38.73720169,-104.87999725,147.345,147.945,,,,El Paso,DM78NR,On-Air,Wide area.,,"Closed autopatch, e-power.",CCARC,2018-01-15,107.2,,3854,,107.2,,,,,,http://www.cmrg.org/,"Full-time to 927.85000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO . Full-time to the Cheyenne Mtn Repeater Group System .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.16,-0.6,107.2,W0CRA,"Colorado Springs, Cheyenne Mountain",CO,OPEN,EI,,136.24,W,ON - IDLE,08,38,38.73720169,-104.87999725,145.16,144.56,,,,El Paso,,On-Air,"Wide area: Colorado Springs, Pueblo, and other areas of southeast and south central Colorado.",Colorado Repeater Association,"Closed autopatch, e-power.",CCARC,2017-11-13,107.2,347086,3990,Switch to this repeater at mile marker 170 on I-25.,107.2,,,,,,http://www.w0cra.org/info/cosprgs.html#145160,"Full-time to 145.46000 (W0CRA) at Boulder, Eldorado Mountain, CO . Full-time to 147.22500 (W0CRA) at Larkspur, Westcreek, CO .",,,,,,,CRA VHF Link System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,,136.29,W,,08,41,38.73720169,-104.8809967,146.76,146.16,,,,El Paso,DM78NR,On-Air,,Cheyenne Mountain Repeater Group,"Closed autopatch, e-power.",CCARC,2018-01-15,107.2,,,,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,-5,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,,136.29,W,,08,269,38.73720169,-104.8809967,448,443,,,,El Paso,DM78NR,On-Air,,,,CCARC,2018-01-15,107.2,,,,,,,,,,CMRG Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.1,-5,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,,136.29,W,,08,53,38.73720169,-104.8809967,448.1,443.1,,,,El Paso,DM78NR,On-Air,Wide area.,,"Closed autopatch, e-power.",CCARC,2018-01-15,107.2,,,,107.2,,,,,,CMRG Repeaters,"Full-time to 927.85000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.725,-5,100,K0NR,"Monument, Monument Hill",CO,OPEN,,,136.63,W,,08,183,39.09170151,-104.87200165,447.725,442.725,,,,El Paso,,On-Air,Local.,K0NR,30,CCARC,2016-12-10,100,,,,100,,,,,,http://www.k0nr.com/wordpress/k0nr-repeater/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,162.2,N0KOM,"Lenora, K-Link",KS,OPEN,A,,136.97,E,,20,3956,39.573,-99.986,146.88,146.28,,,,Norton,,On-Air,Click for coverage map. 50 mi radius.,N0KOM,"e-power, K-Link.",Kansas Repeater Council,2019-03-26,162.2,,,,162.2,,,,,,K-Link Repeater Network,Full-time to the K-Link System .,Sat @ 21:00 local,,49527,,,,,,,,,,,,,,,,,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,88.5,WB5NJU,Kenton,NM,OPEN,,,137.35,SSW,,35,18214,36.90100098,-103.00299835,147.39,147.99,,,,Union,,On-Air,,,,,2019-10-30,88.5,,,Repeater on the New Mexico - Oklahoma border,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.265,-0.6,100,KB0SRJ,"Colorado Springs, ~2 mi ENE USAFA North Gate",CO,OPEN,,Y,137.48,W,,08,39,38.70000076,-104.90000153,145.265,144.665,yes,Open ↑ / Open ↓,,El Paso,DM78NQ,On-Air,Local. Good coverage of I25 corridor from Baptist Rd south to Fort Carson.,Pikes Peak FM Association (http://PPFMA.ORG),,CCARC,2019-03-07,,,,,,,,,,,PPFMA Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9,-5,,K0PRA,Parker,CO,OPEN,W,Y,137.69,WNW,,08,18248,39.51860046,-104.76100159,446.9,441.9,yes,Open ↑ / Open ↓,40895,Arapahoe,,On-Air,Small coverage area in Parker,Parker Radio Association,Linked to the Colorado Mega digital system,,2019-11-03,,,,,,,,,,,https://www.parkerradio.org,,Monday nights 8pm mountain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.05,-5,CC,N0KEG,Parker,CO,OPEN,,D,137.69,WNW,,08,17696,39.51860046,-104.76100159,448.05,443.05,,,,Douglas,,,,,,,2019-11-27,,,,,,yes,1,310374,Brandmeister c Record retrieved from radioid.net,BrandMeister,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,Brandmeister,,,,,,,,,,,,,,,,,,,,,
443.7,5,162.2,N0NM,"Hill City, K-Link",KS,OPEN,A,,138.64,E,,20,11236,39.26570129,-99.83360291,443.7,448.7,,,,Graham,EM09BG,On-Air,Click for coverage map. 45 mi radius.,"N0NM, N0KOM",E-power.,Kansas Repeater Council,2019-05-06,162.2,,,Use PL 131.8 for WesKan Intertie Use PL 162.2 for K-Link,,,,,,,K-Link Repeater Network,Linkable to the K-Link System . Linkable to the Western Kansas Intertie System .,,,46425,,,,Western Kansas Inter-Tie K-Link Repeater Network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.4,-0.6,100,KB0UDD,"Aurora, Smoky Hill",CO,OPEN,,,138.89,WNW,,08,5,39.6072998,-104.74099731,145.4,144.8,,,,Arapahoe,,On-Air,Greater Denver area.,Castle Rock Repeater Group,"Autopatch, e-power.",CCARC,2019-03-09,100,,,,,,,,,,,"Full-time to 448.50000 (KB0UDD) at Aurora, Smokey Hill, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.19,-0.6,131.8,N0XLF,"Palmer Lake, Monument Hill",CO,OPEN,E,,139.96,W,ON - IDLE,08,8740,39.13600159,-104.92700195,145.19,144.59,,,,Douglas,DM79MD,On-Air,Wide area coverage at 8300,N0OBA Owner,,,2018-10-25,131.8,10079,,,131.8,,,,,,,,Tri Lakes Net: Mon at 19:30 (except third Monday of the month which is the regular radio club meeting).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.19,-0.6,151.4,N0OBA,Aurora,CO,OPEN,E,,140.28,WNW,ON - IDLE,08,8741,39.62799835,-104.75800323,145.19,144.59,,,,Arapahoe,DM79OP,On-Air,"Aurora, Littleton, Denver, Morrison, North Colorado Springs to as far as Ft. Collins.",N0OBA,Autopatch (please contact trustee).,,2018-02-01,151.4,10079,,"Please note the PL's! Do not TSQ unless your radio can do split PL's. Otherwise you will not here the system. Regards, Scott",131.8,,,,,,,,"""Tri Lakes Net"" This net is held every Monday at 7:30pm local (except on the third Monday of the month when we have our regular radio club meeting.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
