Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,YSF Digital Enabled,DG-ID,WIRES-X,County,Grid,Op Status,Coverage,Sponsor,Features,Coordination,Last update,Uplink Tone,EchoLink,IRLP,Notes,Downlink Tone,DMR Enabled,Color Code,DMR ID,IPSC Network,Wide Network,Web links,Links,Nets,Bandwidth,AllStar,Talkgroups,Rocky Mountain Wide,Central Regional,Affiliate,Mixed-Mode,On-air,Commands,Local/Cluster,Colorado,REACT,CO-Park County,Northern Colorado Regional,D-STAR Enabled,Node,Sources,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,Feed,P-25 Digital Enabled,NAC,Default Reflector,Southern Colorado,TAC 310,TAC 311,Colorado Chat,Local Network,Eastern Colorado,Devilshead Local,Location Photo,Talkgroup Network,Local or Reflector,Kansas,CKRG,KansasLink,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,DCI Bridge,N. Colorado,Mountain Reg USA,Worldwide English,North America,Worldwide,English,BYRG
147.06,0.6,103.5,KE0AE,Genoa,CO,OPEN,A,,68.3,WNW,,08,128,39.26879883,-103.48799896,147.06,147.66,,,,Lincoln,DM89GG,On-Air,"I-70, US-71, US-287, US-40, US-24",BSARC,"APRS repeater / weather station, remote base, e-power (solar - completely off the electrical grid).",CCARC,2019-07-21,103.5,,,,,,,,,,http://www.bigsandyradio.com/,,Big Sandy Net: Tues 19:00,,42740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7375,-5,CC,K0RTS,"Genoa, Limon",CO,OPEN,,D,69.17,WNW,,08,13581,39.27830124,-103.5,446.7375,441.7375,,,,Lincoln,,On-Air,"I-70 H-40 H-287 Arriba, Genoa, Hugo, Limon 50 mile radius",K0RTS KC0VJD,,CCARC,2019-11-27,,,,Colorado on TG700 Slot 1 Denver on TG720 Slot 2,,yes,8,310829,RMHAM c Record retrieved from radioid.net,,,,,,,"Open Talkgroup View Assignment TS TG Access Rocky Mountain Wide 1 700 Central Regional 2 720 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",1,2,RMHam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.9,-5,107.2,N1FSX,Punkin Center,CO,OPEN,,,72.53,W,,08,7395,38.85200119,-103.69999695,449.9,444.9,,,,Lincoln,DM88DU,On-Air,,,,CCARC,2012-07-20,107.2,,,,,,,,,,,,,,,,,,BSAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.3,5,141.3,K0ECT,Elkader,KS,OPEN,,,77.15,ESE,,20,4100,38.78499985,-100.92099762,444.3,449.3,,,,Logan,DM98MS,On-Air,,SKECT,E-power.,Kansas Repeater Council,2018-07-12,141.3,,,,141.3,,,,,,http://skect.org/default.aspx,Full-time to the SKECT System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.7,-0.6,141.3,WA0OQA,Scott City,KS,OPEN,A,Y,77.71,SE,,20,3940,38.4846,-100.979,146.7,146.1,yes,Open ↑ / Open ↓,,Scott,DM98,On-Air,"Scott, Finney and Kearny counties",Sand Hills ARC,E-power.,Kansas Repeater Council,2018-09-16,141.3,,,Comet GP-6 @ 125'.,141.3,,,,,,,"Full-time to 146.91000 (WA0OQA) at Garden City, KS .",Tue at 20:30.,,48589,,,,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.75,5,162.2,NV8Q,"Colby, K-Link",KS,OPEN,,,78.17,E,,20,8689,39.40119934,-101.10099792,444.75,449.75,,,,Thomas,DM99KJ,,Wide area. Click for coverage map. 50 mi radius.,,Linked to K-Link Repeater Network E-power (batt) Allstar 46010,Kansas Repeater Council,2018-10-15,162.2,,,"Repeater is intermittently off-air, and the Allstar node is down.",162.2,,,,,,K-Link Repeater Network,,,,,,,,K-Link Repeater Network,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,156.7,NW0K,Colby,KS,OPEN,I,,79.09,E,,20,3889,39.39149857,-101.0739975,146.82,146.22,,,,Thomas,DM99LJ,On-Air,Local,TARC,"Closed autopatch, e-power.",Kansas Repeater Council,2019-05-06,156.7,,7552,,156.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.95,5,100,W0MI,"Scott City, K-Link",KS,OPEN,,,80.62,SE,,20,6463,38.48089981,-100.9240036,444.95,449.95,,,,Scott,DM98ML,Off-Air,Click for coverage map. 35 mi radius.,SHARC,Internet Linked to K-Link Repeater Network.,Kansas Repeater Council,2019-07-27,100,,,,100,,,,,,http://ks0lnk.net,Full-time internet linked to the K-Link System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.985,-0.6,156.7,N0OMC,Lakin,KS,OPEN,,,84.99,SE,,20,3967,37.93579865,-101.26399994,146.985,146.385,,,,Kearney,DM97IW,On-Air,"Kearny, Finney and Scott Counties",N0OMC,E-power,Kansas Repeater Council,2018-09-16,156.7,,,Linked full time to the Garden City 146.910 and Scott City 146.700 repeaters,156.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,,KC0ITF,"La Junta, North La Junta",CO,PRIVATE,W,Y,85.32,SW,,08,167,37.99950027,-103.52899933,147.36,147.96,yes,Open ↑ / Open ↓,11360,Otero,DM87FX,On-Air,La Junta: U.S. Route 50 CO State Hwy 10 CO State Hwy 109 CO State Hwy 194 U.S. Route 350,,E-power,,2018-09-30,,,,Digital Wires-X,123,,,,,,,,,,,,,,KC0ITF,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
