Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Op Status,Features,Coordination,Last update,Sponsor,Coverage,Web links,Links,Affiliate,IRLP,Notes,Nets,DMR Enabled,Color Code,Wide Network,On-air,Commands,EchoLink,DMR ID,AllStar,D-STAR Enabled,Node,Sources,Grid,Talkgroups,Rocky Mountain Wide,Southern Colorado,P-25 Digital Enabled,NAC,Default Reflector,Talkgroup Network,Central Regional,Northern Colorado Regional,Worldwide,North America,English,Europe,TAC 310,DCI Bridge,Southwest USA,Location Photo,Feed,Bandwidth,Eastern Colorado,Devilshead Local,YSF Digital Enabled,DG-ID,IPSC Network,Mixed-Mode,TAC 311,Colorado,Colorado Chat,Local Network,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,WIRES-X
147.27,0.6,127.3,KB5ITS,"Ouray, Engineer Mountain",CO,OPEN,,,33.38,SSE,,08,16604,38.0228,-107.671,147.27,147.87,127.3,,Ouray,On-Air,,CCARC,2018-01-15,,,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.7,-5,107.2,KB0YNA,"Telluride, Gray Head",CO,OPEN,I,,34.07,S,,08,254,37.991,-107.972,449.7,444.7,107.2,107.2,San Miguel,On-Air,E-power.,CCARC,2017-12-07,Grand Mesa Repeater Association ( GMRA ),Wide Area via links - Western Colorado - Eastern Utah,,Full-time to the GMRA Open System .,,3710,Closed IRLP out - Ask for a control Op,RACES: Wed at 19:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.35,-5,107.2,,"Cedaredge, Grand Mesa",CO,OPEN,,,36.04,N,,08,3755,38.9944,-107.973,447.35,442.35,107.2,,Delta,,,CCARC,2012-11-10,Grand Mesa Repeater Assoc (GMRA),,GMRA Repeaters,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.65,-5,151.4,KB0YNA,"Grand Junction, Grand Mesa",CO,OPEN,I,,40.78,N,,08,8763,39.0666,-107.937,449.65,444.65,151.4,151.4,Mesa,On-Air,NWS weather alert system.,CCARC,2016-10-28,Keri Washburn,Wide area coverage,,"Full-time to 447.65000 (KB0YNA) at Gunnison, W Mountain or Tenderfoot Mountain, CO .",,8162,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.355,-0.6,88.5,KB0VJJ,"Grand Junction, Grand Mesa",CO,OPEN,,,40.79,N,,08,149,39.0667,-107.936,145.355,144.755,88.5,123,Mesa,On-Air,E-power.,CCARC,2017-01-06,Colorado Connection,"Rifle to the east, several miles east of Green River, Utah to the west.",,Full-time to the Colorado Connection System .,,,Colorado Connection system of repeaters,Central Colorado Traffic Net: Daily at 19:30. Colorado Connection Net (all welcome): Thu at 20:00. Statewide ARES: Sun at 20:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.4,-5,131.8,KB0YNA,"Delta, Uncompahgre Butte",CO,OPEN,I,,42.23,W,,08,127,38.5767,-108.647,449.4,444.4,131.8,131.8,Mesa,On-Air,E-power.,CCARC,2016-08-19,"WA4HND, Grand Mesa Repeater Association",Wide area via links - Western Colorado - Eastern Utah,http://www.gmra.org,Full-time to the GMRA Open System .,,3710,Closed IRLP out - Ask for a control op,RACES Wed 1930 Hrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.135,-0.6,123,KB5ITS,"Lake City, Hill 71",CO,OPEN,,,43.43,SE,,08,16607,38.03,-107.315,147.135,146.535,123,,Hinsdale,On-Air,E-power (solar),CCARC,2018-01-15,,,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,100,W0GJT,Grand Junction,CO,OPEN,EI,,44.31,NW,Node Offline,08,153,38.899,-108.496,448.15,443.15,100,,Mesa,On-Air,,CCARC,2016-04-22,,,,,,7963,,,,,,,,312189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.3,-5,107.2,WA4HND,"Grand Junction, Grand Mesa",CO,OPEN,I,,44.68,NNW,,08,154,39.0539,-108.254,449.3,444.3,107.2,107.2,Mesa,On-Air,e-power Linked to GMRA Open System,CCARC,2018-01-16,,Wide Area I-70 West Rifle to Western Utah,http://www.gmra.org/,,,3710,Closed IRLP out,RACES Wed 1930 hrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9125,-5,CC,W0BX,"Grand Junction, Grand Mesa",CO,OPEN,,D,46.23,NNW,,08,16721,39.0889,-108.227,446.9125,441.9125,,,Mesa,On-Air,,,2018-01-09,Bill Frost,"Grand Junction, I70",,,,,Brandmeister network,,yes,1,,,,,310868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.325,-0.6,127.3,KB5ITS,"Silverton, Buffalo Boy",CO,OPEN,,,47.45,SSE,,08,16605,37.8119,-107.665,145.325,144.725,127.3,,San Juan,On-Air,Solar powered,CCARC,2018-01-15,,,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,5,67,KB5ITS,"Silverton, Hazelton",CO,OPEN,,,47.45,SSE,,08,16624,37.8119,-107.665,444,449,67,,San Juan,On-Air,,,2018-08-03,,,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.525,-5,127.3,KB5ITS,Silverton,CO,OPEN,,,47.47,SSE,,08,210,37.8119,-107.664,447.525,442.525,127.3,,San Juan,On-Air,E-power.,CCARC,2014-06-30,KB5ITS,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.375,0.6,156.7,KB5ITS,"Silverton, Kendall Mountain",CO,OPEN,,,49.2,SSE,,08,209,37.7933,-107.629,147.375,147.975,156.7,,San Juan,On-Air,13,CCARC,2018-01-15,,Wide area.,http://www.sjcham.com,"Part-time to 146.67000 (K0EP) at Durango, Eagle Pass, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.95,-5,,K5GF,Gunnison,CO,OPEN,,,51.63,ESE,,08,161,38.5458,-106.925,449.95,444.95,,,Gunnison,,,CCARC,2012-11-10,K5GF,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.12,0.6,,W0VTL,Gunnison,CO,OPEN,,,51.63,ESE,,08,160,38.5458,-106.925,147.12,147.72,,,Gunnison,On-Air,E-power.,CCARC,2014-09-01,W0VTL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.5,-5,107.2,KB0SW,Collbran,CO,OPEN,,,52.87,N,,08,36,39.2406,-107.961,449.5,444.5,107.2,,Mesa,Off-Air,E-power.,CCARC,2016-07-01,Grand Mesa Repeater Association (GMRA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.27,0.6,127.3,KB5ITT,"Silverton, Engineer Mountain",CO,OPEN,,,53.97,S,,08,208,37.6992,-107.806,147.27,147.87,127.3,,San Juan,On-Air,E-power.,CCARC,2017-04-14,KB5ITT,Wide area.,,,Durango ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.355,-0.6,88.5,KB0VJJ,"Grand Junction, Grand Mesa",CO,OPEN,,,54.31,NW,,08,15581,39.052,-108.565,147.355,146.755,88.5,123,Mesa,On-Air,,CCARC,2017-01-06,Colorado Connection,,,Full-time to the Colorado Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,107.2,KE0TY,Grand Junction,CO,OPEN,,,54.37,NW,,08,152,39.0639,-108.55,147.39,147.99,107.2,,Mesa,,Linked.,CCARC,2012-11-10,KE0TY,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,107.2,W0GJT,"Grand Junction, 9 Mile, Hwy 141, Unaweep",CO,OPEN,A,,54.37,NW,,08,261,39.0639,-108.55,146.82,146.22,107.2,,Mesa,On-Air,,CCARC,2019-02-12,,Wide area: North Western Colorado - South to Montrose and East on I-70.,,,,,,,,,,,Enter *83 node# to link. *81 Unlink,,,43554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.105,0.6,,K0SSI,Grand Junction,CO,OPEN,,,54.4,NW,,08,8175,39.0639,-108.551,147.105,147.705,,,Mesa,On-Air,,CCARC,2013-04-20,K0SSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,-5,,KB0SW,Grand Junction,CO,CLOSED,,,54.4,NW,,08,8206,39.0639,-108.551,449,444,,107.2,Mesa,On-Air,,CCARC,2015-08-03,KB0SW,,,,Grand Mesa Repeater Assoc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.5,-5,114.8,KC0ARV,Grand Junction,CO,OPEN,,,54.4,NW,,08,3757,39.0638,-108.551,447.5,442.5,114.8,,Mesa,,,CCARC,2012-11-10,KC0ARV,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.775,-5,,KD0RED,Grand Junction,CO,OPEN,,S,54.4,NW,,08,11792,39.0639,-108.551,446.775,441.775,,,Mesa,On-Air,,,2014-08-16,,,,,,,,,,,,,,,,,yes,KD0RED (B) Gateway Repeater,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.775,-5,173.8,KD0SMZ,Grand Junction,CO,OPEN,EI,,54.4,NW,Node Offline,08,11793,39.0639,-108.551,449.775,444.775,173.8,88.5,Mesa,On-Air,,CCARC,2015-10-25,,,,,,7573,,,,,,,,7572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.22,-0.6,107.2,KE0TY,Grand Junction,CO,OPEN,,,54.4,NW,,08,8167,39.0639,-108.551,145.22,144.62,107.2,,Mesa,,,CCARC,2012-11-12,KE0TY,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.175,-0.6,107.2,W0RRZ,"Grand Junction, GJT",CO,OPEN,I,,56.21,NW,,08,147,39.1173,-108.522,145.175,144.575,107.2,,Mesa,On-Air,"E-power,",CCARC,2016-05-11,,Greater grand Junction area.,,,,3161,,,,,,,Standard IRLP node commands.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.2,-5,107.2,,Glade Park,CO,OPEN,,,58.06,NW,,08,18392,38.97999954,-108.73999786,449.2,444.2,107.2,,Mesa,On-Air,Solar Powered,,2019-12-22,GMRA,,http://www.gmra.org/repeaters.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.94,-0.6,107.2,W0RRZ,"Grand Junction, Black Ridge (Above Colorado Ntl Monument)",CO,OPEN,,,62.08,NW,,08,151,39.0656,-108.748,146.94,146.34,107.2,107.2,Mesa,On-Air,E-power and autopatch for WCARC members,CCARC,2016-05-11,Western Colorado Amateur Radio Club,Grand Junction 30-50 mi,http://w0rrz.org,,,,,Oatmeal Net: Mon-Fri at 7:30AM-8:00AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.575,-5,131.8,WA4HND,"Grand Junction, Black Ridge",CO,OPEN,I,,62.08,NW,,08,155,39.0656,-108.748,449.575,444.575,131.8,131.8,Mesa,On-Air,e-power. Linked to GMRA Open System,CCARC,2018-01-15,,Grand Junction,GMRA Repeaters,,Grand Mesa Repeater Assoc,3710,Closed IRLP out,Wed RACES Net 1930 Hrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.525,-5,100,N0PKT,"Creede, Bristol Head",CO,OPEN,A,,65.05,SE,,08,14923,37.7933,-107.055,449.525,444.525,100,100,Mineral,On-Air,,,2017-01-06,N0PKT,,,Full-time to the The Fun Machine System .,The Fun Machine,,,,,,,,,,,43265,,,,DM67lt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.925,-0.6,,WA0JS,Creede,CO,OPEN,,,67.48,SE,,08,63,37.8492,-106.926,146.925,146.325,,,Mineral,Off-Air,,CCARC,2012-11-12,Creede ARC,,,,,,WA0JS license expired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.8,-5,107.2,WA4HND,"Parachute, Mount Callahan",CO,OPEN,,,67.93,N,,08,253,39.4519,-108.052,449.8,444.8,107.2,,Garfield,On-Air,8,CCARC,2018-01-15,,,GMRA Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,107.2,N0SWE,Rifle,CO,OPEN,E,,69.06,N,Node Offline,08,200,39.4745,-107.772,146.76,146.16,107.2,,Garfield,Off-Air,E-power.,CCARC,2015-06-03,"N0SWE, Roaring Fork Amateur Repeater Cooperative","New Castle, Silt, Rifle and Rulison and areas around Parachute.",,,,,,,,,,,,243117,,,,,,DM69cl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.725,-5,179.9,K0ELK,"Carbondale, Four Mile Ridge",CO,OPEN,IA,,70.46,NNE,,08,35,39.4,-107.315,449.725,444.725,179.9,,Garfield,On-Air,EchoLink.,CCARC,2012-11-10,Roaring Fork Amateur Repeater Cooperative (RFARC),Wide area.,,,,3722,,,,,,,,,,28434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,107.2,K0SNO,"Carbondale, Four Mile Ridge",CO,OPEN,,,70.46,NNE,,08,259,39.4,-107.315,147.39,147.99,107.2,,Garfield,On-Air,,,2016-07-14,Roaring Fork Amateur Repeater Cooperative,"Rifle, Carbondale, El Jebel, Glenwood Springs, Basalt and Aspen.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.85,-0.6,88.5,KB0VJJ,"Glenwood Springs, Sunlight Peak",CO,OPEN,,,70.73,NNE,,08,129,39.4264,-107.38,146.85,146.25,88.5,123,Garfield,On-Air,70,CCARC,2016-05-23,Colorado Connection,"Wide area: Throughout the Roaring Fork Valley, Glenwood Canyon, East and West on I-70, and the Flattops Wilderness north of Glenwood.",,,,,Part of the Colorado Connection System of Repeaters,Daily 7:30PM Local Time Central Colorado Traffic Net Thursdays 8:00PM Colorado Connection Net All Welcome Sundays 8:00PM Statewide ARES net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,107.2,KI0G,"Glenwood Springs, Sunlight Peak",CO,OPEN,,,70.73,NNE,,08,130,39.4264,-107.38,146.88,146.28,107.2,,Garfield,On-Air,,CCARC,2012-11-10,Ski Country ARC,,,"Full-time to 447.60000 (KI0G) at Glenwood Springs, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.1,-5,107.2,KI0G,"Glenwood Springs, Sunlight Peak",CO,OPEN,,,70.73,NNE,,08,132,39.4264,-107.38,447.1,442.1,107.2,,Garfield,On-Air,,CCARC,2012-11-10,Ski Country ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.6,-5,107.2,N0XLI,"Glenwood Springs, Sunlight Peak",CO,OPEN,,,70.73,NNE,,08,255,39.4264,-107.38,449.6,444.6,107.2,,Garfield,On-Air,e-power Linked to GMRA open system,CCARC,2018-01-15,,Wide area.,http://www.gmra.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.67,-0.6,107.2,K0CL,Snowmass Village,CO,OPEN,,,71.63,NE,,08,211,39.2131,-106.937,146.67,146.07,107.2,,Pitkin,On-Air,Linked.,CCARC,2012-11-10,Ski Country ARC,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.65,-5,151.4,KB0YNA,"Gunnison, W Mountain or Tenderfoot Mountain",CO,OPEN,,,72.63,ESE,,08,15212,38.6125,-106.543,447.65,442.65,151.4,151.4,Gunnison,On-Air,"Linked to 448.650 in Montrose, Colorado and 449.650 in Grand Junction, Colorado.",CCARC,2016-10-28,KB0YNA,Gunnison valley and along East and west on Highway 50.,,"Full-time to 448.65000 (KB0YNA) at Montrose, Waterdog Peak, CO . Full-time to 449.65000 (KB0YNA) at Grand Junction, Grand Mesa, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.67,-0.6,100,K0EP,"Durango, Eagle Pass",CO,OPEN,,,73.82,S,,08,113,37.4153,-108.012,146.67,146.07,100,100,La Plata,On-Air,11,CCARC,2019-04-01,Durango ARC,Wide area.,DARC Repeaters,"Part-time to 147.37500 (KB5ITS) at Silverton, Kendall Mountain, CO .",,,Linked active in the summer months only.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.05,-5,136.5,K0VQ,"Aspen, Aspen Mountain",CO,OPEN,,,74.17,NE,,08,260,39.1761,-106.829,447.05,442.05,136.5,136.5,Pitkin,On-Air,,CCARC,2012-11-10,Roaring Fork Amateur Repeater Cooperative,Aspen-Snowmass areas.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.7,-0.6,100,K0EP,"Durango, Missionary Ridge",CO,OPEN,,,75.88,S,,08,116,37.3828,-107.778,146.7,146.1,100,100,La Plata,On-Air,9,CCARC,2018-01-16,Durango ARC,Local.,http://durangoarc.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.1375,-5,CC,N0SZ,"Durango, Missionary Ridge",CO,OPEN,,D,76.95,S,,08,16782,37.3669,-107.785,445.1375,440.1375,,,La Plata,On-Air,,CCARC,2018-09-27,K2AD,,http://www.rmham.org/,,Rocky Mountain Ham Radio,,Talkgroup 700 TS 1 Talkgroup 719 TS 2,,yes,7,,,,,310854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.19,-0.6,100,KB5ITS,"Cortez, Goodman",CO,OPEN,,,77.4,SSW,,08,16606,37.4739,-108.505,145.19,144.59,100,,Montezuma,On-Air,,CCARC,2018-01-15,,,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.275,-5,100,KB5ITS,"Dolores, Summit Ridge",CO,OPEN,,,77.4,SSW,,08,16623,37.4739,-108.505,447.275,442.275,100,,Montezuma,On-Air,,,2017-12-07,,,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.15,-5,136.5,K0VQ,"Carbondale, Missouri Heights",CO,OPEN,E,,77.64,NNE,ON - IDLE,08,6009,39.4247,-107.097,447.15,442.15,136.5,,Garfield,On-Air,,,2011-08-01,,,,,,,"Please contact Tracy, K0VQ, by email or on-the-air prior to attempting to use this node to obtain codes for specific questions and to make sure that proper protocol is followed. Please DO NOT just key up and start issuing DTMF codes, connecting to reflectors, etc., without guidance.",,,,,,,8150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.345,0.6,88.5,KB0VJJ,"Durango, Missionary Ridge",CO,OPEN,,,78.19,S,,08,114,37.35,-107.767,147.345,147.945,88.5,123,La Plata,On-Air,,CCARC,2016-06-20,Colorado Connection,Durango and north towards Molas Divide.,,Full-time to the Colorado Connection System .,,,,Central Colorado Traffic Net: Daily at 19:30. Colorado Connection Net (All Welcome): Thu at 20:00. Statewide ARES: Sun at 20:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,88.5,K7QEQ,"Moab, Bald Mesa",UT,OPEN,,,78.27,W,,49,13042,38.5286,-109.322,146.76,146.16,88.5,,Grand,On-Air,,UVHFS,2017-11-04,Sinbad Desert ARC,Moab and immediate surroundings.,http://www.sdarc.us/repeaters/bald.html,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.325,-0.6,,KB5ITS,"Mancos, Caviness",CO,OPEN,,,78.37,S,,08,18459,37.36460114,-108.14800262,145.325,144.725,,,Montezuma,On-Air,,,2020-01-12,San Juan Connection,,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.1,-5,107.2,K7QEQ,"Moab, Bald Mesa",UT,OPEN,,,78.43,W,,49,52,38.5286,-109.325,449.1,444.1,107.2,107.2,Grand,On-Air,8,UVHFS,2017-11-04,Grand Mesa Repeater Association (GMRA),"Wide area: Moab and surrounding areas, including large portions of Arches and Canyonlands National Parks.",GMRA Repeaters,,,,,RACES Wed. 1930 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.375,5,100,KB5ITS,"Mancos, Caviness Mountain",CO,OPEN,,,78.7,S,,08,15896,37.36,-108.15,442.375,447.375,100,,Montezuma,On-Air,,,2017-11-30,San Juan Connection,,,Full-time to the San Juan Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.02,-1.6,,KI0G,Glenwood Springs,CO,CLOSED,,,79.77,NNE,,08,8181,39.5505,-107.325,224.02,222.42,,,Garfield,,,CCARC,2012-11-12,SCARC,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
