Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Op Status,Coverage,Sponsor,Coordination,Last update,Features,EchoLink,Notes,IRLP,AllStar,Nets,Links,Web links,DMR Enabled,Color Code,DMR ID,Wide Network,Talkgroup Network,Talkgroups,Southern Colorado,Central Regional,Northern Colorado Regional,Affiliate,On-air,Grid,Rocky Mountain Wide,Commands,D-STAR Enabled,Node,Sources,IPSC Network,P-25 Digital Enabled,NAC,Default Reflector,Feed,Mixed-Mode,Devilshead Local,YSF Digital Enabled,DG-ID,Location Photo,Bandwidth,Local Network,Eastern Colorado,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,TAC 310,TAC 311,Colorado,Colorado Chat,WIRES-X,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,Worldwide English,North America,DCI Bridge,Local/Cluster,N. Colorado,Worldwide,English,Mountain Reg USA,Wyoming,WyLOCAL,Europe,Southwest USA
145.445,-0.6,88.5,KB0VJJ,"Leadville, Mosquito Pass",CO,OPEN,,,34.39,ESE,,08,172,39.28139877,-106.18599701,145.445,144.845,88.5,,Lake,On-Air,,Colorado Connection,CCARC,2019-08-16,E-power (solar).,,"At 13,685;, it is one of the highest 2-meter repeaters in North America.",,,Central Colorado Traffic Net: Daily at 19:30. Colorado Connection Net (all welcome): Thu at 20:00. Statewide ARES: Sun at 20:00.,Full-time to the Colorado Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.05,-5,CC,N0SZ,"Leadville, Mosquito Pass",CO,OPEN,,D,34.43,ESE,,08,16783,39.2653,-106.182,445.05,440.05,,,Lake,On-Air,,K2AD,CCARC,2018-07-07,,,,,,,,http://www.rmham.org/,yes,7,310852,,RMHAM,"Open Talkgroup View Assignment TS TG Access Southern Colorado 2 719 Full-Time Central Regional 2 720 Full-Time Northern Colorado Regional 2 721 Full-Time function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",2,2,2,Rocky Mountain Ham Radio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.075,-5,CC,N0SZ,Vail,CO,OPEN,,D,36.5,NNE,,08,16781,39.6348,-106.447,445.075,440.075,,,Eagle,On-Air,,K2AD,CCARC,2018-02-01,,,,,,,,http://www.rmham.org/,yes,7,310851,,,,,,,Rocky Mountain Ham Radio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.3,0.6,107.2,K0VQ,"Glenwood Springs, Three Mile Ridge",CO,OPEN,E,,36.71,NW,Node Offline,08,131,39.5506,-107.324,147.3,147.9,107.2,,Garfield,Off-Air,"Wide area: Glenwood Springs, Glenwood Canyon, South Canyon, Carbondale and surrounding areas.",Roaring Fork Amateur Repeater Cooperative,CCARC,2012-11-10,8,266359,Single beep courtesy tone when linked and none when unlinked.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.02,-1.6,,KI0G,Glenwood Springs,CO,CLOSED,,,36.74,NW,,08,8181,39.55049896,-107.32499695,224.02,222.42,,,Garfield,,,SCARC,CCARC,2012-11-12,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.6,-5,,KI0G,Glenwood Springs,CO,CLOSED,,,36.74,NW,,08,8192,39.5505,-107.325,447.6,442.6,,,Garfield,,40,Ski Country ARC (SCARC),CCARC,2012-11-12,50,,Link Hub for 146.880.,,,,"Full-time to 146.88000 (KI0G) at Glenwood Springs, Sunlight Peak, CO .",,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.85,-5,131.8,WA4HND,"Glenwood Springs, Lookout Mountain",CO,OPEN,,,36.74,NW,,08,13637,39.55049896,-107.32499695,449.85,444.85,131.8,131.8,Garfield,On-Air,Glenwood Springs,,CCARC,2018-01-15,e-power Linked to GMRA Open System,,RACES net Wed 1930 Hrs Local,,,Colorado State RACES Wed 1930 local,Full-time to the GMRA Open System .,http://GMRA.org,,,,,,,,,,Grand Mesa Repeater Assoc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.345,0.6,88.5,KB0VJJ,Vail,CO,OPEN,,,37.42,NNE,,08,241,39.6554,-106.457,147.345,147.945,88.5,123,Eagle,On-Air,Wide area: Vail Pass to Glenwood Canyon and the Flattops Wilderness to Tennessee Pass. Map,Colorado Connection,CCARC,2017-01-06,9,,,,,Central Colorado Traffic Net: Daily at 19:3030 Colorado Connection Net (All Welcome): Thu at 20:00. Statewide ARES net: Sun at 20:00.,Full-time to the Colorado Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.61,-0.6,107.2,K0RV,"Vail, Bald Mountain",CO,OPEN,,,37.83,NE,,08,256,39.6061,-106.356,146.61,146.01,107.2,,Eagle,On-Air,,ECHO,CCARC,2012-11-10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.8,-1.6,,N0AFO,Vail,CO,OPEN,,,39.05,NE,,08,242,39.6403,-106.374,224.8,223.2,,,Eagle,Off-Air,,ECHO,CCARC,2018-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.9,-5,107.2,N0AFO,Vail,CO,OPEN,,,39.05,NE,,08,243,39.6403,-106.374,449.9,444.9,107.2,107.2,Eagle,Off-Air,,ECHO,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.125,-5,103.5,AA0BF,"Fairplay, Sacramento Mountain",CO,OPEN,A,,39.16,ESE,,08,5336,39.21,-106.087,447.125,442.125,103.5,103.5,Park,On-Air,"Covers Fairplay, Alma, and western South Park.",AA0BF,CCARC,2019-03-08,Emergency automatic generator.,,"Normally linked via Allstar to 45835 - AB0PC, Bailey, CO.",,45840,"When connected to AB0PC - Bailey: ARES Mon 19:00, Park County Radio Club Wed 19:30.",,,,,,,,,,,,"Park County Radio Club, AB0PC",,DM69wf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.65,-5,151.4,KB0YNA,"Gunnison, W Mountain or Tenderfoot Mountain",CO,OPEN,,,42.63,SSE,,08,15212,38.6125,-106.543,447.65,442.65,151.4,151.4,Gunnison,On-Air,Gunnison valley and along East and west on Highway 50.,KB0YNA,CCARC,2016-10-28,"Linked to 448.650 in Montrose, Colorado and 449.650 in Grand Junction, Colorado.",,,,,,"Full-time to 448.65000 (KB0YNA) at Montrose, Waterdog Peak, CO . Full-time to 449.65000 (KB0YNA) at Grand Junction, Grand Mesa, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.95,-5,,K5GF,Gunnison,CO,OPEN,,,44.96,S,,08,161,38.5458,-106.925,449.95,444.95,,,Gunnison,,,K5GF,CCARC,2012-11-10,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.12,0.6,,W0VTL,Gunnison,CO,OPEN,,,44.96,S,,08,160,38.5458,-106.925,147.12,147.72,,,Gunnison,On-Air,,W0VTL,CCARC,2014-09-01,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.7,-0.6,107.2,WB0QMR,Breckenridge,CO,OPEN,I,,46.27,E,,08,23,39.4817,-106.038,146.7,146.1,107.2,,Summit,On-Air,,GRARC,CCARC,2013-01-07,E-power.,,,3972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.745,-0.6,100,W0LSD,Nathrop,CO,OPEN,,,46.85,SE,,08,184,38.7129,-106.2,146.745,146.145,100,,Chaffee,On-Air,,CLARA,CCARC,2019-07-21,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.33,0.6,107.2,KI0MR,Paonia,CO,OPEN,,,47.15,WSW,,08,8179,38.8683,-107.592,147.33,147.93,107.2,,Delta,On-Air,Wide area.,North Fork Repeater Assoc.,CCARC,2016-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.0875,-5,CC,N0SZ,"Breckenridge, Baldy",CO,OPEN,,D,48.52,E,,08,16780,39.459,-105.979,445.0875,440.0875,,,Fremont,On-Air,,K2AD,,2018-02-01,,,,,,,,http://www.rmham.org/,yes,7,310830,,,,,,,Rocky Mountain Ham Radio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,88.5,KB0VJJ,"Breckenridge, Bald Mountain",CO,OPEN,,,48.63,E,,08,24,39.4439,-105.969,147.39,147.99,88.5,123,Summit,On-Air,Wide area.,Colorado Connection,CCARC,2015-01-30,12,,"Please Note that 146.790 is the old Breckenridge frequency and this repeater may return to that frequency eventually but is now working on 147.390-. This machine has a split tone, 88.5 rx and 123.0 tx",,,Central Colorado Traffic Net: Daily at 19:30. Colorado Connection Net (all welcome): Thu at 20:00. Statewide ARES: Sun at 20:00.,Full-time to the Colorado Connection System .,Breckenridge Repeater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7625,-5,CC,N0SZ,"Fairplay, Badger",CO,OPEN,,D,51.79,ESE,,08,12698,39.0469,-105.87,446.7625,441.7625,,,Park,On-Air,,K7PFJ,,2017-03-11,,,,,,,,,yes,0,,,,"Open Talkgroup View Assignment TS TG Access Rocky Mountain Wide 1 700 Central Regional 2 720 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",,2,,RMHAM,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.575,-5,103.5,WZ0N,Hartsel,CO,OPEN,,,52.04,SE,,08,9840,38.88330078,-105.93299866,448.575,443.575,103.5,103.5,Park,Off-Air,Western Park County,,CCARC,2017-11-22,,,,,,,"Full-time internet linked to 146.89500 (AB0PC) at Bailey, Dick Mountain, CO .",,,,,,,,,,,,,DM78AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.325,-0.6,100,KD0MRC,Maysville,CO,OPEN,,,53.73,SSE,,08,16739,38.50630188,-106.34500122,145.325,144.725,100,,Chaffee,On-Air,wide area,Chaffee Lake Amateur Repeater Association,,2019-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,107.2,N0SWE,Rifle,CO,OPEN,E,,54.62,WNW,Node Offline,08,200,39.4745,-107.772,146.76,146.16,107.2,,Garfield,Off-Air,"New Castle, Silt, Rifle and Rulison and areas around Parachute.","N0SWE, Roaring Fork Amateur Repeater Cooperative",CCARC,2015-06-03,E-power.,243117,,,,,,,,,,,,,,,,,,DM69cl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.355,-0.6,88.5,KB0VJJ,"Grand Junction, Grand Mesa",CO,OPEN,,,60.54,W,,08,149,39.06669998,-107.93599701,145.355,144.755,88.5,123,Mesa,On-Air,"Rifle to the east, several miles east of Green River, Utah to the west.",Colorado Connection,CCARC,2017-01-06,E-power.,,Colorado Connection system of repeaters,,,Central Colorado Traffic Net: Daily at 19:30. Colorado Connection Net (all welcome): Thu at 20:00. Statewide ARES: Sun at 20:00.,Full-time to the Colorado Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.65,-5,151.4,KB0YNA,"Grand Junction, Grand Mesa",CO,OPEN,I,,60.59,W,,08,8763,39.0666,-107.937,449.65,444.65,151.4,151.4,Mesa,On-Air,Wide area coverage,Keri Washburn,CCARC,2016-10-28,NWS weather alert system.,,,8162,,,"Full-time to 447.65000 (KB0YNA) at Gunnison, W Mountain or Tenderfoot Mountain, CO .",,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.5,-5,107.2,KB0SW,Collbran,CO,OPEN,,,61.29,W,,08,36,39.2406,-107.961,449.5,444.5,107.2,,Mesa,Off-Air,,Grand Mesa Repeater Association (GMRA),CCARC,2016-07-01,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.195,0.6,107.2,KC0QXX,"Cedaredge, Cedar Mesa",CO,OPEN,,,62.73,WSW,,08,3745,38.9016,-107.926,147.195,147.795,107.2,,Delta,,Local.,,,2018-04-04,,,,,,,,,,,,,,,,,,Colorado District 25 ARES,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,100,W0ALC,Cedaredge,CO,OPEN,,,62.73,WSW,,08,3749,38.90159988,-107.9260025,147.36,147.96,100,,Delta,On-Air,,W0ALC,CCARC,2019-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.825,-5,100,W0ALC,Cedaredge,CO,OPEN,,,62.73,WSW,,08,3760,38.9016,-107.926,449.825,444.825,100,,Delta,,,W0ALC,CCARC,2018-04-04,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.975,-5,,KD0QPG,"Salida, Methodist Mountain",CO,OPEN,,S,63.24,SE,,08,9844,38.5347,-105.999,446.975,441.975,,,Chaffee,On-Air,,Crestone Amateur Radio Emergency Services,CCARC,2013-07-06,,,,,,,,KD0QPG,,,,,,,,,,Crestone Amateur Radio Emergency Services,,,,,yes,KD0QPG (B) Gateway Repeater,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8125,-5,CC,N0SZ,"Salida, Methodist Mountain",CO,OPEN,,D,63.24,SE,,08,12697,38.53469849,-105.99900055,446.8125,441.8125,,,Chaffee,On-Air,,RMHAM,,2019-11-27,,,,,,,,,yes,7,310825,,,"Open Talkgroup View Assignment TS TG Access Rocky Mountain Wide 1 700 Southern Colorado 2 719 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",2,,,,,,1,,,,,RMHR c Record retrieved from radioid.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.35,-5,107.2,,"Cedaredge, Grand Mesa",CO,OPEN,,,63.41,WSW,,08,3755,38.9944,-107.973,447.35,442.35,107.2,,Delta,,,Grand Mesa Repeater Assoc (GMRA),CCARC,2012-11-10,,,,,,,,GMRA Repeaters,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.075,0.6,88.5,KB0VJJ,"Kremmling, Santoy Peak",CO,OPEN,,,64.18,NNE,,08,166,40.0589,-106.388,147.075,147.675,88.5,123,Grand,On-Air,Flattops Wilderness Area well and can even be worked from the Front Range in some locations. Coverage at the east end of Glenwood Canyon to Eagle is available in some spots along I-70. Map,Colorado Connection,CCARC,2016-05-23,,,Part of the Colorado Connection system of Repeaters,,,Colorado Traffic Net: Daily at 19:30. Colorado Connection Net (all welcome): Thu at 20:00. Statewide ARES: Sun at 20:00.,Full-time to the Colorado Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.285,0.6,88.5,KB0VJJ,"Salida, Methodist Mountain",CO,OPEN,,,66.65,SE,,08,204,38.4596,-106.011,147.285,147.885,88.5,123,Chaffee,On-Air,"Wide area: South Park, Gunnison, Pueblo, and the San Luis Valley south to New Mexico. At extremes, it has been worked from east of Montrose and Blue Mesa Resevoir, on Fremont Pass near Climax, in and around Bailey on U.S. 285, and south toward Trinidad on Interstate 25.",Colorado Connection,CCARC,2016-05-23,11,,,,,Central Colorado Traffic Net: Daily at 19:30. Colorado Connection Net (All Welcome): Thu at 20:00. Statewide ARES Net: Sun at 20:00.,Full-time to the Colorado Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.295,-0.6,107.2,KC0CVU,"Salida, Methodist Mountain",CO,OPEN,,,66.65,SE,,08,203,38.4596,-106.011,145.295,144.695,107.2,,Chaffee,On-Air,Wide area.,Cheyenne Mtn Repeater Group,CCARC,2019-08-15,,,,,,,,CMRG Repeaters,,,,,,,,,,,,DM78ik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.65,-5,107.2,KC0CVU,"Salida, Methodist Mountain",CO,OPEN,,,66.76,SE,,08,205,38.4528,-106.018,449.65,444.65,107.2,,Chaffee,On-Air,Wide area.,,CCARC,2018-01-15,E-power.,,,,,,,CMRG Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.925,-5,103.5,WZ0N,"Salida, Methodist Mountain",CO,OPEN,,,66.76,SE,,08,3811,38.4528,-106.018,449.925,444.925,103.5,103.5,Chaffee,On-Air,"Upper Arkansas and Platte Rivers, and the SLV",,CCARC,2013-07-05,E-power (Bat),,Identifies with an 'M' following WZ0N callsign which identifies the site as Methodist.,,,,,,,,,,,,,,,Colorado ARES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Salida, Methodist Mountain",CO,OPEN,EIA,,67.35,SE,ON - IDLE,08,13510,38.4463,-106.011,449.975,444.975,100,100,Chaffee,On-Air,I-25 from Walsenburg to Wyoming and US-50 from La junta to Monarch Pass,,CCARC,2017-03-11,2,363976,Can be linked to various local repeater systems via the remote base. Echolink/IRLP connects restricted. Email me to be added to the authorized list.,7301,28368,APRS Net: Sun at 19:00. Region 5 District 2 ARES Net: Sun at 19:30. Statewide ARES Net: Sun at 20:00. Region 5 District 1 ARES Net: Mon at 19:00. RGARC Net: Wed at 19:00.,Full-time to the The Fun Machine System .,K0JSC.COM,,,,,,,,,,,,DM68xk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.8625,-25.8,,WA6IFI,"Salida, Methodist Mountain",CO,OPEN,,,67.36,SE,,08,18425,38.44670105,-106.01000214,927.8625,902.025,,,Chaffee,On-Air,"Wide area coverage, I 25 from Cheyenne south to MM 20 just north of Trinidad. I 76 East to MM 100. I 70 from Idaho Springs to Genoa. Highway 24 from the Colorado Springs to Limon. Highway 24 west of Colorado Springs is spotty to Hartsel. US 50 from Canon City to Las Animas. Salida south to the San Luis Valley to Antonito. Salida North to just south of Leadville. Repeater Coverage Map",CMRG,CCARC,2020-01-01,,,,,,,Full-time to the The 900 P25 Network System .,,,,,,,,,,,,,,,,,,,,yes,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.8,-5,107.2,WA4HND,"Parachute, Mount Callahan",CO,OPEN,,,68.38,WNW,,08,253,39.4519,-108.052,449.8,444.8,107.2,,Garfield,On-Air,,,CCARC,2018-01-15,8,,,,,,,GMRA Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.685,-0.6,107.2,NX0G,"Lake George, Badger Mountain",CO,OPEN,,,70.64,ESE,,08,169,39.04940033,-105.51300049,146.685,146.085,107.2,107.2,Park,On-Air,,Mountain ARC (MARC),CCARC,2016-11-17,"Closed autopatch, e-power.",,,,,MARC/PCRC: Tue at 19:30.,"Full-time to 146.82000 (NX0G) at Woodland Park, CO . Full-time to 448.65000 (NX0G) at Woodland Park, CO . Full-time to 447.47500 (NX0G) at Colorado Springs, CO . Full-time to 147.01500 (NX0G) at Cripple Creek, CO .",,,,,,,,,,,,,DM79FB,,Autopatch: 911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,107.2,KC0CVU,"Lake George, Badger Mountain",CO,OPEN,I,,70.7,ESE,,08,170,39.0489,-105.512,147.36,147.96,107.2,107.2,Park,On-Air,Wide area.,,CCARC,2018-01-15,E-power.,,,3854,,,,CMRG Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.65,-5,,KB0YNA,"Montrose, Waterdog Peak",CO,OPEN,,,72.17,SW,,08,15213,38.38750076,-107.6740036,448.65,443.65,,151.4,Montrose,On-Air,Wide area.,KB0YNA,,2016-10-11,,,,,,,"Full-time to 447.65000 (KB0YNA) at Gunnison, W Mountain or Tenderfoot Mountain, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.2,-5,107.2,WA4HND,"Montrose, Waterdog Peak",CO,OPEN,I,,72.17,SW,,08,69,38.3875,-107.674,447.2,442.2,107.2,107.2,Montrose,On-Air,Delta/Montrose,,CCARC,2018-01-15,9,,Closed IRLP out - Ask for a control op,3710,,RACES Net Wed at 1930 Hrs.,Full-time to the GMRA Open System .,GMRA Repeaters,,,,,,,,,,Grand Mesa Repeater Assoc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
