Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,D-STAR Enabled,Node,Sources,County,Op Status,Sponsor,Coordination,Last update,Uplink Tone,DMR Enabled,Color Code,Wide Network,Coverage,Affiliate,Links,Notes,Web links,Features,EchoLink,Nets,IRLP,Grid,Downlink Tone,DMR ID,IPSC Network,Local Network,Commands,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,On-air,P-25 Digital Enabled,NAC,Default Reflector,Mixed-Mode,AllStar,YSF Digital Enabled,DG-ID,Talkgroup Network,Talkgroups,Rocky Mountain Wide,Southern Colorado,Central Regional,Northern Colorado Regional,Feed,WIRES-X,Worldwide,North America,English,TAC 310,Local/Cluster,N. Colorado,Worldwide English,DCI Bridge,Colorado,Mountain Reg USA,Devilshead Local,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,Bandwidth,Wyoming,WyLOCAL,Eastern Colorado,TAC 311,Colorado Chat,Location Photo
448.525,-5,151.4,N0EPA,Longmont,CO,OPEN,E,,13.83,NE,ON - IDLE,08,176,40.16719818,-105.10099792,448.525,443.525,,,,Boulder,On-Air,N0EPA,CCARC,2019-06-19,151.4,,,,,,,,,,223853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.27,0.6,100,W0ENO,Longmont,CO,OPEN,,,13.83,NE,,08,175,40.16719818,-105.10099792,147.27,147.87,,,,Boulder,On-Air,Longmont ARC (LARC),CCARC,2017-03-11,100,,,,Wide area: Northern Colorado.,,"Linkable to 448.80000 (W0ENO) at Longmont, CO .",,http://w0eno.org/?q=node/11,"Closed autopatch, e-power, EchoLink.",,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.8,-5,88.5,W0ENO,Longmont,CO,OPEN,,,13.83,NE,,08,177,40.16719818,-105.10099792,448.8,443.8,,,,Boulder,On-Air,Longmont ARC,CCARC,2017-03-11,88.5,,,,,,"Linkable to 147.27000 (W0ENO) at Longmont, CO .",,,30,,LARC: Sun at 20:00.,,,88.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.6,-1.6,100,W0RM,Rollinsville,CO,OPEN,,,13.93,WSW,,08,201,39.9172,-105.501,224.6,223,,,,Gilpin,,W0RM,CCARC,2012-11-10,100,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.03,0.6,100,KI0HG,"Allenspark, AFPD Station #5",CO,OPEN,,,15.07,NW,,08,15670,40.1727,-105.468,147.03,147.63,,,,Boulder,On-Air,KI0HG,CCARC,2017-01-20,100,,,,,Boulder County Amateur Radio Emergency Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.975,-5,CC,KB0VGD,"Golden, Table Mountain",CO,OPEN,,D,16.18,S,"KB0VGD North Table Mtn. Golden Wide area coverage. Please use ONLY TG 310811, TG 3171, TG 3108, and TG 2 (Local 2) on Time Slot 2 (TS2). ALL OTHER TG connections will be directed to Time Slot 1 (TS1).",08,14273,39.7845993,-105.21600342,446.975,441.975,,,,Jefferson,On-Air,W0DMR,,2019-11-27,,yes,2,,Denver Metro Area,,,,http://www.w0dmr.org/,,,"Tac 310 Net, Sundays 18:00 Mountain Time, TS1, TG 310.",,,,310811,NoCo c Record retrieved from radioid.net,,"TS 1, CC 2: TG 3171 - Northern Colorado Network, TG 3100 - DCI Bridge, TG 1776 - USA Network, TG 310 - Tac 310. TS 2, CC 2: TG 2 - Local",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.75,-5,103.5,KI0GO,"Golden, Guy Hill",CO,OPEN,,,16.71,S,,08,265,39.7772,-105.328,449.75,444.75,,,,Jefferson,On-Air,Rocky Mtn Radio League,CCARC,2016-12-23,103.5,,,,,,,,Repeater,8,,,,,103.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.74,-1.6,88.5,N0POH,"Golden, Guy Hill",CO,OPEN,,,16.71,S,,08,134,39.7772,-105.328,224.74,223.14,,,,Jefferson,On-Air,Aurora Repeater Assoc,CCARC,2016-01-17,88.5,,,,,,,,ARA Repeaters,e-power,,ARA: Wed at 2000.,,,88.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.22,-0.6,103.5,WT0C,"Golden, Guy Hill",CO,OPEN,,,16.71,S,,08,71,39.77719879,-105.32800293,145.22,144.62,,,,Jefferson,On-Air,Rocky Mtn Radio League,CCARC,2016-12-23,103.5,,,,Wide area.,,,Talk-Group of $FFFF.,Repeater,8,,,,,103.5,,,,,,,,,,,yes,293,yes,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.85,-5,88.5,K0IBM,"Golden, Guy Hill",CO,OPEN,,,16.72,S,,08,136,39.7772,-105.329,448.85,443.85,,,,Jefferson,On-Air,Aurora Repeater Assoc,CCARC,2016-01-17,88.5,,,,"Denver metro, central front range",,,,ARA Repeaters,e-power.,,ARA: Wed at 20:00.,,,88.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,-1.6,103.5,N0MHU,"Golden, Guy Hill",CO,OPEN,,,16.72,S,,08,86,39.7772,-105.329,224,222.4,,,,Jefferson,On-Air,Rocky Mountain Radio League,CCARC,2017-03-11,103.5,,,,,,,,Repeater,8,,,,,103.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.15,0.6,100,W0CBI,"Golden, Guy Hill",CO,OPEN,,,16.72,S,,08,133,39.7772,-105.329,147.15,147.75,,,,Jefferson,On-Air,Aurora Repeater Assoc (ARA),CCARC,2016-01-17,100,,,,"Denver metro, central front range",,"Linkable to 224.74000 (N0POH) at Golden, Guy Hill, CO .",,ARA Repeaters,e-power,,ARA: Wed at 20:00.,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.3,-5,100,N1UPS,Westminster,CO,OPEN,EI,,17.48,SE,ON - IDLE,08,8208,39.83670044,-105.03700256,449.3,444.3,,,,Adams,On-Air,N1UPS,CCARC,2017-04-24,100,,,,,,,,,,43699,,3699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.045,0.6,123,K0ML,Northglenn,CO,OPEN,,,17.5,SE,,08,185,39.88560104,-104.98699951,147.045,147.645,,,,Adams,On-Air,Northglenn RA,CCARC,2017-04-10,123,,,,,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
