Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,D-STAR Enabled,Node,Sources,County,Op Status,Sponsor,Coordination,Last update,Uplink Tone,DMR Enabled,Color Code,Wide Network,Coverage,Affiliate,Links,Notes,Web links,Features,EchoLink,Nets,IRLP,Grid,Downlink Tone,DMR ID,IPSC Network,Local Network,Commands,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,On-air,P-25 Digital Enabled,NAC,Default Reflector,Mixed-Mode,AllStar,YSF Digital Enabled,DG-ID,Talkgroup Network,Talkgroups,Rocky Mountain Wide,Southern Colorado,Central Regional,Northern Colorado Regional,Feed,WIRES-X,Worldwide,North America,English,TAC 310,Local/Cluster,N. Colorado,Worldwide English,DCI Bridge,Colorado,Mountain Reg USA,Devilshead Local,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,Bandwidth,Wyoming,WyLOCAL,Eastern Colorado,TAC 311,Colorado Chat,Location Photo
448.475,-5,100,KC0KWD,Greeley,CO,OPEN,I,,34.35,E,,08,158,40.26119995,-104.70600128,448.475,443.475,,,,Weld,On-Air,Weld Amateur Radio Society (WARS),CCARC,2019-05-06,100,,,,,,,,http://www.warsco.org/,,,,3839,DN70PG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.725,-5,131.8,W7RF,Fort Collins,CO,OPEN,,,34.74,NNE,,08,8194,40.49599838,-105.07900238,447.725,442.725,,,,Larimer,On-Air,W7RF,CCARC,2018-05-13,131.8,,,,,,,,,,,,,DN70LL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.12,0.6,88.5,N0ARA,"Critchell, Critchell Mountain",CO,OPEN,,,34.84,S,,08,59,39.5148,-105.353,147.12,147.72,,,,Jefferson,On-Air,Aurora Repeater Association,CCARC,2016-01-17,88.5,,,,Denver metro and east.,,,,http://www.n0ara.org,E-power.,,,,,88.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1283.55,-20,100,K1TJ,Fort Collins,CO,OPEN,,,35.18,N,,08,3620,40.51530075,-105.14700317,1283.55,1263.55,,,,Larimer,On-Air,K1TJ Repeater System,CCARC,2013-01-01,100,,,,Northern Colorado Front Range,,,,http://www.k1tj.com/,,,,,DN70KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.45,-5,123,KC0RBT,Fort Collins,CO,OPEN,E,,35.18,N,ON - IDLE,08,276,40.51530075,-105.14700317,447.45,442.45,,,,Larimer,On-Air,,CCARC,2016-02-01,123,,,,,,,,,,447450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7375,-5,CC,N0AOL,Fort Collins,CO,OPEN,,D,35.18,N,,08,8505,40.51530075,-105.14700317,446.7375,441.7375,,,,Larimer,On-Air,N0AOL - NoCo C-Bridge Network,CCARC,2019-11-27,,yes,2,,Wide area: North Front Range.,,,Repeater ID: 310803,http://nocodmr.kt0l.net:8080/nocodmr/documentation.htm,DMR-MARC World Wide Network,,"DMR World Wide Net: Sat at 10:00. TS 1 Group Call 1 http://www.dmr-marc.net/ Tac 310 Net: Sun at 18:00, TS 1 Group Call 310 .",,DN70KM,,310803,NoCo c Record retrieved from radioid.net,,,,,,,,,,,,,,,,,"Open Talkgroup View Assignment TS TG Access Worldwide 1 1 North America 1 3 English 1 13 TAC 310 1 310 Local/Cluster 2 2 N. Colorado 2 3171 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",,,,,,,1,1,1,1,2,2,,,,,,,,,,,,,,,,
446.875,-5,CC,K7PFJ,"Granby, Mt Chauncey",CO,OPEN,,D,35.67,W,,08,15899,40.0861,-105.939,446.875,441.875,,,,Clear Creek,On-Air,,,2017-03-11,,yes,,,,RMHAM,,,http://www.rmham.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,123,KA0YDW,Granby,CO,OPEN,,,35.67,W,,08,145,40.0861,-105.939,146.82,146.22,,,,Grand,,GCARA,CCARC,2014-09-06,123,,,,,,,,,E-power.,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,100,N0PUF,"Centennial, Warren Mountain",CO,OPEN,,,36.1,SSE,,08,80,39.50419998,-105.12799835,146.88,146.28,,,,Jefferson,On-Air,Denver Radio League,CCARC,2020-03-13,100,,,,Wide Area,,,6,DRL Repeaters,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.6,-5,100,N0PUF,"Centennial, Warren Mountain",CO,OPEN,EI,Y,36.1,SSE,Node Offline,08,273,39.50419998,-105.12799835,449.6,444.6,,,,Jefferson,On-Air,Denver Radio League,CCARC,2020-03-13,,,,,,,,,DRL Repeaters,,690473,,3345,,,,,,,,,,,,,,,,,,yes,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.115,-0.6,100,W0UPS,"Fort Collins, Horsetooth Mountain",CO,OPEN,E,,36.47,N,ON - IDLE,08,123,40.53969955,-105.19599915,145.115,144.515,,,,Larimer,On-Air,Northern Colorado ARC,CCARC,2016-10-25,100,,,,Wide area.,,,,,7,4236,,,DN70JM,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.52,-1.6,100,W0UPS,"Fort Collins, Horsetooth Mountain",CO,OPEN,,,36.47,N,,08,275,40.53969955,-105.19599915,224.52,222.92,,,,Larimer,Off-Air,Northern Colorado ARC,CCARC,2018-03-21,100,,,,,,,,,E-power.,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.275,-5,100,W0UPS,"Fort Collins, Horsetooth Mountain",CO,OPEN,,,36.47,N,,08,126,40.53969955,-105.19599915,447.275,442.275,,,,Larimer,On-Air,Northern Colorado ARC,CCARC,2020-01-23,100,,,,Wide area.,,,,,"Closed autopatch, e-power.",,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.75,-5,CC,K7PFJ,"Fort Collins, Horsetooth Mountain",CO,OPEN,,D,36.52,N,,08,8715,40.53879929,-105.17900085,446.75,441.75,,,,Larimer,Off-Air,Rocky Mountain Ham Radio,CCARC,2019-12-09,,yes,7,,,,Full-time to the Colorado TRBO System .,See website for complete info on color codes/time slot assignment.,http://www.rmham.org,,,,,,,310814,RMHR c Record retrieved from radioid.net,,,,,,,,,,,,,,,,,"Open Talkgroup View Assignment TS TG Access Rocky Mountain Wide 1 700 Northern Colorado Regional 2 721 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",1,,,2,,,,,,,,,,,,,,,,,,,,,,,,
145.265,-0.6,CC,KB0VGD,"Fort Collins, Horsetooth Mountain",CO,OPEN,,D,36.52,N,"KB0VGD Marcos 2M Horsetooth Horsetooth Mtn VHF, Wide area coverage. Please use ONLY TG 310831, TG 3171, TG 3108, and TG 2 (Local 2) on Time Slot 2 (TS2). ALL OTHER TG connections will be directed to Time Slot 1 (TS1).",08,14274,40.53879929,-105.17900085,145.265,144.665,,,,Larimer,On-Air,W0DMR - NoCo C-bridge Network,CCARC,2019-11-27,,yes,2,,Northern Colorado Front Range Wide Area coverage.,Brandmeister Network,,"Any additional Brandmeister talk group is available on time slot 1, too many to list here, see website. https://dmrx.net/files/US_BM_User_Guide.pdf",http://www.w0dmr.org/,,,,,,,310831,DMR-Plus c Record retrieved from radioid.net,,"Repeater ID: 310831, TS 1: TG 91 - World Wide, TG 93 - North America, TG 3100 USA. TS 2: TG 2 - Local, TG 3171 - No. Colorado, TG 3108 Colorado Statewide.",,,,,,,,,,,,,,BrandMeister US,"Open Talkgroup View Assignment TS TG Access Worldwide English 1 91 Full-Time North America 1 93 Full-Time DCI Bridge 1 3100 Full-Time Local/Cluster 2 2 Colorado 2 3108 Full-Time N. Colorado 2 3171 Full-Time function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",,,,,,,,1,,,2,2,1,1,2,,,,,,,,,,,,,
147.315,0.6,CC,N0KEG,Centennial,CO,OPEN,,DS,36.58,SE,"Colorado Mega Reflector - XLX376 Transcoder - YSF 23160 - WiresX 40895 Welcome to the new and improved Colorado Mega Link! Brought to you by the Parker Radio Association, where we have fun, play radio and keep the squelch loose. Please join us Monday nights at 8pm mountain time our our digital net.",08,17676,39.58069992,-104.8769989,147.315,147.915,yes,N0KEG (C) Repeater,jfindu lookup / dstar-users lookup,Arapahoe,,N0KEG,,2019-11-27,,yes,1,,"Southeast metro Denver area. Parker, Centennial, SE Aurora, Elizabeth, Franktown, Castle Rock.",Parker Radio Association,,,https://www.parkerradio.org,,,Monday 8pm. Colorado Link Digital Net. Repeater is used in DSTAR mode for this net.,,,,310759,Brandmeister c Record retrieved from radioid.net,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.5,-5,88.5,N0OWY,"Conifer, Critchell Mountain",CO,OPEN,,,37.84,S,,08,60,39.4703,-105.198,447.5,442.5,,,,Jefferson,On-Air,Aurora Repeater Association,CCARC,2014-04-28,88.5,,,,Wide area.,,,,,E-power.,,,,,88.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.19,-0.6,151.4,N0OBA,Aurora,CO,OPEN,E,,38.16,SE,ON - IDLE,08,8741,39.62799835,-104.75800323,145.19,144.59,,,,Arapahoe,On-Air,N0OBA,,2018-02-01,151.4,,,,"Aurora, Littleton, Denver, Morrison, North Colorado Springs to as far as Ft. Collins.",,,"Please note the PL's! Do not TSQ unless your radio can do split PL's. Otherwise you will not here the system. Regards, Scott",,Autopatch (please contact trustee).,10079,"""Tri Lakes Net"" This net is held every Monday at 7:30pm local (except on the third Monday of the month when we have our regular radio club meeting.)",,DM79OP,131.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,100,W0QEY,"Fort Collins, CSU Durward Hall",CO,OPEN,,,39.74,NNE,,08,125,40.57080078,-105.07700348,147.36,147.96,,,,Larimer,On-Air,CO State Univ ARC,CCARC,2017-03-11,100,,,,Map,,,,,Closed autopatch.,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.4,-0.6,100,KB0UDD,"Aurora, Smoky Hill",CO,OPEN,,,39.81,SE,,08,5,39.6072998,-104.74099731,145.4,144.8,,,,Arapahoe,On-Air,Castle Rock Repeater Group,CCARC,2019-03-09,100,,,,Greater Denver area.,,"Full-time to 448.50000 (KB0UDD) at Aurora, Smokey Hill, CO .",,,"Autopatch, e-power.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7625,-5,CC,W0QEY,"Fort Collins, CSU Durward Hall",CO,OPEN,,D,39.99,NNE,,08,18416,40.57759857,-105.09300232,446.7625,441.7625,,,,Larimer,On-Air,RMHAM,,2020-02-10,,yes,8,,,CSUARC,,,https://www.rmham.org/wordpress/dmr-radio-site-information/,,,Red Cross Net on Wide - Third Thursday of the month at 1900 Tech Net on Wide - First Saturday of the month at 1900,,,,,c Record retrieved from radioid.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7625,-5,CC,W0QEY,"Fort Collins, CSU Durward Hall",CO,OPEN,,D,39.99,NNE,,08,18417,40.57759857,-105.09300232,446.7625,441.7625,,,,Larimer,On-Air,RMHAM,,2020-02-10,,yes,8,,,CSUARC,,,https://www.rmham.org/wordpress/dmr-radio-site-information/,,,Red Cross Net on Wide - Third Thursday of the month at 1900 Tech Net on Wide - First Saturday of the month at 1900,,,,,c Record retrieved from radioid.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8125,-5,,W0QEY,"Fort Collins, CSU Durward Hall",CO,OPEN,,S,40,NNE,,08,8901,40.57770157,-105.09300232,446.8125,441.8125,yes,W0QEY (B) Repeater,jfindu lookup / dstar-users lookup,Larimer,On-Air,W0QEY CSU,CCARC,2017-05-31,,,,,Fort Collins Local Area,,,Free Star,,D-Star Gateway,,,,DN70KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.725,-5,127.3,K0OJ,"Greeley, UNC",CO,OPEN,,,40.25,NE,,08,159,40.40370178,-104.70300293,449.725,444.725,,,,Weld,On-Air,K0OJ,CCARC,2019-10-04,127.3,,,,,,,,,"Autopatch, WX.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.85,-0.6,100,W0UPS,"Greeley, UNC",CO,OPEN,,,40.36,NE,,08,156,40.40359879,-104.69999695,146.85,146.25,,,,Weld,On-Air,Northern Colorado ARC,CCARC,2017-05-08,100,,,,,,,,,"E-power, WX.",,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,CC,W0DMR,"Fort Collins, Timnath",CO,OPEN,,D,40.45,NNE,,08,12562,40.54460144,-104.94400024,147.39,147.99,,,,Larimer,On-Air,KT0L - NoCo C-Bridge Network,CCARC,2019-11-27,,yes,2,,"Fort Collins east side, into Red Feather Lakes area.",,,,Documentation,,,Tac 310 Net: Sun at 18:00.,,,,310822,NoCO c Record retrieved from radioid.net,,,,,,,,,,,,,,,,,"Open Talkgroup View Assignment TS TG Access TAC 310 1 310 DCI Bridge 1 3100 N. Colorado 1 3171 Mountain Reg USA 1 3177 Local/Cluster 2 2 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",,,,,,,,,,1,2,1,,1,,1,,,,,,,,,,,,
448.7,-5,146.2,WQ8M,Parker,CO,OPEN,,,40.48,SE,,08,274,39.55799866,-104.79399872,448.7,443.7,,,,Douglas,On-Air,,,2018-09-07,146.2,,,,Local North Parker only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.85,-5,100,W0QEY,"Fort Collins, CSU Durward Hall",CO,OPEN,,,40.62,NNE,,08,124,40.58530045,-105.08399963,449.85,444.85,,,,Larimer,On-Air,CO State Univ ARC,CCARC,2012-11-16,100,,,,Map,,,,,Closed autopatch.,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.95,-25,100,W0QEY,"Fort Collins, CSU Durward Hall",CO,OPEN,,,40.62,NNE,,08,3592,40.58530045,-105.08399963,927.95,902.95,,,,Larimer,On-Air,,CCARC,2019-09-01,100,,,,Northern Front Range,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.1375,-5,CC,KB0VGD,Greeley,CO,OPEN,,D,40.92,NE,,08,18521,40.42331314,-104.70912933,445.1375,440.1375,,,,Weld,On-Air,,,2020-02-17,,yes,2,,,,,,,,,,,,,,c Record retrieved from radioid.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.325,-5,136.5,WR0AEN,Greeley,CO,OPEN,,S,40.93,NE,,08,8210,40.4233017,-104.70899963,449.325,444.325,yes,WR0AEN (B),jfindu lookup / dstar-users lookup,Weld,On-Air,Colorado Amateur Repeater Network (CARN),CCARC,2012-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.7,-5,100,W0UPS,"Fort Collins, Buckhorn Mountain",CO,OPEN,,,41.28,N,,08,5853,40.61109924,-105.3239975,447.7,442.7,,,,Larimer,On-Air,Northern Colorado Amateur Radio Club,,2014-09-02,100,,,,Wide Area Coverage,,"Linkable to 146.85000 (W0UPS) at Greeley, UNC, CO . Linkable to 146.62500 (W0UPS) at Fort Collins, Buckhorn Mountain, CO . Full-time to 224.84000 (W0UPS) at Fort Collins, Buckhorn Mountain, CO .",,http://ncarc.net/,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.875,-25.9,,KI0HC,"Fort Collins, Buckhorn Mountain",CO,OPEN,,,41.68,N,,08,18424,40.61669922,-105.32800293,927.875,902.025,,,,Larimer,On-Air,RM Ham,CCARC,2020-01-01,,,,,"Wide area coverage, I 25 from Cheyenne south to MM 20 just north of Trinidad. I 76 East to MM 100. I 70 from Idaho Springs to Genoa. Highway 24 from the Colorado Springs to Limon. Highway 24 west of Colorado Springs is spotty to Hartsel. US 50 from Canon City to Las Animas. Salida south to the San Luis Valley to Antonito. Salida North to just south of Leadville. Repeater Coverage Map",,Full-time to the The 900 P25 Network System .,,,,,,,,,,,,,,,,,,,yes,293,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.2,-5,CC,N0SZ,"Fort Collins, Buckhorn Mountain",CO,OPEN,,D,41.7,N,,08,18418,40.61700058,-105.32700348,445.2,440.2,,,,Larimer,On-Air,RMHAM,,2019-12-28,,yes,7,,,,,,https://www.rmham.org/wordpress/dmr-radio-site-information/,,,Red Cross Net on Wide - Third Thursday of the month at 1900 Tech Net on Wide - First Saturday of the month at 1900,,,,,c Record retrieved from radioid.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.625,-0.6,100,W0UPS,"Fort Collins, Buckhorn Mountain",CO,OPEN,,,41.7,N,,08,246,40.61700058,-105.32700348,146.625,146.025,,,,Larimer,On-Air,Northern Colorado ARC,CCARC,2017-03-11,100,,,,Wide area: Northern front range.,,"Linkable to 146.85000 (W0UPS) at Greeley, UNC, CO . Linkable to 224.84000 (W0UPS) at Fort Collins, Buckhorn Mountain, CO .",,,E-power.,,,,DN70IO,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.84,-1.6,100,W0UPS,"Fort Collins, Buckhorn Mountain",CO,OPEN,,,41.7,N,,08,3660,40.61700058,-105.32700348,224.84,223.24,,,,Larimer,Off-Air,Northern Colorado ARC,,2019-08-23,100,,,,"Wide Area: Northern CO Front Range and into Cheyenne - Laramie, WY",,"Full-time to 447.70000 (W0UPS) at Fort Collins, Buckhorn Mountain, CO .",,,"E-power, 25 watts.",,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.525,-5,203.5,N0ESQ,"Parker, Hess Reservoir",CO,OPEN,,,42.77,SSE,,08,8189,39.49420166,-104.83599854,447.525,442.525,,,,Douglas,On-Air,EmComm Colorado,CCARC,2017-03-11,203.5,,,,"Denver metropolitan area, front range foothills",Colorado ARES,,"Not a ragchew machine. Traffic related to ARES, RACES and administrative and exercise traffic related thereto.",,,,,,DM79NL,146.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.895,-0.6,100,AB0PC,"Bailey, Dick Mountain",CO,OPEN,A,,43.46,SSW,,08,7,39.4056,-105.473,146.895,146.295,,,,Park,On-Air,AB0RR,CCARC,2017-07-05,100,,,,285,,"Full-time internet linked to 448.57500 (WZ0N) at Hartsel, CO .",,Park County Radio Club (PCRC),25,,Wed at 19:30.,,,100,,,,,,,,,,,,,,,45835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.2,-5,82.5,N6RFI,"Severance, Cactus Hill",CO,OPEN,,,43.58,NNE,,08,8188,40.58100128,-104.90599823,447.2,442.2,,,,Weld,On-Air,N6RFI,CCARC,2017-03-11,82.5,,,,,,,,,,,,,DN70NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9,-5,,K0PRA,Parker,CO,OPEN,W,Y,43.71,SE,,08,18248,39.51860046,-104.76100159,446.9,441.9,,,,Arapahoe,On-Air,Parker Radio Association,,2019-11-03,,,,,Small coverage area in Parker,,,,https://www.parkerradio.org,Linked to the Colorado Mega digital system,,Monday nights 8pm mountain,,,,,,,,,,,,,,,,,,,yes,Open ↑ / Open ↓,,,,,,,,40895,,,,,,,,,,,,,,,,,,,,,,
448.05,-5,CC,N0KEG,Parker,CO,OPEN,,D,43.71,SE,,08,17696,39.51860046,-104.76100159,448.05,443.05,,,,Douglas,,,,2019-11-27,,yes,1,BrandMeister,,,,,,,,,,,,310374,Brandmeister c Record retrieved from radioid.net,Brandmeister,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.775,-5,CC,W0DMR,"Fort Collins, Timnath",CO,OPEN,,D,43.93,NNE,"Rick KT0L Repeater Ft Collins, CO (Limited coverage)",08,10995,40.59379959,-104.9260025,446.775,441.775,,,,Larimer,On-Air,W0DMR - NoCo C-bridge Network,CCARC,2019-11-27,,yes,2,,"Fort Collins east side, into Red Feather Lakes area.",Brandmeister Network,,"Any additional Brandmeister talk group is available on time slot 1, too many to list here, see website. https://dmrx.net/files/US_BM_User_Guide.pdf",W0DMR,,,,,DN70MO,,310806,NoCO c Record retrieved from radioid.net,,"Repeater ID: 310806, TS 1: TG 91 - World Wide, TG 93 - North America, TG 3100 USA. TS 2: TG 2 - Local, TG 3171 - No. Colorado, TG 3108 Colorado Statewide.",,,,,,,,,,,,,,BrandMeister US,"Open Talkgroup View Assignment TS TG Access Worldwide English 1 91 Full-Time North America 1 93 Full-Time DCI Bridge 1 3100 Full-Time Local/Cluster 2 2 Colorado 2 3108 Full-Time N. Colorado 2 3171 Full-Time function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",,,,,,,,1,,,2,2,1,1,2,,,,,,,,,,,,,
445.075,-5,CC,K0PRA,Parker,CO,OPEN,,D,49.4,SE,"Colorado Mega Reflector - XLX376 Transcoder - YSF 23160 - WiresX 40895 Welcome to the new and improved Colorado Mega Link! Brought to you by the Parker Radio Association, where we have fun, play radio and keep the squelch loose. Please join us Monday nights at 8pm mountain time our our digital net.",08,17292,39.44910049,-104.70300293,445.075,440.075,,,,Douglas,On-Air,Parker Radio Association,CCARC,2019-11-27,,yes,1,,,,,Mixed Mode,http://www.parkerradio.org,Brandmeister Network https://brandmeister.network/?page=repeater&amp;id=310844,,Mondays 20:30 MST,,,,310844,None c Record retrieved from radioid.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.325,-5,110.9,WB7UPS,Wellington,CO,OPEN,,,49.56,NNE,,08,8251,40.70389938,-105.00900269,448.325,443.325,,,,Larimer,On-Air,,CCARC,2012-11-16,110.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.7375,-25.7,100,KI0HC,Parker,CO,OPEN,,,49.71,SE,,08,14732,39.53910065,-104.56900024,927.7375,902.025,,,,Douglas,On-Air,,CCARC,2020-01-01,100,,,,"Wide area coverage, I 25 from Cheyenne south to MM 20 just north of Trinidad. I 76 East to MM 100. I 70 from Idaho Springs to Genoa. Highway 24 from the Colorado Springs to Limon. Highway 24 west of Colorado Springs is spotty to Hartsel. US 50 from Canon City to Las Animas. Salida south to the San Luis Valley to Antonito. Salida North to just south of Leadville. Repeater Coverage Map",,Full-time to the The 900 P25 Network System .,,,,,,,DM79RM,100,,,,,,,,,,,yes,293,yes,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.925,-5,CC,N0ESQ,"Castle Rock, Devils Head",CO,OPEN,,D,52.51,S,,08,7193,39.26480103,-105.11399841,446.925,441.925,,,,Douglas,On-Air,,CCARC,2019-11-27,,yes,8,,,,Full-time to the Colorado TRBO System .,See the website for programming info.,Rocky Mountain Ham Radio,,,,,DM79KG,,310817,RMHR c Record retrieved from radioid.net,,,,,,,,,,,,,,,,,"Open Talkgroup View Assignment TS TG Access Southern Colorado 1 719 Devilshead Local 2 711 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",,1,,,,,,,,,,,,,,,2,,,,,,,,,,,
447.525,-5,146.2,N0ESQ,"Castle Rock, Devils Head (Pike National Forest)",CO,OPEN,,,52.51,S,,08,8190,39.26480103,-105.11399841,447.525,442.525,,,,Douglas,On-Air,EmComm Colorado,CCARC,2015-06-17,146.2,,,,"Denver metro north to the Wyoming border. Back country including Bailey, Deckers, Woodland Park. Severe null due east due to Devils Head Peak.",Colorado ARES,,"This is not a ragchew machine. Traffic is limited to ARES, RACES and EmComm administrative, exercise, public service and disaster response.",,,,,,DM79KG,146.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.85,-5,,K0PRA,Franktown,CO,OPEN,,S,53.37,SE,,08,11473,39.39350128,-104.67500305,446.85,441.85,yes,K0PRA (B) Repeater,jfindu lookup / dstar-users lookup,Douglas,On-Air,Parker Radio Association,CCARC,2018-03-18,,,,,,,,,http://parkerradio.org,D-Star B module,,,,DM79PJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.0875,-5,CC,N0SZ,"Breckenridge, Baldy",CO,OPEN,,D,53.77,SW,,08,16780,39.459,-105.979,445.0875,440.0875,,,,Fremont,On-Air,K2AD,,2018-02-01,,yes,7,,,Rocky Mountain Ham Radio,,,http://www.rmham.org/,,,,,,,310830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,88.5,KB0VJJ,"Breckenridge, Bald Mountain",CO,OPEN,,,54.16,SW,,08,24,39.4439,-105.969,147.39,147.99,,,,Summit,On-Air,Colorado Connection,CCARC,2015-01-30,88.5,,,,Wide area.,,Full-time to the Colorado Connection System .,"Please Note that 146.790 is the old Breckenridge frequency and this repeater may return to that frequency eventually but is now working on 147.390-. This machine has a split tone, 88.5 rx and 123.0 tx",Breckenridge Repeater,12,,Central Colorado Traffic Net: Daily at 19:30. Colorado Connection Net (all welcome): Thu at 20:00. Statewide ARES: Sun at 20:00.,,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.7,-0.6,107.2,WB0QMR,Breckenridge,CO,OPEN,I,,54.94,SW,,08,23,39.4817,-106.038,146.7,146.1,,,,Summit,On-Air,GRARC,CCARC,2013-01-07,107.2,,,,,,,,,E-power.,,,3972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
