Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,D-STAR Enabled,Node,Sources,County,Op Status,Sponsor,Coordination,Last update,Uplink Tone,DMR Enabled,Color Code,IPSC Network,Wide Network,Features,Downlink Tone,YSF Digital Enabled,DG-ID,Grid,Coverage,IRLP,Nets,Web links,Mixed-Mode,DMR ID,Talkgroups,TAC 310,DCI Bridge,N. Colorado,Mountain Reg USA,Local/Cluster,Talkgroup Network,Worldwide English,North America,Colorado,Affiliate,Commands,Notes,EchoLink,Worldwide,English,Rocky Mountain Wide,Northern Colorado Regional,Links,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,P-25 Digital Enabled,NAC,Default Reflector,Local Network,Bandwidth,AllStar,Feed,WIRES-X,On-air,Southern Colorado,Central Regional,Wyoming,WyLOCAL,Devilshead Local,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,Eastern Colorado,TAC 311,Colorado Chat,Location Photo
145.19,-0.6,151.4,N0OBA,Aurora,CO,OPEN,E,,55.01,S,ON - IDLE,08,8741,39.62799835,-104.75800323,145.19,144.59,,,,Arapahoe,On-Air,N0OBA,,2018-02-01,151.4,,,,,Autopatch (please contact trustee).,131.8,,,DM79OP,"Aurora, Littleton, Denver, Morrison, North Colorado Springs to as far as Ft. Collins.",,"""Tri Lakes Net"" This net is held every Monday at 7:30pm local (except on the third Monday of the month when we have our regular radio club meeting.)",,,,,,,,,,,,,,,,"Please note the PL's! Do not TSQ unless your radio can do split PL's. Otherwise you will not here the system. Regards, Scott",10079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.975,-25.9,67,W0SKY,"Golden, Lookout Mountain",CO,OPEN,A,,55.25,SSW,,08,18156,39.7333,-105.237,927.975,902.0375,,,,Jefferson,On-Air,,,2019-10-05,67,,,,,AllStar,67,,,,"Denver, Golden",,,http://www.w0sky.com,,,,,,,,,,,,,,Standard AllStar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8375,-5,CC,WA2YZT,"Golden, Lookout",CO,OPEN,,D,55.28,SSW,,08,3753,39.73049927,-105.23200226,446.8375,441.8375,,,,Jefferson,On-Air,WA2YZT,CCARC,2019-11-27,,yes,7,RMHR c Record retrieved from radioid.net,,200,,,,DM79JR,,,,,,310802,,,,,,,,,,,,,See website for more info on CC/TS/TG programming. www.rmham.org,,,,,,Full-time to the Colorado TRBO System .,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.37,-0.6,CC,N0SZ,"Golden, Lookout Mountain",CO,OPEN,,D,55.3,SSW,,08,10939,39.73070145,-105.23300171,145.37,144.77,,,,Jefferson,On-Air,Rocky Mountain Ham Radio,CCARC,2019-11-27,,yes,7,RMHR c Record retrieved from radioid.net,,700,,,,DM79JR,,,,Rocky Mountain Ham Radio,,310808,,,,,,,,,,,,,See the website for programming information. Voice ID is required for data/GPS/text on TG 705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.25,-0.6,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,S,55.31,SSW,,08,3739,39.73049927,-105.23300171,145.25,144.65,yes,W0CDS (C) Repeater,jfindu lookup / dstar-users lookup,Jefferson,On-Air,Colorado D-Star,CCARC,2014-01-03,,,,,,,,,,DM79JR,,,,Colorado D-Star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9625,-5,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,S,55.31,SSW,,08,2769,39.73049927,-105.23300171,446.9625,441.9625,yes,W0CDS (B) Repeater,jfindu lookup / dstar-users lookup,Jefferson,On-Air,Colorado D-Star,CCARC,2017-03-11,,,,,,,,,,DM79JR,,,,Colorado D-Star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1283.9625,-20,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,S,55.31,SSW,,08,3751,39.73049927,-105.23300171,1283.9625,1263.9625,yes,W0CDS (A) Repeater,jfindu lookup / dstar-users lookup,Jefferson,On-Air,Colorado D-Star,CCARC,2014-01-03,,,,,,,,,,DM79JR,,,,Colorado D-Star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1299.9,0,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,S,55.31,SSW,,08,8222,39.73049927,-105.23300171,1299.9,1299.9,yes,W0CDS (A) DVAP 24/7,jfindu lookup / dstar-users lookup,Jefferson,On-Air,Colorado D-Star,,2014-01-03,,,,,,,,,,,,,,Colorado D-Star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.625,-5,141.3,KE0VH,"Golden, Lookout Mountain",CO,OPEN,,Y,55.32,SSW,,08,139,39.733,-105.239,449.625,444.625,,,,Jefferson,On-Air,,CCARC,2019-06-19,141.3,,,,,E-power,141.3,yes,Open ↑ / Open ↓,,,,,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.75,-5,103.5,KI0GO,"Golden, Guy Hill",CO,OPEN,,,55.35,SW,,08,265,39.7772,-105.328,449.75,444.75,,,,Jefferson,On-Air,Rocky Mtn Radio League,CCARC,2016-12-23,103.5,,,,,8,103.5,,,,,,,Repeater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.74,-1.6,88.5,N0POH,"Golden, Guy Hill",CO,OPEN,,,55.35,SW,,08,134,39.7772,-105.328,224.74,223.14,,,,Jefferson,On-Air,Aurora Repeater Assoc,CCARC,2016-01-17,88.5,,,,,e-power,88.5,,,,,,ARA: Wed at 2000.,ARA Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.22,-0.6,103.5,WT0C,"Golden, Guy Hill",CO,OPEN,,,55.35,SW,,08,71,39.77719879,-105.32800293,145.22,144.62,,,,Jefferson,On-Air,Rocky Mtn Radio League,CCARC,2016-12-23,103.5,,,,,8,103.5,,,,Wide area.,,,Repeater,Yes; analog capable.,,,,,,,,,,,,,,Talk-Group of $FFFF.,,,,,,,,,,,,yes,293,yes,,,,,,,,,,,,,,,,,,,
448.85,-5,88.5,K0IBM,"Golden, Guy Hill",CO,OPEN,,,55.38,SW,,08,136,39.7772,-105.329,448.85,443.85,,,,Jefferson,On-Air,Aurora Repeater Assoc,CCARC,2016-01-17,88.5,,,,,e-power.,88.5,,,,"Denver metro, central front range",,ARA: Wed at 20:00.,ARA Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,-1.6,103.5,N0MHU,"Golden, Guy Hill",CO,OPEN,,,55.38,SW,,08,86,39.7772,-105.329,224,222.4,,,,Jefferson,On-Air,Rocky Mountain Radio League,CCARC,2017-03-11,103.5,,,,,8,103.5,,,,,,,Repeater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.15,0.6,100,W0CBI,"Golden, Guy Hill",CO,OPEN,,,55.38,SW,,08,133,39.7772,-105.329,147.15,147.75,,,,Jefferson,On-Air,Aurora Repeater Assoc (ARA),CCARC,2016-01-17,100,,,,,e-power,100,,,,"Denver metro, central front range",,ARA: Wed at 20:00.,ARA Repeaters,,,,,,,,,,,,,,,,,,,,,"Linkable to 224.74000 (N0POH) at Golden, Guy Hill, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,
53.09,-1.7,107.2,W0TX,"Lakewood, Green Mountain",CO,OPEN,,,55.74,SSW,,08,105,39.70080185,-105.1780014,53.09,51.39,,,,Jefferson,On-Air,Denver Radio Club,CCARC,2017-03-11,107.2,,,,,E-power.,,,,DM79JQ,Metro Denver area.,,,DRC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.33,0.6,100,W0TX,"Lakewood, Green Mountain",CO,OPEN,,,56.12,SSW,,08,85,39.68220139,-105.14299774,147.33,147.93,,,,Jefferson,On-Air,Denver Radio Club,CCARC,2017-03-31,100,,,,,E-power.,,,,,Metro Denver and the foothills.,,SATERN: Thu at 19:30.,DRC Repeaters,,,,,,,,,,,,,,,Not recommeded to use tone squelch on this repeater.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.38,-1.6,100,W0TX,"Lakewood, Green Mountain",CO,OPEN,,,56.12,SSW,,08,267,39.68220139,-105.14299774,224.38,222.78,,,,Jefferson,On-Air,Denver Radio Club,CCARC,2017-03-11,100,,,,,,100,,,,,,,DRC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.775,-5,CSQ,W0TX,"Lakewood, Green Mtn",CO,OPEN,,Y,56.12,SSW,,08,8215,39.68220139,-105.14299774,449.775,444.775,,,,Jefferson,On-Air,Denver Radio Club,CCARC,2019-09-06,,,,,,Yaesu Digital Only,,yes,Open ↑ / Open ↓,DM79KQ,Metro Denver,,,Denver Radio Club,,,,,,,,,,,,,,,"YSF digital only, no analog FM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.4,-0.6,100,KB0UDD,"Aurora, Smoky Hill",CO,OPEN,,,56.41,S,,08,5,39.6072998,-104.74099731,145.4,144.8,,,,Arapahoe,On-Air,Castle Rock Repeater Group,CCARC,2019-03-09,100,,,,,"Autopatch, e-power.",,,,,Greater Denver area.,,,,,,,,,,,,,,,,,,,,,,,,"Full-time to 448.50000 (KB0UDD) at Aurora, Smokey Hill, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,100,KB7SWR,Cheyenne,WY,OPEN,,,57.06,NNW,,56,20,41.15250015,-105.22100067,448.15,443.15,,,,Laramie,Off-Air,KB7SWR,WRCG,2017-01-04,100,,,,,,,,,DN71JD,,,,,,,,,,,,,,,,,,,,,,,,,"Full-time to 145.23500 (KB7SWR) at Cheyenne, WY .",,,,,,,,,,,,,,,,,,,,,,,,,,,
927.8375,-25.8,D205,KI0HC,"Golden, Centennial Cone",CO,OPEN,,,57.18,SW,,08,9702,39.7658,-105.366,927.8375,902.025,,,,Jefferson,On-Air,,CCARC,2018-12-23,,,,,,Linked with Chief 927.9375 &amp; Almagre 927.7250 for wide area coverage,,,,,Great coverage of the Denver area and I-76 East to Atwood MM112. I-70 East to Agate MM340. West to Idaho Springs MM240. And I-25 from Larkspur MM172 to Longmont MM240 depending on the hills. Now linked with Almagre 927.7250 for great coverage south,,,,,,,,,,,,,,,,,,The offset is -25.8125,,,,,,,,,,,,yes,293,yes,,,45770,,,,,,,,,,,,,,,,
446.7875,-5,CC,W0TX,"Denver, Centennial Cone",CO,OPEN,,D,57.19,SW,,08,7165,39.7657,-105.366,446.7875,441.7875,,,,Jefferson,On-Air,Denver Radio Club,CCARC,2017-12-09,,yes,1,,,,,,,,,,,http://www.w0tx.org/,,,,,,,,,,,,,Brandmeister Network,"Any Brandmeister talk group is available on time slot 1, too many to list here, see website. https://dmrx.net/files/US_BM_User_Guide.pdf. TG's are PTT enabled and will timeout after 15 minutes of inactivity. Time Slot 2 Talk Group 310805 is local repeater only.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.625,-5,100,W0TX,"Golden, Centennial Cone",CO,OPEN,,,57.67,SW,,08,112,39.7525,-105.358,448.625,443.625,,,,Jefferson,On-Air,Denver Radio Club,CCARC,2017-03-11,100,,,,,E-power.,100,,,,Denver metro area.,,DRC: Sun at 20:30.,DRC Repeaters,,,,,,,,,,,,,,,,,,,,,"Full-time to 145.49000 (W0TX) at Idaho Springs, Centennial Cone, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,
146.985,-0.6,100,K0FEZ,"Golden, Centennial Cone",CO,OPEN,I,,57.7,SW,,08,82,39.7525,-105.359,146.985,146.385,,,,Denver,On-Air,El Jebel RADOPS,CCARC,2016-09-05,100,,,,,E-power.,100,,,,,3346,RADOPS: Sun at 19:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.28,-0.6,100,KE0SJ,"Golden, Centennial Cone",CO,OPEN,,,57.7,SW,,08,140,39.7525,-105.359,145.28,144.68,,,,Jefferson,On-Air,,CCARC,2015-05-22,100,,,,,"Closed autopatch, e-power, linked.",,,,,Wide area.,,Sun at 19:30. Everyone welcome.,Intermountain Repeater Group,,,,,,,,,,,,,,,"PL is usually off, allowing use by older transceivers.",,,,,,"Full-time to 449.52500 (KE0SJ) at Golden, Centennial Cone, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,
449.525,-5,CSQ,KE0SJ,"Golden, Centennial Cone",CO,OPEN,,,57.7,SW,,08,138,39.75249863,-105.35900116,449.525,444.525,,,,Jefferson,On-Air,KE0SJ,CCARC,2015-05-23,CSQ,,,,,E-power.,,,,DM79HS,,,,Intermountain Repeater Group,,,,,,,,,,,,,,,,,,,,,"Full-time to 145.28000 (KE0SJ) at Golden, Centennial Cone, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,
146.64,-0.6,100,WB0TUB,"Golden, Centennial Cone",CO,OPEN,,,57.7,SW,,08,77,39.7525,-105.359,146.64,146.04,,,,Jefferson,On-Air,Denver Radio League,CCARC,2017-03-11,100,,,,,E-power.,,,,,Wide area. Repeater Coverage Map,,,DRL Repeaters,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.17,-0.5,107.2,N6LXX,"Morrison, Mt. Morrison",CO,OPEN,A,,58.39,SSW,,08,10514,39.67340088,-105.21800232,53.17,52.67,,,,Jefferson,On-Air,N6LXX,CCARC,2019-03-25,107.2,,,,,,,,,,"I-70,I-76,I-25,I-225",,,,,,,,,,,,,,,,N6LXX,,,,,,,,Full-time to the N6LXX System .,,,,,,,,,,,29883,,,,,,,,,,,,,,,,
447.875,-5,107.2,N6LXX,"Morrison, Mt. Morrison",CO,OPEN,A,,58.39,SSW,,08,10513,39.67340088,-105.21800232,447.875,442.875,,,,Jefferson,On-Air,N6LXX,CCARC,2017-03-09,107.2,,,,,,107.2,,,,"I-70,I-76,I-25,I-225",,,,,,,,,,,,,,,,N6LXX,,,,,,,,Full-time to the N6LXX System .,,,,,,,,,,,29913,,,,,,,,,,,,,,,,
147.315,0.6,CC,N0KEG,Centennial,CO,OPEN,,DS,58.9,S,"Colorado Mega Reflector - XLX376 Transcoder - YSF 23160 - WiresX 40895 Welcome to the new and improved Colorado Mega Link! Brought to you by the Parker Radio Association, where we have fun, play radio and keep the squelch loose. Please join us Monday nights at 8pm mountain time our our digital net.",08,17676,39.58069992,-104.8769989,147.315,147.915,yes,N0KEG (C) Repeater,jfindu lookup / dstar-users lookup,Arapahoe,,N0KEG,,2019-11-27,,yes,1,Brandmeister c Record retrieved from radioid.net,,,,,,,"Southeast metro Denver area. Parker, Centennial, SE Aurora, Elizabeth, Franktown, Castle Rock.",,Monday 8pm. Colorado Link Digital Net. Repeater is used in DSTAR mode for this net.,https://www.parkerradio.org,,310759,,,,,,,,,,,Parker Radio Association,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,
448.7,-5,146.2,WQ8M,Parker,CO,OPEN,,,59.96,S,,08,274,39.55799866,-104.79399872,448.7,443.7,,,,Douglas,On-Air,,,2018-09-07,146.2,,,,,,,,,,Local North Parker only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.425,-5,103.5,WC3W,Grand Lake,CO,OPEN,A,,61.28,WSW,,08,18131,40.2392,-105.847,449.425,444.425,,,,Clear Creek,On-Air,,,2019-09-21,103.5,,,,,,103.5,,,,"Grand Lake, CO",,Sunday and Tuesday nights at 7 PM MT,,,,,,,,,,,,,,,,Linked to the Allstar Florida Hub,,,,,,,,,,,,,,,,,45202,,,,,,,,,,,,,,,,
927.7375,-25.7,100,KI0HC,Parker,CO,OPEN,,,61.54,S,,08,14732,39.53910065,-104.56900024,927.7375,902.025,,,,Douglas,On-Air,,CCARC,2020-01-01,100,,,,,,100,,,DM79RM,"Wide area coverage, I 25 from Cheyenne south to MM 20 just north of Trinidad. I 76 East to MM 100. I 70 from Idaho Springs to Genoa. Highway 24 from the Colorado Springs to Limon. Highway 24 west of Colorado Springs is spotty to Hartsel. US 50 from Canon City to Las Animas. Salida south to the San Luis Valley to Antonito. Salida North to just south of Leadville. Repeater Coverage Map",,,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,Full-time to the The 900 P25 Network System .,,,,,,yes,293,yes,,,,,,,,,,,,,,,,,,,
447.85,-5,141.3,AC0KQ,"Evergreen, Saddleback Mountain",CO,OPEN,A,,62.15,SW,,08,9580,39.7189,-105.44,447.85,442.85,,,,Clear Creek,Off-Air,AC0KQ,CCARC,2019-08-23,141.3,,,,,AllStar node repeater providing wide area coverage along the Front Range,141.3,,,,Wide area at 9500',,,,,,,,,,,,,,,,Rocky Mountain Ham Radio,,,,,,,,,,,,,,,,,,,29571,,,,,,,,,,,,,,,,
446.9,-5,,K0PRA,Parker,CO,OPEN,W,Y,62.57,S,,08,18248,39.51860046,-104.76100159,446.9,441.9,,,,Arapahoe,On-Air,Parker Radio Association,,2019-11-03,,,,,,Linked to the Colorado Mega digital system,,yes,Open ↑ / Open ↓,,Small coverage area in Parker,,Monday nights 8pm mountain,https://www.parkerradio.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40895,,,,,,,,,,,,,,
448.05,-5,CC,N0KEG,Parker,CO,OPEN,,D,62.57,S,,08,17696,39.51860046,-104.76100159,448.05,443.05,,,,Douglas,,,,2019-11-27,,yes,1,Brandmeister c Record retrieved from radioid.net,BrandMeister,,,,,,,,,,,310374,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brandmeister,,,,,Unknown,,,,,,,,,,,,,
927.9375,-25.9,,KI0HC,"Indian Hills, Chief Mtn",CO,OPEN,,,62.76,SSW,,08,17457,39.6,-105.21,927.9375,902.025,,,,Jefferson,On-Air,,CCARC,2018-12-23,,,,,,linked to Centennial Cone 927.8375 &amp; Almagre 927.7250,,,,,"Wide area,Denver,Colorado Springs, Pueblo, Loveland. I70 East of Denver to Genoa and I25 North to Loveland &amp; South to Aguilar. I76 East to Atwood",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,293,yes,,,,,,,,,,,,,,,,,,,
145.34,-0.6,103.5,KE4GUQ,Evergreen,CO,OPEN,I,,63.36,SSW,,08,73,39.6333,-105.317,145.34,144.74,,,,Jefferson,On-Air,Rocky Mtn Radio League,CCARC,2019-08-15,103.5,,,,,E-power.,127.3,,,,Wide area.,3350,,Repeater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.175,-0.6,CC,N0SZ,"Evergreen, Squaw Mountain",CO,OPEN,,D,63.36,SSW,,08,10932,39.6333,-105.317,145.175,144.575,,,,Clear Creek,On-Air,Rocky Mountain Ham Radio,CCARC,2018-11-25,,yes,7,,,700,,,,,,,,Rocky Mountain Ham Radio,,310810,,,,,,,,,,,,,Voice ID is required for data/GPS/text on TG 705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.05,-5,107.2,WG0N,"Idaho Springs, Squaw Mountain",CO,OPEN,,,63.44,SW,,08,95,39.7425,-105.514,449.05,444.05,,,,Denver,On-Air,WG0N,CCARC,2012-11-20,107.2,,,,,E-power.,107.2,,,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.525,-5,203.5,N0ESQ,"Parker, Hess Reservoir",CO,OPEN,,,64.55,S,,08,8189,39.49420166,-104.83599854,447.525,442.525,,,,Douglas,On-Air,EmComm Colorado,CCARC,2017-03-11,203.5,,,,,,146.2,,,DM79NL,"Denver metropolitan area, front range foothills",,,,,,,,,,,,,,,,Colorado ARES,,"Not a ragchew machine. Traffic related to ARES, RACES and administrative and exercise traffic related thereto.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.3,0.6,103.5,N0PYY,"Evergreen, Squaw Mountain",CO,OPEN,,,65.91,SW,,08,84,39.6781,-105.487,147.3,147.9,,,,Clear Creek,On-Air,Denver PD EEB,CCARC,2017-03-11,103.5,,,,,,103.5,,,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,-5,136.5,WR0AEN,"Idaho Springs, Squaw Mountain",CO,OPEN,,,65.95,SW,,08,8250,39.6732,-105.48,449,444,,,,Clear Creek,On-Air,CARN,CCARC,2017-03-11,136.5,,,,,,136.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.675,-5,100,W0CFI,"Idaho Springs, Squaw Mountain",CO,OPEN,,,65.98,SW,,08,94,39.6774,-105.488,448.675,443.675,,,,Denver,On-Air,W0CFI,CCARC,2015-04-03,100,,,,,,100,,,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.67,-0.6,100,KB0UDD,"Idaho Springs, Squaw Mountain",CO,OPEN,,,66.01,SW,,08,78,39.6794,-105.492,146.67,146.07,,,,Clear Creek,On-Air,Castle Rock Repeater Group,CCARC,2016-09-08,100,,,,,11,100,,,,"North to Cheyenne, Wy - East to Limon, Co - South to Colorado Springs, Co and West to the Continental Divide.",,CRRG/QCWA: Sun at 0930. Southern Metro LDS Ham Group: Sun at 1900. ARES23: Thu at 1930. ARES13: Sun at 2000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.145,-0.6,107.2,W0CRA,"Idaho Springs, Squaw Mountain",CO,OPEN,,,66.01,SW,,08,107,39.6794,-105.492,145.145,144.545,,,,Clear Creek,On-Air,Colorado Repeater Assoc,CCARC,2018-07-23,107.2,,,,,E-power.,107.2,,,,Wide area. Denver metro.,,,http://www.w0cra.org/info/squaw.html#145145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.575,-5,107.2,W0CRA,"Idaho Springs, Squaw Mountain",CO,OPEN,EI,,66.01,SW,Node Offline,08,264,39.6794,-105.492,447.575,442.575,,,,Clear Creek,On-Air,Colorado Repeater Association (CRA),CCARC,2017-11-13,107.2,,,,,,107.2,,,,Wide area: Denver metro.,3291,,http://www.w0cra.org,,,,,,,,,,,,,,Member-only IRLP and Echolink node,,347088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.49,-0.6,100,W0TX,"Idaho Springs, Centennial Cone",CO,OPEN,,,66.01,SW,,08,76,39.6794,-105.492,145.49,144.89,,,,Jefferson,On-Air,"KB0VIU, Denver Radio Club",CCARC,2017-03-11,100,,,,,E-power.,100,,,,,,DRC: Sun at 20:30.,DRC Repeaters,,,,,,,,,,,,,,,,,,,,,"Full-time to 448.62500 (W0TX) at Golden, Centennial Cone, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,
449.35,-5,100,W0TX,"Idaho Springs, Squaw Mountain",CO,OPEN,E,,66.01,SW,ON - IDLE,08,98,39.6794,-105.492,449.35,444.35,,,,Clear Creek,On-Air,Denver Radio Club,CCARC,2017-03-11,100,,,,,11,100,,,,Wide area.,,,DRC Repeaters,,,,,,,,,,,,,,,,4140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9375,-5,CC,N0SZ,"Idaho Springs, Squaw Mountain",CO,OPEN,,D,66.02,SW,,08,7190,39.6798,-105.493,446.9375,441.9375,,,,Clear Creek,On-Air,Rocky Mountain Ham Radio,CCARC,2017-01-13,,yes,7,,,,,,,,,,,Rocky Mountain Ham Radio,,,"Open Talkgroup View Assignment TS TG Access Rocky Mountain Wide 1 700 Full-Time Southern Colorado 2 719 Full-Time Central Regional 2 720 Full-Time Northern Colorado Regional 2 721 Full-Time function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",,,,,,RMHAM,,,,,,See the website for programming information.,,,,1,2,Full-time to the Colorado TRBO System .,,,,,,,,,,,,,,,2,2,,,,,,,,,,,
146.94,-0.6,103.5,W0WYX,"Idaho Springs, Squaw Mountain",CO,OPEN,,,66.02,SW,,08,81,39.6798,-105.493,146.94,146.34,,,,Clear Creek,On-Air,Rocky Mtn Radio League,CCARC,2017-03-11,103.5,,,,,11,103.5,,,,"Wide area: west to the Continental Divide, south to Colorado Springs, east to Limon, and north to Cheyenne.",,Colorado WX: Daily at 06:30. RMRL: Mod at 20:30. Astronomy: Tue at 19:00. Amateur Radio Events: Tue at 20:00.,Repeater,,,,,,,,,,,,,,Autopatch: 911* / Off 0*.,,,,,,,"Linkable to 449.82500 (W0WYX) at Broomfield, CO . Linkable to 449.45000 (K1DUN) at Idaho Springs, Squaw Mountain, CO .",,,,,,,,,,,,Listen Live,,,,,,,,,,,,,,,
448.225,-5,141.3,N0SZ,"Idaho Springs, Squaw Mountain",CO,OPEN,,,66.03,SW,,08,8197,39.6797,-105.493,448.225,443.225,,,,Clear Creek,On-Air,Rocky Mountain Ham Radio,CCARC,2016-05-24,141.3,,,,,E-power(gen).,141.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.45,-5,103.5,K1DUN,"Idaho Springs, Squaw Mountain",CO,OPEN,,,66.04,SW,,08,99,39.6794,-105.493,449.45,444.45,,,,Clear Creek,On-Air,Rocky Mountain Radio League,CCARC,2016-12-23,103.5,,,,,11,127.3,,,,"Wide area: West to the Continental Divide, south to Colorado Springs, east to Limon, and north to Cheyenne.",,RMRL: Mon at 20:30.,Repeater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.45,-5,103.5,WA4CCC,Winter Park,CO,OPEN,,,66.09,WSW,,08,3756,39.9473,-105.795,447.45,442.45,,,,Grand,On-Air,W0IG,CCARC,2013-10-26,103.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.285,0.6,88.5,KB0VJJ,"Winter Park, Winter Park",CO,OPEN,,,66.89,WSW,,08,15582,39.8865,-105.763,147.285,147.885,,,,Grand,On-Air,Colorado Connection,CCARC,2017-01-06,88.5,,,,,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,Full-time to the Colorado Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,100,N0PUF,"Centennial, Warren Mountain",CO,OPEN,,,67.27,SSW,,08,80,39.50419998,-105.12799835,146.88,146.28,,,,Jefferson,On-Air,Denver Radio League,CCARC,2020-03-13,100,,,,,E-power.,,,,,Wide Area,,,DRL Repeaters,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.6,-5,100,N0PUF,"Centennial, Warren Mountain",CO,OPEN,EI,Y,67.27,SSW,Node Offline,08,273,39.50419998,-105.12799835,449.6,444.6,,,,Jefferson,On-Air,Denver Radio League,CCARC,2020-03-13,,,,,,,,yes,Open ↑ / Open ↓,,,3345,,DRL Repeaters,,,,,,,,,,,,,,,,690473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
