Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,D-STAR Enabled,Node,Sources,County,Op Status,Sponsor,Coordination,Last update,Uplink Tone,DMR Enabled,Color Code,IPSC Network,Wide Network,Features,Downlink Tone,YSF Digital Enabled,DG-ID,Grid,Coverage,IRLP,Nets,Web links,Mixed-Mode,DMR ID,Talkgroups,TAC 310,DCI Bridge,N. Colorado,Mountain Reg USA,Local/Cluster,Talkgroup Network,Worldwide English,North America,Colorado,Affiliate,Commands,Notes,EchoLink,Worldwide,English,Rocky Mountain Wide,Northern Colorado Regional,Links,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,P-25 Digital Enabled,NAC,Default Reflector,Local Network,Bandwidth,AllStar,Feed,WIRES-X,On-air,Southern Colorado,Central Regional,Wyoming,WyLOCAL,Devilshead Local,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,Eastern Colorado,TAC 311,Colorado Chat,Location Photo
447.275,-5,100,W0UPS,"Fort Collins, Horsetooth Mountain",CO,OPEN,,,26.83,WNW,,08,126,40.53969955,-105.19599915,447.275,442.275,,,,Larimer,On-Air,Northern Colorado ARC,CCARC,2020-01-23,100,,,,,"Closed autopatch, e-power.",100,,,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.525,-5,151.4,N0EPA,Longmont,CO,OPEN,E,,27.2,SW,ON - IDLE,08,176,40.16719818,-105.10099792,448.525,443.525,,,,Boulder,On-Air,N0EPA,CCARC,2019-06-19,151.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.27,0.6,100,W0ENO,Longmont,CO,OPEN,,,27.2,SW,,08,175,40.16719818,-105.10099792,147.27,147.87,,,,Boulder,On-Air,Longmont ARC (LARC),CCARC,2017-03-11,100,,,,,"Closed autopatch, e-power, EchoLink.",100,,,,Wide area: Northern Colorado.,,,http://w0eno.org/?q=node/11,,,,,,,,,,,,,,,,,,,,,"Linkable to 448.80000 (W0ENO) at Longmont, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,
448.8,-5,88.5,W0ENO,Longmont,CO,OPEN,,,27.2,SW,,08,177,40.16719818,-105.10099792,448.8,443.8,,,,Boulder,On-Air,Longmont ARC,CCARC,2017-03-11,88.5,,,,,30,88.5,,,,,,LARC: Sun at 20:00.,,,,,,,,,,,,,,,,,,,,,,"Linkable to 147.27000 (W0ENO) at Longmont, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,
447.3,-5,107.2,AC0KC,Fort Lupton,CO,OPEN,EI,,27.67,S,Node Offline,08,8739,40.02759933,-104.78900146,447.3,442.3,,,,Weld,On-Air,,CCARC,2013-01-07,107.2,,,,,,,,,,,3887,,,,,,,,,,,,,,,,,,405804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.925,-5,114.8,K0EB,Hudson,CO,OPEN,EI,,28.08,S,Node Offline,08,8216,40.02019882,-104.64199829,449.925,444.925,,,,Weld,On-Air,K0EB,CCARC,2018-12-01,114.8,,,,,,114.8,,,DN70,,8035,,,,,,,,,,,,,,,K0UPS Club,,,448035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.625,-5,100,KE0SJ,Lochbuie,CO,OPEN,,,28.75,S,,08,9771,40.00719833,-104.71600342,447.625,442.625,,,,Adams,On-Air,Intermountain Repeater Group,,2015-05-23,100,,,,,,,,,,Local/North Metro,,,Intermountain Repeater Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,100,W0IA,"Boulder, Gunbarrel Hill",CO,OPEN,,,34.7,SW,,08,16,40.05559921,-105.15699768,146.76,146.16,,,,Boulder,On-Air,Rocky Mtn VHF Soc,CCARC,2017-03-11,100,,,,,5,,,,DN70KB,Wide area.,,,,,,,,,,,,,,,,Boulder County ARES,,ARES primary repeater. Voting Receivers: RX Location Tone Pitch PL Gunbarrel single beep low 100.0 Lousville single beep low 100.0 Lyons double beep high followed by medium 100.0 Louisville #2 double beep high followed by low 100.0,,,,,,,Tone,single beep,single beep,double beep,double beep,,,,,,,,,,,,,,,,,,,,,,
447.7,-5,100,W0UPS,"Fort Collins, Buckhorn Mountain",CO,OPEN,,,34.81,WNW,,08,5853,40.61109924,-105.3239975,447.7,442.7,,,,Larimer,On-Air,Northern Colorado Amateur Radio Club,,2014-09-02,100,,,,,,100,,,,Wide Area Coverage,,,http://ncarc.net/,,,,,,,,,,,,,,,,,,,,,"Linkable to 146.85000 (W0UPS) at Greeley, UNC, CO . Linkable to 146.62500 (W0UPS) at Fort Collins, Buckhorn Mountain, CO . Full-time to 224.84000 (W0UPS) at Fort Collins, Buckhorn Mountain, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,
445.2,-5,CC,N0SZ,"Fort Collins, Buckhorn Mountain",CO,OPEN,,D,35.11,WNW,,08,18418,40.61700058,-105.32700348,445.2,440.2,,,,Larimer,On-Air,RMHAM,,2019-12-28,,yes,7,c Record retrieved from radioid.net,,,,,,,,,Red Cross Net on Wide - Third Thursday of the month at 1900 Tech Net on Wide - First Saturday of the month at 1900,https://www.rmham.org/wordpress/dmr-radio-site-information/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
