Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Op Status,Coverage,Sponsor,Coordination,Last update,YSF Digital Enabled,DG-ID,Features,Mixed-Mode,Web links,D-STAR Enabled,Node,Sources,Grid,Links,Affiliate,EchoLink,IRLP,AllStar,Bandwidth,DMR Enabled,Color Code,IPSC Network,Wide Network,Notes,Nets,Feed,DMR ID,Talkgroups,Rocky Mountain Wide,Southern Colorado,WIRES-X,Location Photo,On-air,Commands,TAC 310,TAC 311,Colorado,Colorado Chat,Local/Cluster,Central Regional,REACT,CO-Park County,Eastern Colorado,P-25 Digital Enabled,NAC,Default Reflector,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,Devilshead Local,Local Network,c-Bridge,Talkgroup Network,Worldwide,North America,English,DCI Bridge,Texas,COMM 1,Texas/Oklahoma Regional USA,Northern Colorado Regional,Europe,Southwest USA
147.34,0.6,100,N5LEM,"Angel Fire, Agua Fria Peak",NM,OPEN,,,68.33,SW,,35,41,36.36000061,-105.20999908,147.34,147.94,100,,Colfax,On-Air,Wide area.,Taos ARC,NMFCC,2017-08-27,,,E-power.,,Taos Amateur Radio Club,,,,DM76JI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.32,-1.6,88.5,ND0Q,"Walsenburg, Deer Peak",CO,OPEN,,,70.92,NNW,,08,245,38.04109955,-105.18499756,224.32,222.72,88.5,,Custer,Off-Air,,Pueblo Ham Club,CCARC,2016-07-14,,,11,,PHC repeaters,,,,DM78JA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.175,-5,88.5,W0PHC,Pueblo,CO,OPEN,,,70.92,NNW,,08,197,38.04109955,-105.18499756,447.175,442.175,88.5,,Pueblo,Off-Air,Wide area: Southeast Colorado.,Pueblo Amateur Radio Club,CCARC,2019-12-10,,,11,,http://www.puebloradio.org/,,,,DM78JA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,CC 88.5,W0PHC,"Pueblo, 12 Mile Hill",CO,OPEN,,D,72.57,N,,08,194,38.20700073,-104.70700073,146.88,146.28,88.5,,Pueblo,On-Air,Wide area.,Pueblo Amateur Radio Club,CCARC,2019-12-10,,,E-power.,Yes; analog capable.,http://www.puebloradio.org/,,,,DM78pe,,,,,,,yes,0,c Record retrieved from radioid.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.275,-5,100,K0JSC,"Pueblo, Metro",CO,OPEN,,,73.56,N,,08,9527,38.23049927,-104.61100006,447.275,442.275,100,100,Pueblo,On-Air,,,CCARC,2017-01-06,,,,,The Fun Machine,,,,DM78QF,Full-time to the The Fun Machine System .,The Fun Machine,,,,,,,,,"Moved to Pueblo. Now called ""Pueblo Metro""",APRS Net: Sun at 19:00. Region 5 District 2 ARES Net: Sun at 19:30. Statewide ARES Net: Sun at 20:00. Region 5 District 1 ARES Net: Mon at 19:00. EOSS Net: Tue at 20:00. RGARC Net: Wed at 19:00.,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9875,-5,CC,K0JSC,Pueblo,CO,OPEN,,D,73.57,N,,08,10785,38.23070145,-104.61100006,446.9875,441.9875,,,Pueblo,Off-Air,,,CCARC,2019-11-27,,,,,Rocky Mountain Ham Radio,,,,DM78QF,Full-time to the Colorado TRBO System .,RMHAM,,,,,yes,6,RMHR c Record retrieved from radioid.net,,,,,310821,"Open Talkgroup View Assignment TS TG Access Rocky Mountain Wide 1 700 Southern Colorado 2 719 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.24,0.6,103.5,KJ0T,Pueblo,CO,OPEN,,,73.57,N,,08,3747,38.23059845,-104.61100006,147.24,147.84,103.5,,Pueblo,Off-Air,Pueblo and Fremont Counties,TARA,CCARC,2012-06-13,,,,,,,,,DM78QF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.655,-0.6,123,K0ST,"Pueblo, Pueblo",CO,OPEN,,,75.2,N,,08,192,38.25439835,-104.60900116,146.655,146.055,123,,Pueblo,On-Air,,K0ST,CCARC,2013-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.7,-5,CC 210.7,KF0KR,"Pueblo, Pueblo",CO,PRIVATE,IA,D,75.2,N,,08,8530,38.25439835,-104.60900116,447.7,442.7,210.7,210.7,Pueblo,Off-Air,,,CCARC,2019-11-27,,,,Yes; analog capable.,,,,,,,,,7389,29228,,yes,1,KFKR- c Record retrieved from radioid.net,,,,,310805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.725,-5,100,N0PWZ,Palmer Divide,CO,OPEN,I,,75.2,N,,08,189,38.25439835,-104.60900116,449.725,444.725,100,,El Paso,On-Air,,N0PWZ,CCARC,2012-11-10,,,,,,,,,,,,,3043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
