Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Op Status,Coverage,Sponsor,Features,Links,IRLP,Notes,Nets,Coordination,Last update,Web links,Grid,Affiliate,DMR Enabled,Color Code,Wide Network,DMR ID,AllStar,IPSC Network,Talkgroups,Rocky Mountain Wide,Southern Colorado,EchoLink,On-air,Talkgroup Network,Worldwide,North America,English,Europe,TAC 310,DCI Bridge,Southwest USA,Commands,D-STAR Enabled,Node,Sources,P-25 Digital Enabled,NAC,Default Reflector,Central Regional,Northern Colorado Regional,Location Photo,Feed,Bandwidth,Mixed-Mode,Eastern Colorado,YSF Digital Enabled,DG-ID,TAC 311,Colorado,Colorado Chat,Devilshead Local,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,WIRES-X,Local Network
447.2,-5,107.2,WA4HND,"Montrose, Waterdog Peak",CO,OPEN,I,,31.99,NNE,,08,69,38.3875,-107.674,447.2,442.2,107.2,107.2,Montrose,On-Air,Delta/Montrose,,9,Full-time to the GMRA Open System .,3710,Closed IRLP out - Ask for a control op,RACES Net Wed at 1930 Hrs.,CCARC,2018-01-15,GMRA Repeaters,,Grand Mesa Repeater Assoc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.825,-5,100,KB5ITS,"Montrose, Raspberry",CO,OPEN,,,33.21,N,,08,18465,38.41740036,-107.84600067,448.825,443.825,100,,Montrose,On-Air,"Nucla, Uncompahgre Plateau, coverage into Montrose and ?West End?",San Juan Connection,,,,,,,2020-01-17,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.91,-0.6,107.2,KC0UUX,Montrose,CO,OPEN,,,37.53,N,,08,12442,38.4783,-107.876,146.91,146.31,107.2,107.2,Montrose,On-Air,,,E-Power,,,,,CCARC,2014-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.79,-0.6,107.2,KD5OPD,Montrose,CO,OPEN,,,37.53,N,,08,7953,38.4783,-107.876,146.79,146.19,107.2,107.2,Montrose,On-Air,,KC0UXX,E-power.,,,,,CCARC,2012-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.67,-0.6,100,K0EP,"Durango, Eagle Pass",CO,OPEN,,,37.7,SSW,,08,113,37.41529846,-108.01200104,146.67,146.07,100,100,La Plata,On-Air,Wide area.,Durango ARC,11,"Part-time to 147.37500 (KB5ITS) at Silverton, Kendall Mountain, CO .",,Linked active in the summer months only.,,CCARC,2019-04-01,DARC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.7,-0.6,100,K0EP,"Durango, Missionary Ridge",CO,OPEN,,,38.37,S,,08,116,37.3828,-107.778,146.7,146.1,100,100,La Plata,On-Air,Local.,Durango ARC,9,,,,,CCARC,2018-01-16,http://durangoarc.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.1375,-5,CC,N0SZ,"Durango, Missionary Ridge",CO,OPEN,,D,39.45,S,,08,16782,37.3669,-107.785,445.1375,440.1375,,,La Plata,On-Air,,K2AD,,,,Talkgroup 700 TS 1 Talkgroup 719 TS 2,,CCARC,2018-09-27,http://www.rmham.org/,,Rocky Mountain Ham Radio,yes,7,,310854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.345,0.6,88.5,KB0VJJ,"Durango, Missionary Ridge",CO,OPEN,,,40.67,S,,08,114,37.35,-107.767,147.345,147.945,88.5,123,La Plata,On-Air,Durango and north towards Molas Divide.,Colorado Connection,,Full-time to the Colorado Connection System .,,,Central Colorado Traffic Net: Daily at 19:30. Colorado Connection Net (All Welcome): Thu at 20:00. Statewide ARES: Sun at 20:00.,CCARC,2016-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.525,-5,100,N0PKT,"Creede, Bristol Head",CO,OPEN,A,,42.48,SE,,08,14923,37.7933,-107.055,449.525,444.525,100,100,Mineral,On-Air,,N0PKT,,Full-time to the The Fun Machine System .,,,,,2017-01-06,,DM67lt,The Fun Machine,,,,,43265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.325,-0.6,,KB5ITS,"Mancos, Caviness",CO,OPEN,,,43.65,SSW,,08,18459,37.36460114,-108.14800262,145.325,144.725,,,Montezuma,On-Air,,San Juan Connection,,,,,,,2020-01-12,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.375,5,100,KB5ITS,"Mancos, Caviness Mountain",CO,OPEN,,,43.98,SSW,,08,15896,37.36,-108.15,442.375,447.375,100,,Montezuma,On-Air,,San Juan Connection,,Full-time to the San Juan Connection System .,,,,,2017-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.37,-0.6,100,KB0VIU,Hesperus,CO,OPEN,,,45.61,SSW,,08,8169,37.3,-108.028,145.37,144.77,100,100,La Plata,On-Air,,,E-power.,,,,,CCARC,2018-01-15,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.625,-5,131.8,KC5EVE,Durango,CO,OPEN,,,45.9,S,,08,115,37.2753,-107.879,448.625,443.625,131.8,131.8,La Plata,On-Air,Wide area.,KC5EVE,,,,,,CCARC,2018-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.85,-5,100,K0EP,Durango,CO,OPEN,,,45.91,S,,08,11546,37.27529907,-107.87999725,449.85,444.85,100,100,La Plata,On-Air,,DARC,,,,,,CCARC,2018-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.135,0.6,100,KB5ITS,"Durango, Smelter Mountain",CO,OPEN,,,46.94,S,,08,11545,37.2622,-107.906,147.135,147.735,100,100,La Plata,On-Air,,,,,,,,CCARC,2018-01-15,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.325,-0.6,100,KB5ITS,"Mancos, Menefee Mountain",CO,OPEN,,,48.52,SSW,,08,8168,37.32600021,-108.2480011,145.325,144.725,100,,Montezuma,On-Air,Wide area.,,E-power.,,,Full time to the San Juan Connection,,CCARC,2018-01-15,http://www.sjcham.com,DM57VH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7375,-5,CC,N5UBJ,"Mancos, Caviness Mountain",CO,OPEN,,D,48.55,SSW,,08,15895,37.34500122,-108.28900146,446.7375,441.7375,,,Montezuma,On-Air,,RMHAM,,,,Talkgroup 700 TS 1 Talkgroup 719 TS 2,,CCARC,2019-11-27,http://www.rmham.org,,,yes,6,,310826,,RMHR c Record retrieved from radioid.net,"Open Talkgroup View Assignment TS TG Access Rocky Mountain Wide 1 700 Southern Colorado 1 719 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.925,-0.6,,WA0JS,Creede,CO,OPEN,,,48.7,ESE,,08,63,37.8492,-106.926,146.925,146.325,,,Mineral,Off-Air,,Creede ARC,,,,WA0JS license expired,,CCARC,2012-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.19,-0.6,100,KB5ITS,"Cortez, Goodman",CO,OPEN,,,49.61,SW,,08,16606,37.4739,-108.505,145.19,144.59,100,,Montezuma,On-Air,,,,,,,,CCARC,2018-01-15,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.275,-5,100,KB5ITS,"Dolores, Summit Ridge",CO,OPEN,,,49.61,SW,,08,16623,37.4739,-108.505,447.275,442.275,100,,Montezuma,On-Air,,,,,,,,,2017-12-07,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.15,0.6,100,KB5ITS,"Ignacio, Spring Creek",CO,OPEN,,,57.67,S,,08,8177,37.115,-107.633,147.15,147.75,100,,La Plata,On-Air,Bayfield,,E-power.,,,,,CCARC,2018-01-16,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.79,-0.6,127.3,KD5LWU,"Cortez, Downtown",CO,OPEN,EA,,58.68,SW,Node Offline,08,61,37.3489,-108.585,146.79,146.19,127.3,127.3,Montezuma,On-Air,,KD5LWU,,,,,4,CCARC,2015-04-30,,,,,,,,29317,,,,,24336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.175,-5,127.3,KD5LWU,Cortez,CO,OPEN,E,,58.68,SW,Node Offline,08,62,37.34889984,-108.58499908,449.175,444.175,127.3,,Montezuma,Off-Air,,KD5LWU,,,,,,CCARC,2014-06-30,,,,,,,,,,,,,24336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.4,-5,131.8,KB0YNA,"Delta, Uncompahgre Butte",CO,OPEN,I,,63.27,NW,,08,127,38.5767,-108.647,449.4,444.4,131.8,131.8,Mesa,On-Air,Wide area via links - Western Colorado - Eastern Utah,"WA4HND, Grand Mesa Repeater Association",E-power.,Full-time to the GMRA Open System .,3710,Closed IRLP out - Ask for a control op,RACES Wed 1930 Hrs,CCARC,2016-08-19,http://www.gmra.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.95,-5,,K5GF,Gunnison,CO,OPEN,,,63.9,NE,,08,161,38.5458,-106.925,449.95,444.95,,,Gunnison,,,K5GF,,,,,,CCARC,2012-11-10,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.12,0.6,,W0VTL,Gunnison,CO,OPEN,,,63.9,NE,,08,160,38.5458,-106.925,147.12,147.72,,,Gunnison,On-Air,,W0VTL,E-power.,,,,,CCARC,2014-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.61,-0.6,123,N0JSP,"Pagosa Springs, Oakbrush Hill",CO,OPEN,,,64.55,SE,,08,188,37.193,-107.1,146.61,146.01,123,,Archuleta,On-Air,,,,,,,,CCARC,2018-01-15,http://durangoarc.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.33,0.6,107.2,KI0MR,Paonia,CO,OPEN,,,65.41,N,,08,8179,38.8683,-107.592,147.33,147.93,107.2,,Delta,On-Air,Wide area.,North Fork Repeater Assoc.,,,,,,CCARC,2016-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.195,0.6,107.2,KC0QXX,"Cedaredge, Cedar Mesa",CO,OPEN,,,66.9,N,,08,3745,38.9016,-107.926,147.195,147.795,107.2,,Delta,,Local.,,,,,,,,2018-04-04,,,Colorado District 25 ARES,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,100,W0ALC,Cedaredge,CO,OPEN,,,66.9,N,,08,3749,38.90159988,-107.9260025,147.36,147.96,100,,Delta,On-Air,,W0ALC,,,,,,CCARC,2019-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.825,-5,100,W0ALC,Cedaredge,CO,OPEN,,,66.9,N,,08,3760,38.9016,-107.926,449.825,444.825,100,,Delta,,,W0ALC,,,,,,CCARC,2018-04-04,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.06,0.6,100,NM5SJ,"Nebo, Cedar Hill",NM,OPEN,,,68.27,S,,35,16667,36.95,-107.85,147.06,147.66,100,,San Juan,On-Air,,,,,,,,NMFCC,2018-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.35,-5,107.2,,"Cedaredge, Grand Mesa",CO,OPEN,,,73.55,N,,08,3755,38.9944,-107.973,447.35,442.35,107.2,,Delta,,,Grand Mesa Repeater Assoc (GMRA),,,,,,CCARC,2012-11-10,GMRA Repeaters,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,100,W0GJT,Grand Junction,CO,OPEN,EI,,76.06,NNW,Node Offline,08,153,38.899,-108.496,448.15,443.15,100,,Mesa,On-Air,,,,,7963,,,CCARC,2016-04-22,,,,,,,,,,,,,312189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,100,KB5ITS,"Aztec, Tank Mtn",NM,OPEN,,,77.7,S,,35,15629,36.8222,-107.993,146.88,146.28,100,,San Juan,On-Air,,,,Full-time to the San Juan Connection System .,,,,NMFCC,2018-01-15,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.45,-5,107.2,KB5ITS,Aztec,NM,OPEN,,,77.7,S,,35,44,36.82220078,-107.99199677,447.45,442.45,107.2,,San Juan,On-Air,,KB5ITS,"E-power, remote base.",,,,,NMFCC,2017-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.25,5,CC,N5UBJ,Aztec,NM,OPEN,,D,77.7,S,2,35,12413,36.8222,-107.993,442.25,447.25,,,San Juan,On-Air,,,,,,,,NMFCC,2018-01-21,http://www.aztrbonet.com/MinimalNetwatch,,,yes,1,,313502,,,"Open Talkgroup View Assignment TS TG Access Worldwide 1 1 PTT North America 1 3 PTT English 1 13 Full-Time 2 Full-Time Europe 2 2 Full-Time TAC 310 2 310 PTT DCI Bridge 2 3100 PTT Southwest USA 2 3176 PTT function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",,,,,AZ-TrboNet,1,1,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
146.74,-0.6,100,NM5SJ,Aztec,NM,OPEN,,,77.7,S,,35,43,36.8222,-107.992,146.74,146.14,100,,San Juan,On-Air,,Totah ARC,"Closed autopatch, e-power.",,,,,NMFCC,2017-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.355,-0.6,88.5,KB0VJJ,"Grand Junction, Grand Mesa",CO,OPEN,,,78.31,N,,08,149,39.06669998,-107.93599701,145.355,144.755,88.5,123,Mesa,On-Air,"Rifle to the east, several miles east of Green River, Utah to the west.",Colorado Connection,E-power.,Full-time to the Colorado Connection System .,,Colorado Connection system of repeaters,Central Colorado Traffic Net: Daily at 19:30. Colorado Connection Net (all welcome): Thu at 20:00. Statewide ARES: Sun at 20:00.,CCARC,2017-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.65,-5,151.4,KB0YNA,"Grand Junction, Grand Mesa",CO,OPEN,I,,78.31,N,,08,8763,39.0666,-107.937,449.65,444.65,151.4,151.4,Mesa,On-Air,Wide area coverage,Keri Washburn,NWS weather alert system.,"Full-time to 447.65000 (KB0YNA) at Gunnison, W Mountain or Tenderfoot Mountain, CO .",8162,,,CCARC,2016-10-28,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,
146.61,-0.6,100,KB5ITS,"Aztec, Hottel Hill",NM,OPEN,,,78.86,S,,35,18461,36.80630112,-108.0019989,146.61,146.01,100,,Taos,On-Air,,San Juan Connection,,,,Linked to San Juan Connection,,,2020-01-13,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,100,KB5ITS,"Navajo Dam, Navajo Lake",NM,OPEN,,,79.3,S,,35,15644,36.8,-107.62,147.36,147.96,100,,San Juan,On-Air,,,,Full-time to the San Juan Connection System .,,,,NMFCC,2018-01-15,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1291.1,-20,,KF5VBE,Aztec,NM,CLOSED,,S,80.4,S,,35,16280,36.7823,-107.988,1291.1,1271.1,,,San Juan,On-Air,,San Juan County,DV only,,,,,NMFCC,2019-05-12,,,,,,,,,,,,,,,,,,,,,,,,yes,KF5VBE (A) Repeater,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,
145.115,-0.6,,KF5VBE,Farmington,NM,OPEN,,S,80.46,S,,35,11428,36.7817,-107.99,145.115,144.515,,,San Juan,On-Air,,,,,,,,,2018-01-29,,,,,,,,,,,,,,,,,,,,,,,,yes,KF5VBE (C) Gateway Repeater,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,
449.3,-5,107.2,WA4HND,"Grand Junction, Grand Mesa",CO,OPEN,I,,80.76,NNW,,08,154,39.0539,-108.254,449.3,444.3,107.2,107.2,Mesa,On-Air,Wide Area I-70 West Rifle to Western Utah,,e-power Linked to GMRA Open System,,3710,Closed IRLP out,RACES Wed 1930 hrs,CCARC,2018-01-16,http://www.gmra.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.43,-0.6,136.5,NM5SJ,Dulce,NM,OPEN,,,82.47,SSE,,35,15624,36.9336,-106.999,145.43,144.83,136.5,,Rio Arriba,On-Air,,SJC EMCOMM,,,,,,NMFCC,2017-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9125,-5,CC,W0BX,"Grand Junction, Grand Mesa",CO,OPEN,,D,82.66,NNW,,08,16721,39.0889,-108.227,446.9125,441.9125,,,Mesa,On-Air,"Grand Junction, I70",Bill Frost,,,,Brandmeister network,,,2018-01-09,,,,yes,1,,310868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.65,-5,151.4,KB0YNA,"Gunnison, W Mountain or Tenderfoot Mountain",CO,OPEN,,,83.15,NE,,08,15212,38.6125,-106.543,447.65,442.65,151.4,151.4,Gunnison,On-Air,Gunnison valley and along East and west on Highway 50.,KB0YNA,"Linked to 448.650 in Montrose, Colorado and 449.650 in Grand Junction, Colorado.","Full-time to 448.65000 (KB0YNA) at Montrose, Waterdog Peak, CO . Full-time to 449.65000 (KB0YNA) at Grand Junction, Grand Mesa, CO .",,,,CCARC,2016-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.92,-0.6,100,K5WXI,Bloomfield,NM,OPEN,,,85.27,S,,35,50,36.7111,-107.984,146.92,146.32,100,,San Juan,On-Air,,San Juan County OEM,,,,,,NMFCC,2017-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.65,-5,127.3,KB5ITS,Bloomfield,NM,OPEN,,,85.27,S,,35,16636,36.7111,-107.985,448.65,443.65,127.3,,San Juan,On-Air,,,,,,,,NMFCC,2018-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.85,-0.6,100,K5WXI,Farmington,NM,OPEN,,,86.49,SSW,,35,85,36.7281,-108.218,146.85,146.25,100,100,San Juan,On-Air,,Totah ARC,Closed autopatch.,,,,,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,-5,100,K5WY,Farmington,NM,OPEN,,,86.49,SSW,,35,87,36.7281,-108.218,449,444,100,,San Juan,,,K5WY,E-power.,,,,,NMFCC,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.01,-1,131.8,KB5ITS,Farmington,NM,OPEN,,,86.49,SSW,,35,81,36.7281,-108.218,53.01,52.01,131.8,,San Juan,On-Air,,KB5ITS,,,,,,NMFCC,2017-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,100,KB5ITS,Farmington,NM,OPEN,,,86.49,SSW,,35,84,36.7281,-108.218,146.76,146.16,100,100,San Juan,On-Air,,,"Closed autopatch, e-power.",Full-time to the San Juan Connection System .,,,,NMFCC,2018-01-15,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,0.6,100,KB5ITS,"Farmington, College Hill",NM,OPEN,,,86.49,SSW,,35,86,36.7281,-108.218,147,147.6,100,,San Juan,On-Air,,,"Autopatch, e-power.",,,,,NMFCC,2017-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.15,5,,KF5VBF,Farmington,NM,OPEN,,S,86.51,SSW,,35,15650,36.7281,-108.219,444.15,449.15,,,San Juan,On-Air,,San Juan County,DV only,,,,,,2018-02-02,,,,,,,,,,,,,,,,,,,,,,,,yes,KF5VBF (B) Repeater,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,
442.325,5,CC,N5UBJ,Farmington,NM,OPEN,,D,86.51,SSW,2,35,12412,36.7281,-108.219,442.325,447.325,,,San Juan,On-Air,,,AZ-TRBONET,,,,,NMFCC,2018-01-19,http://www.aztrbonet.com/MinimalNetwatch,,,yes,1,,313501,,,"Open Talkgroup View Assignment TS TG Access Worldwide 1 1 PTT North America 1 3 PTT English 1 13 Full-Time 2 Full-Time Europe 2 2 Full-Time TAC 310 2 310 PTT DCI Bridge 2 3100 PTT Southwest USA 2 3176 PTT function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",,,,,AZ-TrboNet,1,1,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
147.355,-0.6,88.5,KB0VJJ,"Grand Junction, Grand Mesa",CO,OPEN,,,87.11,NNW,,08,15581,39.052,-108.565,147.355,146.755,88.5,123,Mesa,On-Air,,Colorado Connection,,Full-time to the Colorado Connection System .,,,,CCARC,2017-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,107.2,KE0TY,Grand Junction,CO,OPEN,,,87.47,NNW,,08,152,39.0639,-108.55,147.39,147.99,107.2,,Mesa,,,KE0TY,Linked.,,,,,CCARC,2012-11-10,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
