Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,Downlink Tone,County,On-air,Sponsor,Coordination,Last update,Op Status,EchoLink,IRLP,Web links,Coverage,Commands,DMR Enabled,Color Code,Wide Network,Notes,Bandwidth,Grid,Links,Nets,DMR ID,IPSC Network,Features,YSF Digital Enabled,DG-ID,WIRES-X,Affiliate,Mixed-Mode,AllStar,D-STAR Enabled,Node,Sources,Feed,Talkgroup Network,Talkgroups,Worldwide,North America,English,TAC 310,DCI Bridge,Texas,COMM 1,Local/Cluster,Texas/Oklahoma Regional USA,Rocky Mountain Wide,Southern Colorado,Central Regional,Amarillo WIRES-X,TAC 311,Colorado,Colorado Chat,NORCAL 1,NORCAL 5150,Local or Reflector,UserActivated 1,UserActivated 2,CAL 1,Southwest USA,Hytera USA,Parrott,Audio Test,Eastern Colorado,P-25 Digital Enabled,NAC,Default Reflector,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,Location Photo,Northern Colorado Regional,Local Network,Devilshead Local
448.725,-5,123,KA0TTF,"Colorado Springs, Fillmore Hill",CO,OPEN,,,154.16,NW,,08,56,38.78,-104.85,448.725,443.725,123,,El Paso,,KA0TTF,CCARC,2016-04-19,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.135,0.6,100,AA0L,Colorado Springs,CO,OPEN,,,154.59,NW,,08,8176,38.8397,-104.8,147.135,147.735,100,,El Paso,,AA0L,CCARC,2016-04-08,On-Air,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.5,5,141.3,K0ECT,Jetmore,KS,OPEN,,,154.88,E,,20,4107,38.0533,-99.8996,444.5,449.5,141.3,141.3,Hodgeman,,SKECT,Kansas Repeater Council,2019-03-08,On-Air,,,http://skect.org/default.aspx,,,,,,,,,Full-time to the SKECT System .,,,,E-power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.25,-0.6,123,KF5PFO,"Red River, Valle Vidal",NM,OPEN,,,155.21,WSW,,35,15618,36.76,-105.31,145.25,144.65,123,,Taos,,Taos ARC,NMFCC,2017-08-27,On-Air,,,Taos Amateur Radio Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.575,-5,,,Colorado Springs,CO,CLOSED,,,155.22,NW,,08,8211,38.8339,-104.821,449.575,444.575,,,El Paso,,RMHARC,CCARC,2016-08-10,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.3,-5,100,AA0L,Colorado Springs,CO,OPEN,,,155.22,NW,,08,8200,38.8339,-104.821,448.3,443.3,100,,El Paso,,AA0L,CCARC,2016-08-10,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.35,-5,151.4,K0IRP,Colorado Springs,CO,OPEN,,,155.22,NW,,08,50,38.8339,-104.821,447.35,442.35,151.4,,El Paso,,GGARC,CCARC,2015-03-04,On-Air,,,,,,,,,,,,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.06,-1.6,,KB0SRJ,Colorado Springs,CO,CLOSED,,,155.22,NW,,08,8182,38.8339,-104.821,224.06,222.46,,,El Paso,Unknown,Pikes Peak FM Association (PPFMA),CCARC,2012-11-12,,,,,Wide area.,,,,,,,,,,,,"E-power, linked.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.025,-5,123,KF0WF,Colorado Springs,CO,OPEN,,,155.22,NW,,08,49,38.8339,-104.821,447.025,442.025,123,,El Paso,,Colorado Springs ARA,CCARC,2016-08-10,Off-Air,,,,,,,,,,,,,,,,"Closed autopatch, e-power, linked, remote base.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.25,-5,123,N0KG,"Colorado Springs, Broadmoor Area",CO,OPEN,,,155.22,NW,,08,8198,38.8339,-104.821,448.25,443.25,123,,El Paso,,,CCARC,2018-09-25,Off-Air,,,,Colorado Springs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.475,-5,107.2,NX0G,Colorado Springs,CO,OPEN,,,155.22,NW,,08,51,38.8339,-104.821,447.475,442.475,107.2,,El Paso,Unknown,Mountain ARC (MARC),CCARC,2012-11-10,,,,,,,,,,,,,"Full-time to 146.68500 (NX0G) at Lake George, Badger Mountain, CO . Full-time to 146.82000 (NX0G) at Woodland Park, CO . Full-time to 448.65000 (NX0G) at Woodland Park, CO . Full-time to 147.01500 (NX0G) at Cripple Creek, CO .",MARC/PCRC: Tue at 1930.,,,"Closed autopatch, e-power.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.6,-5,114.8,W0MOG,Colorado Springs,CO,OPEN,,,155.22,NW,,08,55,38.8339,-104.821,448.6,443.6,114.8,,El Paso,Unknown,W0MOG,CCARC,2012-11-10,,,,,,,,,,,,,"Full-time to 927.80000 (W0MOG) at Colorado Springs, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.8,-25,D116,W0MOG,Colorado Springs,CO,OPEN,,,155.22,NW,,08,3537,38.8339,-104.821,927.8,902.8,D116,,Teller,,,CCARC,2012-11-10,On-Air,,,,,,,,,,,,"Full-time to 448.60000 (W0MOG) at Colorado Springs, CO .",,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.55,-5,123,WA6IFI,Colorado Springs,CO,OPEN,,,155.22,NW,,08,8191,38.8339,-104.821,447.55,442.55,123,,El Paso,,WA6IFI,CCARC,2015-11-13,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.27,0.6,,,Colorado Springs,CO,OPEN,,,155.4,NW,,08,46,38.8381,-104.821,147.27,147.87,,,El Paso,,TRA,,2016-08-10,On-Air,,,,,,,,,,,,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.91,-0.6,151.4,K0IRP,Colorado Springs,CO,OPEN,,,155.4,NW,,08,43,38.8381,-104.821,146.91,146.31,151.4,151.4,El Paso,,GGARC,CCARC,2016-08-10,On-Air,,,,,,,,,,,,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,103.5,W0MOG,Colorado Springs,CO,OPEN,,,155.4,NW,,08,48,38.8381,-104.821,147.39,147.99,103.5,,El Paso,,W0MOG,CCARC,2016-08-10,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.35,5,100,NM5ML,"Eagle Nest, Iron Mountain",NM,OPEN,,,155.8,WSW,,35,77,36.6,-105.25,444.35,449.35,100,,Colfax,,,NMFCC,2018-01-07,On-Air,,,,,,,,,11,,,Full-time to the Mega-Link System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.2,5,88.5,N5LTZ,Amarillo,TX,OPEN,,,155.85,SSE,,48,1454,35.2391,-101.847,444.2,449.2,88.5,88.5,Potter,,,TVHFS,2014-04-18,On-Air,,,,,,,,,350,,,Full-time to the Caprock Intertie System .,,,,,,,,"Randall County ARES-RACES, Caprock Intertie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.1625,-25,151.4,KA3IDN,Amarillo,TX,OPEN,E,,156.2,SSE,Node Offline,48,3052,35.2418,-101.813,927.1625,902.1625,151.4,,Potter,,,TVHFS,,On-Air,361016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.625,-5,100,KD0MDP,"Falcon, Black Forest",CO,OPEN,EIA,,156.47,NW,ON - IDLE,08,13294,39.0437,-104.608,447.625,442.625,100,100,El Paso,,KD0MDP,,2015-06-02,On-Air,363976,7301,,,,,,,,,,Full-time to the The Fun Machine System .,,,,Linked.,,,,The Fun Machine,,28299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.9625,5,CC,KA3IDN,Amarillo,TX,OPEN,,D,157.23,SSE,2,48,11383,35.222,-101.831,444.9625,449.9625,,,Potter,,,,2017-09-24,On-Air,,,DMR MARC,45,,yes,14,,Time Slot #1 - Group Call 3 = DMR-MARC North America Time Slot #1 - Group Call 3777215= TRBO-6 Time Slot #1 - Group Call 3148= TX Statewide Time Slot #2 - Group Call 10 = West Texas Local,,,,NorCal/West Texas Net DMR-MARC,314812,,,,,,DMR-MARC,,,,,,,NorCal,"Open Talkgroup View Assignment TS TG Access Local/Cluster 1 2 Full-Time North America 1 3 Full-Time NORCAL 1 1 621 PTT NORCAL 5150 1 5150 Full-Time COMM 1 1 3777215 2 PTT Worldwide 2 1 PTT North America 2 3 PTT Local or Reflector 2 9 Full-Time English 2 13 PTT UserActivated 1 2 113 PTT UserActivated 2 2 123 PTT TAC 310 2 310 PTT CAL 1 2 2251 PTT Texas 2 3148 Southwest USA 2 3176 Full-Time Hytera USA 2 4639 PTT Parrott 2 9998 PTT Audio Test 2 9999 PTT COMM 1 2 3777215 PTT function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",2,2,2,2,,2,2,1,,,,,,,,,1,1,2,2,2,2,2,2,2,2,,,,,,,,,,,,
441.65,5,127.3,N5LUL,Amarillo,TX,OPEN,,,157.23,SSE,,48,14702,35.222,-101.831,441.65,446.65,127.3,,Potter,,,TVHFS,2016-05-02,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.3,5,,W5JTC,Amarillo,TX,OPEN,W,Y,157.23,SSE,,48,13605,35.222,-101.831,444.3,449.3,,,Potter,,,,2018-04-23,On-Air,,,,,,,,,Normally linked to Borger (147.000) and Stinnett (444.800) Repeaters.,,,"Full-time to 147.00000 (W5WDR) at Borger, TX . Full-time to 444.80000 (W5WDR) at Stinnett, TX .",Golden Spread Amateur Information Net. Tuesdays @ 6:30 PM Central,,,Linked,yes,Open ↑ / Open ↓,21379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441.375,5,88.5,WR9B,Amarillo,TX,OPEN,,,157.23,SSE,,48,11328,35.222,-101.831,441.375,446.375,88.5,,Randall,,,,2014-04-12,On-Air,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.72,-1.6,103.5,W0MOG,Colorado springs,CO,OPEN,,,157.25,NW,,08,15989,38.9,-104.8,224.72,223.12,103.5,103.5,El Paso,,w0mog,,2017-04-07,On-Air,,,,Local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.92,-0.6,,N5LTZ,Amarillo,TX,OPEN,,,157.38,SSE,,48,534,35.22,-101.83,146.92,146.32,,,Randall,Unknown,CRII,TVHFS,,,,,,,,,,,,,,,,,,"E-power, linked.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443.5,5,,N5LTZ,Amarillo,TX,CLOSED,,,157.38,SSE,,48,1260,35.22,-101.83,443.5,448.5,,,Potter,Unknown,,TVHFS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.74,-0.6,88.5,N5ZLU,Amarillo,TX,OPEN,,,157.38,SSE,,48,438,35.22,-101.83,146.74,146.14,88.5,,Randall,,,TVHFS,2019-09-22,On-Air,,,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.9,-0.6,,W5TSV,Pampa,TX,OPEN,,,158.15,SE,,48,518,35.5083,-101.027,146.9,146.3,,,Gray,,,TVHFS,2017-08-31,On-Air,,,,Wide area. 35 mi radius.,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.4,5,88.5,N5LTZ,Pampa,TX,OPEN,,,158.67,SE,,48,1500,35.5362,-100.96,444.4,449.4,88.5,,Gray,,,TVHFS,2016-05-22,On-Air,,,Caprock Intertie,,,,,,,,,,,,,Linked.,,,,Caprock Intertie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.34,0.6,88.5,W5WX,Amarillo,TX,OPEN,,Y,158.71,SSE,,48,395,35.1739,-101.954,147.34,147.94,,,Randall,,Panhandle Amateur Radio Club,TVHFS,2015-08-14,On-Air,,,,,,,,,,,,,PARC Before Dark Net: Weekdays 17:30.,,,,yes,Open ↑ / Open ↓,,ARRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.475,5,88.5,W5WX,Amarillo,TX,OPEN,,Y,158.71,SSE,,48,1523,35.1739,-101.954,444.475,449.475,,,Randall,,Panhandle Amateur Radio Club,TVHFS,2018-11-12,On-Air,,,,,,,,,,,,,,,,Yaesu System Fusion WIRES X Node,yes,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.975,-5,100,K0JSC,"Canon City, Colorado",CO,OPEN,EIA,,159.21,WNW,ON - IDLE,08,7185,38.4301,-105.232,447.975,442.975,100,100,Fremont,,K0JSC,CCARC,2017-03-11,On-Air,363976,7301,http://www.k0jsc.com,Canon City area. Repeater Coverage Map,,,,,,,,Full-time to the The Fun Machine System .,Region 2 District 2 ARES Net: Tue at 19:00. EOSS Net: Tue at 20:00. RGARC Net: Wed at 19:00. Region 5 District 1 ARES Net: Wed at 19:30. APRS Net: Sun at 19:00. Region 5 District 2 ARES Net: Sun at 19:30. Statewide ARES Net: Sun at 20:00.,,,Autopatch.,,,,,,28368,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441.25,5,,,Amarillo,TX,OPEN,E,,160,SSE,Node Offline,48,18004,35.1733,-101.863,441.25,446.25,,,Randall,,,,2019-08-11,On-Air,343516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.235,-0.6,CC,N0SZ,"Colorado Springs, Almagre Mountain",CO,OPEN,,D,160.04,NW,,08,17250,38.772,-104.993,145.235,144.635,,,El Paso,,RMHAM,CCARC,2018-12-23,On-Air,,,Rocky Mountain Ham Radio,Wide area,,yes,7,,Voice ID is required for data/GPS/text on TG 705,,,,,310824,,,,,,,,,,,,,,"Open Talkgroup View Assignment TS TG Access Rocky Mountain Wide 1 700 Eastern Colorado 2 705 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",,,,,,,,,,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
147.18,0.6,100,AA0SP,"Colorado Springs, Almagre Mountain",CO,PRIVATE,,,160.06,NW,,08,8178,38.7725,-104.993,147.18,147.78,100,,El Paso,,AA0SP,CCARC,2017-03-09,On-Air,,,,"Located on South Almagre Mountain at 12,367 feet, it provides excellent coverage of nearly all of El Paso County and points east, along with coverage extending south past Pueblo. Locations very close in to the Front Range, or in the shadow of Cheyenne Mountain are not covered well. Since this peak is shorter than Pikes Peak its coverage to the north is not as good as Pikes Peak, although there are points northeast of Colorado Springs where there is coverage.",,,,,This repeater is available for public service oriented communications with prior coordination. Contact Mike Proctor KB0IAP to coordinate its use.,,,,,,,E-power (solar).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.95,-5,CC,K7PFJ,"Colorado Springs, Almagre Mountain",CO,OPEN,,D,160.07,NW,,08,5220,38.7726,-104.993,446.95,441.95,,,Teller,,Rocky Mountain Ham Radio,,2017-03-11,On-Air,,,,Monument Hill through Pueblo.,,yes,7,,,,,"Full-time to 446.98750 (N0SZ) at Boulder, Lee Hill, CO .",,,,,,,,RMHAM,,,,,,,,"Open Talkgroup View Assignment TS TG Access Rocky Mountain Wide 1 700 Southern Colorado 2 719 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.725,-25.7,D114,WA6IFI,"Colorado Springs, Almagre Mountain",CO,OPEN,,,160.07,NW,,08,58,38.7726,-104.993,927.725,902.025,,,Teller,,WA6IFI,CCARC,2018-12-01,On-Air,,,Yahoo Group,"Wide area: Along I-25 from Raton Pass to Pueblo, really solid from Pueblo through Colorado Springs, to Castle Rock, Now we are linked to Centennial Cone 927.8375 &amp; Chief Mtn 927.9375 in the Denver area.",,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,293,yes,,,,,,,,
448.95,-5,,,Black Forest,CO,OPEN,,SY,160.23,NW,,08,17551,39.0485,-104.701,448.95,443.95,,,El Paso,Unknown,N0PKT,,2019-01-08,,,,http://www.k0jsc.com,This repeater covers most of Black Forest and various areas of Monument and Colorado Springs,,,,,,,,,Primarily on NXDN: All Nets carried on the K0JSC.COM Fun Machine system,,,e-power,yes,Open ↑ / Open ↓,,K0JSC,,,yes,(B) Repeater,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,1,6.25,yes,,,,
444.75,5,162.2,NV8Q,"Colby, K-Link",KS,OPEN,,,160.23,NNE,,20,8689,39.4012,-101.101,444.75,449.75,162.2,162.2,Thomas,Unknown,,Kansas Repeater Council,2018-10-15,,,,K-Link Repeater Network,Wide area. Click for coverage map. 50 mi radius.,,,,,"Repeater is intermittently off-air, and the Allstar node is down.",,,,,,,Linked to K-Link Repeater Network E-power (batt) Allstar 46010,,,,K-Link Repeater Network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,156.7,NW0K,Colby,KS,OPEN,I,,160.41,NNE,,20,3889,39.3915,-101.074,146.82,146.22,156.7,156.7,Thomas,,TARC,Kansas Repeater Council,2019-05-06,On-Air,,7552,,Local,,,,,,,,,,,,"Closed autopatch, e-power.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.2,0.6,67,NM5ML,"Wagon Mound, Turkey Mountain",NM,OPEN,,,160.42,SW,,35,11289,35.9843,-104.901,147.2,147.8,67,,Mora,,,,2017-01-24,On-Air,,,http://nm5ml.com/,,,,,,,,,Full-time to the Mega-Link System .,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.37,-0.6,141.3,NM5EM,"Wagon Mound, Turkey Mtn",NM,OPEN,,,160.43,SW,,35,15621,35.984,-104.901,145.37,144.77,141.3,,Mora,,NMEMA ARC,NMFCC,2017-10-26,Off-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.34,0.6,100,N5LEM,"Angel Fire, Agua Fria Peak",NM,OPEN,,,160.71,WSW,,35,41,36.36,-105.21,147.34,147.94,100,,Colfax,,Taos ARC,NMFCC,2017-08-27,On-Air,,,Taos Amateur Radio Club,Wide area.,,,,,,,,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443.75,5,,N5LTZ,Canadian,TX,CLOSED,,,161.19,SE,,48,1334,35.9128,-100.382,443.75,448.75,,,Hemphill,Unknown,,TVHFS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.85,5,88.5,N5LTZ,Miami,TX,OPEN,,,161.56,SE,,48,84,35.6914,-100.638,444.85,449.85,88.5,,Roberts,,,TVHFS,2016-03-13,On-Air,,,,,,,,,,,,,,,,Linked.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.7,-25,D114,KB0TUC,"Canon City, Fremont Peak",CO,OPEN,,,162.55,WNW,,08,278,38.4539,-105.286,927.7,902.7,D114,D114,Fremont,,Royal Gorge ARC,CCARC,2017-03-11,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7375,-5,CC,K0JSC,"Canon City, Fremont Peak",CO,OPEN,,D,162.76,WNW,,08,7184,38.4542,-105.29,446.7375,441.7375,,,Fremont,,,CCARC,2017-03-11,On-Air,,,http://www.k0jsc.com,Fremont county and state wide on Talk Slot 2. 40 mi radius. Repeater Coverage Map,,yes,7,,Talk Slot 2 linked to the RMHAM trbo system/Talk Slot 1 Local.,,DM78ii,Full-time to the Colorado TRBO System .,,,,IPSC Link to the Colorado network on Talk Slot 2.,,,,Rocky Mountain Ham Radio,,,,,,,,"Open Talkgroup View Assignment TS TG Access Rocky Mountain Wide 1 700 Southern Colorado 2 719 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,yes,,,
447.25,-5,100,K0JSC,"Canon City, Fremont Peak",CO,OPEN,EIA,,162.76,WNW,ON - IDLE,08,8879,38.4542,-105.29,447.25,442.25,100,100,Fremont,,,CCARC,2013-01-27,On-Air,363976,7301,K0JSC dot Com,Wide from Custer County to Park County and Chaffee County to Pueblo County. Repeater Coverage Map,,,,,,,DM78ik,Full-time to the The Fun Machine System .,Region 2 District 2 ARES Net: Tue at 19:00. EOSS Net: Tue at 20:00. RGARC Net: Wed at 19:00. Region 5 District 1 ARES Net: Wed at 19:30. APRS Net: Sun at 19:00. Region 5 District 2 ARES Net: Sun at 19:30. Statewide ARES Net: Sun at 20:00.,,,,,,,,,28368,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,
53.03,-1.7,88.5,WB0WDF,"Canon City, Fremont Peak",CO,OPEN,,,162.76,WNW,,08,29,38.4542,-105.29,53.03,51.33,88.5,88.5,Fremont,,WB0WDF,CCARC,2012-07-10,On-Air,,,Http://www.qsl.net/rghc,,,,,,Split site Fremont peak transmitter and 8 mile mountain reciever.,,,,,,,"E-power (Bat). Split Site; TX Fremont Peak, RX 8 Mile Mountain",,,,RGARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.49,-0.6,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,,,162.76,WNW,,08,30,38.4542,-105.29,145.49,144.89,103.5,103.5,Fremont,,Royal Gorge Amateur Radio Club,CCARC,2017-03-11,On-Air,,,Royal Gorge Amateur Radio Club,,,,,,,,DM78ik,,RGARC Net: Wed at 19:00. ARES Net: Wed at 19:30.,,,E-power (Bat),,,,Colorado ARES Region 5 District 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,
223.96,-1.6,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,,,162.76,WNW,,08,31,38.4542,-105.29,223.96,222.36,103.5,103.5,Fremont,,RGARC,CCARC,2017-10-04,On-Air,,,,Wide area. Repeater Coverage Map,,,,,,,,,,,,"E-power (Bat), Remote Base",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,
447.75,-5,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,I,,162.76,WNW,,08,32,38.4542,-105.29,447.75,442.75,103.5,103.5,Fremont,,RGARC,CCARC,2017-03-11,On-Air,,3081,Royal Gorge Amateur Radio Club,,,,,,,,,,,,,E-power (Bat),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,
448.8,-5,100,KB0SRJ,"Colorado Springs, ~2 mi ENE USAFA North Gate",CO,OPEN,,,163.17,NW,,08,57,39.0302,-104.799,448.8,443.8,100,,El Paso,,Pikes Peak FM Association (http://PPFMA.ORG),CCARC,2019-09-24,On-Air,,,PPFMA Repeaters,I-25 corridor from Baptist Rd south to Fort Carson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.06,0.6,77,KB0TUC,Westcliffe,CO,OPEN,,,163.6,WNW,,08,7189,38.1347,-105.465,147.06,147.66,77,77,Custer,,http://www.qsl.net/rghc,CCARC,2019-08-16,On-Air,,,,,,,,,,,,,,,,E-power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,103.5,KB0TUC,Westcliffe,CO,OPEN,,,163.6,WNW,,08,248,38.1347,-105.465,448.15,443.15,103.5,103.5,Custer,,Royal George ARC,CCARC,2017-03-11,On-Air,,,http://www.qsl.net/rghc,,,,,,,,,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.775,-25,D116,KB0TUC,Westcliffe,CO,OPEN,,,163.6,WNW,,08,7192,38.1347,-105.465,927.775,902.775,D116,D116,Custer,,Royal Gorge Amateur Radio Club,CCARC,2012-06-14,On-Air,,,,,,,,,System uses digital PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.325,-5,100,K0JSC,Westcliffe,CO,OPEN,,,163.65,WNW,,08,15584,38.1347,-105.466,448.325,443.325,100,100,Custer,,,,2017-01-06,On-Air,,,,,,,,,,,,Full-time to the The Fun Machine System .,,,,,,,,The Fun Machine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
919.1,-25,88.5,ND0Q,"Westcliffe, Deer Peak",CO,OPEN,,,163.65,WNW,,08,8218,38.1347,-105.466,919.1,894.1,88.5,CSQ,Pueblo,,Pueblo HC,CCARC,2016-07-14,Off-Air,,,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
