Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,Downlink Tone,County,On-air,Sponsor,Coordination,Last update,Op Status,EchoLink,IRLP,Web links,Coverage,Commands,DMR Enabled,Color Code,Wide Network,Notes,Bandwidth,Grid,Links,Nets,DMR ID,IPSC Network,Features,YSF Digital Enabled,DG-ID,WIRES-X,Affiliate,Mixed-Mode,AllStar,D-STAR Enabled,Node,Sources,Feed,Talkgroup Network,Talkgroups,Worldwide,North America,English,TAC 310,DCI Bridge,Texas,COMM 1,Local/Cluster,Texas/Oklahoma Regional USA,Rocky Mountain Wide,Southern Colorado,Central Regional,Amarillo WIRES-X,TAC 311,Colorado,Colorado Chat,NORCAL 1,NORCAL 5150,Local or Reflector,UserActivated 1,UserActivated 2,CAL 1,Southwest USA,Hytera USA,Parrott,Audio Test,Eastern Colorado,P-25 Digital Enabled,NAC,Default Reflector,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,Location Photo,Northern Colorado Regional,Local Network,Devilshead Local
444.35,5,88.5,N5LTZ,Dumas,TX,OPEN,,,112.36,SSE,,48,1490,35.8656,-101.973,444.35,449.35,88.5,,Moore,,,TVHFS,2016-05-21,On-Air,,,,40,,,,,,,,Full-time to the Caprock Intertie System .,,,,350,,,,Caprock Intertie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443.0125,5,CC,KD5ROK,Dumas,TX,OPEN,,D,112.38,SSE,,48,14523,35.8654,-101.973,443.0125,448.0125,,,Moore,,,,2017-08-17,On-Air,,,http://www.dmr-marc.net/,,,yes,14,,Time Slot #2 - Group Call 10 = West Texas Local,,,,,,,,,,,,,,,,,,Lonestar,"Open Talkgroup View Assignment TS TG Access Worldwide 1 1 Full-Time North America 1 3 English 1 13 PTT TAC 310 1 310 PTT DCI Bridge 1 3100 Full-Time Texas 1 3148 COMM 1 1 3777215 Local/Cluster 2 2 Full-Time Texas 2 3148 PTT Texas/Oklahoma Regional USA 2 3175 PTT function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",1,1,1,1,1,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443.2,5,88.5,KC5WBK,Spearman,TX,OPEN,,,114.8,SE,,48,11484,36.1984,-101.192,443.2,448.2,88.5,,Hansford,,KY5C,,2014-05-20,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.04,0.6,88.5,N5DFQ,Spearman,TX,OPEN,,,114.8,SE,,48,596,36.1984,-101.192,147.04,147.64,88.5,,Hansford,Unknown,Dustbowl Amateur Radio Club,TVHFS,,,,,,,,,,,,,,,,,,"E-power, linked, WX.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,5,88.5,N5DFQ,Spearman,TX,OPEN,,,114.8,SE,,48,994,36.1984,-101.192,442,447,88.5,,Hansford,Unknown,Dustbowl Amateur Radio Club,TVHFS,,,,,,,,,,,,,,,,,,"E-power, linked, WX.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.9,-5,107.2,N1FSX,Punkin Center,CO,OPEN,,,115.91,NNW,,08,7395,38.852,-103.7,449.9,444.9,107.2,,Lincoln,,,CCARC,2012-07-20,On-Air,,,,,,,,,,,,,,,,,,,,BSAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.7,-0.6,141.3,WA0OQA,Scott City,KS,OPEN,A,Y,116.05,NE,,20,3940,38.4846,-100.979,146.7,146.1,141.3,141.3,Scott,,Sand Hills ARC,Kansas Repeater Council,2018-09-16,On-Air,,,,"Scott, Finney and Kearny counties",,,,,Comet GP-6 @ 125'.,,DM98,"Full-time to 146.91000 (WA0OQA) at Garden City, KS .",Tue at 20:30.,,,E-power.,yes,Open ↑ / Open ↓,,,Yes; analog capable.,48589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.6,5,146.2,WA0VJR,Wallace,KS,OPEN,I,,117.87,NNE,,20,3559,38.9139,-101.594,444.6,449.6,146.2,,Wallace,,WA0VJR,,2019-03-27,On-Air,,3148,,US-40 Repeater Coverage Map,,,,,Dial 9335 to access K-Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.95,5,100,W0MI,"Scott City, K-Link",KS,OPEN,,,118.2,NE,,20,6463,38.4809,-100.924,444.95,449.95,100,100,Scott,,SHARC,Kansas Repeater Council,2019-07-27,Off-Air,,,http://ks0lnk.net,Click for coverage map. 35 mi radius.,,,,,,,,Full-time internet linked to the K-Link System .,,,,Internet Linked to K-Link Repeater Network.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.25,5,141.3,K0ECT,Montezuma,KS,OPEN,,,118.86,ESE,,20,4098,37.6345,-100.464,444.25,449.25,141.3,141.3,Gray,,SKECT,Kansas Repeater Council,2018-07-12,On-Air,,,http://skect.org/default.aspx,Local,,,,,,,,Full-time to the SKECT System .,ARES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
