Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Grid,Op Status,Coverage,Sponsor,Features,Links,EchoLink,IRLP,Nets,Web links,Coordination,Last update,Bandwidth,DMR Enabled,Color Code,DMR ID,IPSC Network,Wide Network,On-air,Commands,YSF Digital Enabled,DG-ID,WIRES-X,Affiliate,Mixed-Mode,Notes,Talkgroups,Local/Cluster,Central Regional,Colorado,REACT,CO-Park County,AllStar,Rocky Mountain Wide,Feed,Southern Colorado,D-STAR Enabled,Node,Sources,TAC 310,TAC 311,Colorado Chat,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,Eastern Colorado,P-25 Digital Enabled,NAC,Default Reflector,Location Photo,Local Network,Devilshead Local,c-Bridge,Talkgroup Network,Worldwide,North America,English,DCI Bridge,Texas,COMM 1,Texas/Oklahoma Regional USA,Northern Colorado Regional,Local or Reflector,Kansas,CKRG,KansasLink,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Amarillo WIRES-X
446.7625,-5,CC,KZ0DEM,Vilas,CO,OPEN,,D,50.14,S,,08,17522,37.37469864,-102.4469986,446.7625,441.7625,,,Baca,,,Baca County,Southeast Colorado REACT,,,,,,http://www.secahr.com/southeast-colorado-react.html,,2019-11-27,,yes,7,310841,RMHAM c Record retrieved from radioid.net,,Unknown,,,,,,,TS1​ 310815 - Fun Machine Link - Static,"Open Talkgroup View Assignment TS TG Access Local/Cluster 2 2 Full-Time Central Regional 2 720 Full-Time Colorado 2 3108 Full-Time REACT 2 3740 Full-Time CO-Park County 2 31081 Full-Time function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.64,-0.6,100,KZ0DEM,"Pritchett, Tator Butte",CO,OPEN,,,51.24,SSW,,08,3792,37.36999893,-102.85900116,146.64,146.04,100,100,Las Animas,,Off-Air,Wide area: West BACA and East Las Animas counties.,,,,,,,KZ0DEM Repeaters,CCARC,2015-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.175,5,156.7,K0WPM,Tribune,KS,OPEN,,,53.99,E,,20,15098,38.46969986,-101.75299835,442.175,447.175,156.7,,Greeley,,On-Air,,WKARC,,,,,,,,2019-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.985,-0.6,156.7,N0OMC,Lakin,KS,OPEN,,,74.61,ESE,,20,3967,37.93579865,-101.26399994,146.985,146.385,156.7,156.7,Kearney,DM97IW,On-Air,"Kearny, Finney and Scott Counties",N0OMC,E-power,,,,,,Kansas Repeater Council,2018-09-16,,,,,,,,,,,,,,Linked full time to the Garden City 146.910 and Scott City 146.700 repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.9,-5,107.2,N1FSX,Punkin Center,CO,OPEN,,,78.74,NW,,08,7395,38.85200119,-103.69999695,449.9,444.9,107.2,,Lincoln,DM88DU,On-Air,,,,,,,,,CCARC,2012-07-20,,,,,,,,,,,,BSAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.6,5,146.2,WA0VJR,Wallace,KS,OPEN,I,,79.67,NE,,20,3559,38.91389847,-101.59400177,444.6,449.6,146.2,,Wallace,DM98EV,On-Air,US-40 Repeater Coverage Map,WA0VJR,,,,3148,,,,2019-03-27,,,,,,,,,,,,,,Dial 9335 to access K-Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,-5,103.5,KC0VJD,Hugo,CO,OPEN,W,Y,81.35,NW,,08,17059,39.05419922,-103.48000336,447,442,,,Lincoln,,On-Air,"I-70, US-71, US-287, US-40, US-24, Hugo, Limon, Genoa, Punkin Center, Arriba.",Delbert Noakes (KC0VJD),APRS repeater &amp; I-Gate / Weather station,,,,,,CCARC,2020-01-26,,,,,,,,,yes,Open ↑ / Open ↓,30534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.895,-0.6,103.5,KE0AE,Stratton,CO,OPEN,E,,84.03,N,Node Offline,08,122,39.30329895,-102.60500336,146.895,146.295,103.5,,Kit Carson,DM89QH,On-Air,,Big Sandy ARC,,,830619,,,,CCARC,2018-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,88.5,WB5NJU,Kenton,NM,OPEN,,,84.6,SSW,,35,18214,36.90100098,-103.00299835,147.39,147.99,88.5,,Union,,On-Air,,,,,,,,,,2019-10-30,,,,,,,,,,,,,,Repeater on the New Mexico - Oklahoma border,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.525,5,141.3,K0ECT,"Ulysses, Wagon Bed Springs",KS,OPEN,,,84.78,SE,,20,4110,37.40299988,-101.33300018,444.525,449.525,141.3,141.3,Grant,DM97IJ,On-Air,,SKECT,E-power.,Full-time to the SKECT System .,,,,http://skect.org/default.aspx,Kansas Repeater Council,2019-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.7,-0.6,141.3,WA0OQA,Scott City,KS,OPEN,A,Y,93.19,E,,20,3940,38.48460007,-100.97899628,146.7,146.1,141.3,141.3,Scott,DM98,On-Air,"Scott, Finney and Kearny counties",Sand Hills ARC,E-power.,"Full-time to 146.91000 (WA0OQA) at Garden City, KS .",,,Tue at 20:30.,,Kansas Repeater Council,2018-09-16,,,,,,,,,yes,Open ↑ / Open ↓,,,Yes; analog capable.,Comet GP-6 @ 125'.,,,,,,,48589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
