Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,County,On-air,Coverage,Affiliate,Last update,Op Status,Sponsor,Coordination,Web links,Downlink Tone,Features,Links,IRLP,Commands,Notes,Nets,EchoLink,DMR Enabled,Color Code,DMR ID,Wide Network,AllStar,D-STAR Enabled,Node,Sources,Grid,Talkgroups,Rocky Mountain Wide,Southern Colorado,Talkgroup Network,Central Regional,Northern Colorado Regional,P-25 Digital Enabled,NAC,Default Reflector,Worldwide,North America,English,Europe,TAC 310,DCI Bridge,Southwest USA,Location Photo,Feed,Devilshead Local,Mixed-Mode,Bandwidth,Eastern Colorado,YSF Digital Enabled,DG-ID,Local Network,TAC 311,Colorado,Colorado Chat,IPSC Network,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,WIRES-X,Worldwide English,Local/Cluster,N. Colorado
446.9125,-5,CC,W0BX,"Grand Junction, Grand Mesa",CO,OPEN,,D,25.42,NNW,,08,16721,39.0889,-108.227,446.9125,441.9125,,Mesa,,"Grand Junction, I70",,2018-01-09,On-Air,Bill Frost,,,,,,,,Brandmeister network,,,yes,1,310868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.825,-5,100,KB5ITS,"Montrose, Raspberry",CO,OPEN,,,25.47,SSE,,08,18465,38.41740036,-107.84600067,448.825,443.825,100,Montrose,,"Nucla, Uncompahgre Plateau, coverage into Montrose and ?West End?",,2020-01-17,On-Air,San Juan Connection,,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.33,0.6,107.2,KI0MR,Paonia,CO,OPEN,,,27.12,E,,08,8179,38.8683,-107.592,147.33,147.93,107.2,Delta,,Wide area.,,2016-05-16,On-Air,North Fork Repeater Assoc.,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.65,-5,,KB0YNA,"Montrose, Waterdog Peak",CO,OPEN,,,32.5,SE,,08,15213,38.3875,-107.674,448.65,443.65,,Montrose,,Wide area.,,2016-10-11,On-Air,KB0YNA,,,151.4,,"Full-time to 447.65000 (KB0YNA) at Gunnison, W Mountain or Tenderfoot Mountain, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.2,-5,107.2,WA4HND,"Montrose, Waterdog Peak",CO,OPEN,I,,32.5,SE,,08,69,38.3875,-107.674,447.2,442.2,107.2,Montrose,,Delta/Montrose,Grand Mesa Repeater Assoc,2018-01-15,On-Air,,CCARC,GMRA Repeaters,107.2,9,Full-time to the GMRA Open System .,3710,,Closed IRLP out - Ask for a control op,RACES Net Wed at 1930 Hrs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.4,-5,131.8,KB0YNA,"Delta, Uncompahgre Butte",CO,OPEN,I,,33.22,WSW,,08,127,38.5767,-108.647,449.4,444.4,131.8,Mesa,,Wide area via links - Western Colorado - Eastern Utah,,2016-08-19,On-Air,"WA4HND, Grand Mesa Repeater Association",CCARC,http://www.gmra.org,131.8,E-power.,Full-time to the GMRA Open System .,3710,,Closed IRLP out - Ask for a control op,RACES Wed 1930 Hrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,107.2,KE0TY,Grand Junction,CO,OPEN,,,34.1,NW,,08,152,39.0639,-108.55,147.39,147.99,107.2,Mesa,Unknown,,,2012-11-10,,KE0TY,CCARC,,,Linked.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,107.2,W0GJT,"Grand Junction, 9 Mile, Hwy 141, Unaweep",CO,OPEN,A,,34.1,NW,,08,261,39.0639,-108.55,146.82,146.22,107.2,Mesa,,Wide area: North Western Colorado - South to Montrose and East on I-70.,,2019-02-12,On-Air,,CCARC,,,,,,Enter *83 node# to link. *81 Unlink,,,,,,,,43554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.105,0.6,,K0SSI,Grand Junction,CO,OPEN,,,34.14,NW,,08,8175,39.0639,-108.551,147.105,147.705,,Mesa,,,,2013-04-20,On-Air,K0SSI,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,-5,,KB0SW,Grand Junction,CO,CLOSED,,,34.14,NW,,08,8206,39.0639,-108.551,449,444,,Mesa,,,Grand Mesa Repeater Assoc,2015-08-03,On-Air,KB0SW,CCARC,,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.5,-5,114.8,KC0ARV,Grand Junction,CO,OPEN,,,34.14,NW,,08,3757,39.0638,-108.551,447.5,442.5,114.8,Mesa,Unknown,,,2012-11-10,,KC0ARV,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.775,-5,,KD0RED,Grand Junction,CO,OPEN,,S,34.14,NW,,08,11792,39.0639,-108.551,446.775,441.775,,Mesa,,,,2014-08-16,On-Air,,,,,,,,,,,,,,,,,yes,KD0RED (B) Gateway Repeater,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.775,-5,173.8,KD0SMZ,Grand Junction,CO,OPEN,EI,,34.14,NW,Node Offline,08,11793,39.0639,-108.551,449.775,444.775,173.8,Mesa,,,,2015-10-25,On-Air,,CCARC,,88.5,,,7573,,,,7572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.22,-0.6,107.2,KE0TY,Grand Junction,CO,OPEN,,,34.14,NW,,08,8167,39.0639,-108.551,145.22,144.62,107.2,Mesa,Unknown,,,2012-11-12,,KE0TY,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.355,-0.6,88.5,KB0VJJ,"Grand Junction, Grand Mesa",CO,OPEN,,,34.2,NW,,08,15581,39.052,-108.565,147.355,146.755,88.5,Mesa,,,,2017-01-06,On-Air,Colorado Connection,CCARC,,123,,Full-time to the Colorado Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.5,-5,107.2,KB0SW,Collbran,CO,OPEN,,,34.92,N,,08,36,39.2406,-107.961,449.5,444.5,107.2,Mesa,,,,2016-07-01,Off-Air,Grand Mesa Repeater Association (GMRA),CCARC,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.175,-0.6,107.2,W0RRZ,"Grand Junction, GJT",CO,OPEN,I,,35.56,NW,,08,147,39.1173,-108.522,145.175,144.575,107.2,Mesa,,Greater grand Junction area.,,2016-05-11,On-Air,,CCARC,,,"E-power,",,3161,Standard IRLP node commands.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.2,-5,107.2,,Glade Park,CO,OPEN,,,39.67,WNW,,08,18392,38.97999954,-108.73999786,449.2,444.2,107.2,Mesa,,,,2019-12-22,On-Air,GMRA,,http://www.gmra.org/repeaters.html,,Solar Powered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.8,-5,CC,AD0RM,"Ridgway, On top of Log Hill",CO,OPEN,,D,41.68,SSE,,08,17998,38.18,-107.79,447.8,442.8,,Ouray,,Montrose to Ouray,,2019-08-17,On-Air,AD0RM,,,,,,,,,,,yes,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.94,-0.6,107.2,W0RRZ,"Grand Junction, Black Ridge (Above Colorado Ntl Monument)",CO,OPEN,,,42.81,WNW,,08,151,39.0656,-108.748,146.94,146.34,107.2,Mesa,,Grand Junction 30-50 mi,,2016-05-11,On-Air,Western Colorado Amateur Radio Club,CCARC,http://w0rrz.org,107.2,E-power and autopatch for WCARC members,,,,,Oatmeal Net: Mon-Fri at 7:30AM-8:00AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.575,-5,131.8,WA4HND,"Grand Junction, Black Ridge",CO,OPEN,I,,42.81,WNW,,08,155,39.0656,-108.748,449.575,444.575,131.8,Mesa,,Grand Junction,Grand Mesa Repeater Assoc,2018-01-15,On-Air,,CCARC,GMRA Repeaters,131.8,e-power. Linked to GMRA Open System,,3710,,Closed IRLP out,Wed RACES Net 1930 Hrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.8,-5,107.2,WA4HND,"Parachute, Mount Callahan",CO,OPEN,,,49.05,N,,08,253,39.4519,-108.052,449.8,444.8,107.2,Garfield,,,,2018-01-15,On-Air,,CCARC,GMRA Repeaters,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.7,-5,107.2,KB0YNA,"Telluride, Gray Head",CO,OPEN,I,,52.17,S,,08,254,37.991,-107.972,449.7,444.7,107.2,San Miguel,,Wide Area via links - Western Colorado - Eastern Utah,,2017-12-07,On-Air,Grand Mesa Repeater Association ( GMRA ),CCARC,,107.2,E-power.,Full-time to the GMRA Open System .,3710,,Closed IRLP out - Ask for a control Op,RACES: Wed at 19:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,107.2,N0SWE,Rifle,CO,OPEN,E,,53.05,NNE,Node Offline,08,200,39.4745,-107.772,146.76,146.16,107.2,Garfield,,"New Castle, Silt, Rifle and Rulison and areas around Parachute.",,2015-06-03,Off-Air,"N0SWE, Roaring Fork Amateur Repeater Cooperative",CCARC,,,E-power.,,,,,,243117,,,,,,,,,DM69cl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.27,0.6,127.3,KB5ITS,"Ouray, Engineer Mountain",CO,OPEN,,,54.18,SSE,,08,16604,38.0228,-107.671,147.27,147.87,127.3,Ouray,,,,2018-01-15,On-Air,,CCARC,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.85,-0.6,88.5,KB0VJJ,"Glenwood Springs, Sunlight Peak",CO,OPEN,,,60.01,NE,,08,129,39.4264,-107.38,146.85,146.25,88.5,Garfield,,"Wide area: Throughout the Roaring Fork Valley, Glenwood Canyon, East and West on I-70, and the Flattops Wilderness north of Glenwood.",,2016-05-23,On-Air,Colorado Connection,CCARC,,123,70,,,,Part of the Colorado Connection System of Repeaters,Daily 7:30PM Local Time Central Colorado Traffic Net Thursdays 8:00PM Colorado Connection Net All Welcome Sundays 8:00PM Statewide ARES net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,107.2,KI0G,"Glenwood Springs, Sunlight Peak",CO,OPEN,,,60.01,NE,,08,130,39.4264,-107.38,146.88,146.28,107.2,Garfield,,,,2012-11-10,On-Air,Ski Country ARC,CCARC,,,,"Full-time to 447.60000 (KI0G) at Glenwood Springs, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.1,-5,107.2,KI0G,"Glenwood Springs, Sunlight Peak",CO,OPEN,,,60.01,NE,,08,132,39.4264,-107.38,447.1,442.1,107.2,Garfield,,,,2012-11-10,On-Air,Ski Country ARC,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.6,-5,107.2,N0XLI,"Glenwood Springs, Sunlight Peak",CO,OPEN,,,60.01,NE,,08,255,39.4264,-107.38,449.6,444.6,107.2,Garfield,,Wide area.,,2018-01-15,On-Air,,CCARC,http://www.gmra.org,,e-power Linked to GMRA open system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.725,-5,179.9,K0ELK,"Carbondale, Four Mile Ridge",CO,OPEN,IA,,60.84,NE,,08,35,39.4,-107.315,449.725,444.725,179.9,Garfield,,Wide area.,,2012-11-10,On-Air,Roaring Fork Amateur Repeater Cooperative (RFARC),CCARC,,,EchoLink.,,3722,,,,,,,,,28434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,107.2,K0SNO,"Carbondale, Four Mile Ridge",CO,OPEN,,,60.84,NE,,08,259,39.4,-107.315,147.39,147.99,107.2,Garfield,,"Rifle, Carbondale, El Jebel, Glenwood Springs, Basalt and Aspen.",,2016-07-14,On-Air,Roaring Fork Amateur Repeater Cooperative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.95,-5,,K5GF,Gunnison,CO,OPEN,,,63.21,SE,,08,161,38.5458,-106.925,449.95,444.95,,Gunnison,Unknown,,,2012-11-10,,K5GF,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.12,0.6,,W0VTL,Gunnison,CO,OPEN,,,63.21,SE,,08,160,38.5458,-106.925,147.12,147.72,,Gunnison,,,,2014-09-01,On-Air,W0VTL,CCARC,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.135,-0.6,123,KB5ITS,"Lake City, Hill 71",CO,OPEN,,,63.95,SE,,08,16607,38.03,-107.315,147.135,146.535,123,Hinsdale,,,,2018-01-15,On-Air,,CCARC,http://www.sjcham.com,,E-power (solar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.325,-0.6,127.3,KB5ITS,"Silverton, Buffalo Boy",CO,OPEN,,,67.91,SSE,,08,16605,37.8119,-107.665,145.325,144.725,127.3,San Juan,,,,2018-01-15,On-Air,,CCARC,http://www.sjcham.com,,Solar powered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,5,67,KB5ITS,"Silverton, Hazelton",CO,OPEN,,,67.91,SSE,,08,16624,37.8119,-107.665,444,449,67,San Juan,,,,2018-08-03,On-Air,,,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.525,-5,127.3,KB5ITS,Silverton,CO,OPEN,,,67.93,SSE,,08,210,37.8119,-107.664,447.525,442.525,127.3,San Juan,,Wide area.,,2014-06-30,On-Air,KB5ITS,CCARC,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.02,-1.6,,KI0G,Glenwood Springs,CO,CLOSED,,,68.62,NE,,08,8181,39.5505,-107.325,224.02,222.42,,Garfield,Unknown,,,2012-11-12,,SCARC,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.6,-5,,KI0G,Glenwood Springs,CO,CLOSED,,,68.62,NE,,08,8192,39.5505,-107.325,447.6,442.6,,Garfield,Unknown,40,,2012-11-12,,Ski Country ARC (SCARC),CCARC,,,50,"Full-time to 146.88000 (KI0G) at Glenwood Springs, Sunlight Peak, CO .",,,Link Hub for 146.880.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.85,-5,131.8,WA4HND,"Glenwood Springs, Lookout Mountain",CO,OPEN,,,68.62,NE,,08,13637,39.5505,-107.325,449.85,444.85,131.8,Garfield,,Glenwood Springs,Grand Mesa Repeater Assoc,2018-01-15,On-Air,,CCARC,http://GMRA.org,131.8,e-power Linked to GMRA Open System,Full-time to the GMRA Open System .,,,RACES net Wed 1930 Hrs Local,Colorado State RACES Wed 1930 local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.3,0.6,107.2,K0VQ,"Glenwood Springs, Three Mile Ridge",CO,OPEN,E,,68.66,NE,Node Offline,08,131,39.5506,-107.324,147.3,147.9,107.2,Garfield,,"Wide area: Glenwood Springs, Glenwood Canyon, South Canyon, Carbondale and surrounding areas.",,2012-11-10,Off-Air,Roaring Fork Amateur Repeater Cooperative,CCARC,,,8,,,,Single beep courtesy tone when linked and none when unlinked.,,266359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.67,-0.6,107.2,K0CL,Snowmass Village,CO,OPEN,,,68.96,E,,08,211,39.2131,-106.937,146.67,146.07,107.2,Pitkin,,Wide area.,,2012-11-10,On-Air,Ski Country ARC,CCARC,,,Linked.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,88.5,K7QEQ,"Moab, Bald Mesa",UT,OPEN,,,69.22,WSW,,49,13042,38.5286,-109.322,146.76,146.16,88.5,Grand,,Moab and immediate surroundings.,,2017-11-04,On-Air,Sinbad Desert ARC,UVHFS,http://www.sdarc.us/repeaters/bald.html,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.1,-5,107.2,K7QEQ,"Moab, Bald Mesa",UT,OPEN,,,69.38,WSW,,49,52,38.5286,-109.325,449.1,444.1,107.2,Grand,,"Wide area: Moab and surrounding areas, including large portions of Arches and Canyonlands National Parks.",,2017-11-04,On-Air,Grand Mesa Repeater Association (GMRA),UVHFS,GMRA Repeaters,107.2,8,,,,,RACES Wed. 1930 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.375,0.6,156.7,KB5ITS,"Silverton, Kendall Mountain",CO,OPEN,,,69.78,SSE,,08,209,37.7933,-107.629,147.375,147.975,156.7,San Juan,,Wide area.,,2018-01-15,On-Air,,CCARC,http://www.sjcham.com,,13,"Part-time to 146.67000 (K0EP) at Durango, Eagle Pass, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.15,-5,136.5,K0VQ,"Carbondale, Missouri Heights",CO,OPEN,E,,70.3,NE,ON - IDLE,08,6009,39.4247,-107.097,447.15,442.15,136.5,Garfield,,,,2011-08-01,On-Air,,,,,,,,,"Please contact Tracy, K0VQ, by email or on-the-air prior to attempting to use this node to obtain codes for specific questions and to make sure that proper protocol is followed. Please DO NOT just key up and start issuing DTMF codes, connecting to reflectors, etc., without guidance.",,8150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.05,-5,136.5,K0VQ,"Aspen, Aspen Mountain",CO,OPEN,,,73.06,E,,08,260,39.1761,-106.829,447.05,442.05,136.5,Pitkin,,Aspen-Snowmass areas.,,2012-11-10,On-Air,Roaring Fork Amateur Repeater Cooperative,CCARC,,136.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.27,0.6,127.3,KB5ITT,"Silverton, Engineer Mountain",CO,OPEN,,,73.47,SSE,,08,208,37.6992,-107.806,147.27,147.87,127.3,San Juan,,Wide area.,Durango ARC,2017-04-14,On-Air,KB5ITT,CCARC,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,-5,107.2,KB0SW,"Loma, Baxter Pass",CO,OPEN,,,74.86,NW,,08,174,39.5819,-108.952,447,442,107.2,Garfield,,Wide area.,,2018-01-15,On-Air,,CCARC,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.9,-0.6,88.5,K7QEQ,Moab,UT,OPEN,,,80.7,W,,49,48,38.5739,-109.549,146.9,146.3,88.5,Grand,,Moab and immediate surroundings.,,2015-03-29,On-Air,Sinbad Desert ARC,UVHFS,http://sdarc.us/repeaters/moab.html,,"Closed autopatch, remote base, linked to Bald Mesa (146.760).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.65,-5,151.4,KB0YNA,"Gunnison, W Mountain or Tenderfoot Mountain",CO,OPEN,,,82.8,ESE,,08,15212,38.6125,-106.543,447.65,442.65,151.4,Gunnison,,Gunnison valley and along East and west on Highway 50.,,2016-10-28,On-Air,KB0YNA,CCARC,,151.4,"Linked to 448.650 in Montrose, Colorado and 449.650 in Grand Junction, Colorado.","Full-time to 448.65000 (KB0YNA) at Montrose, Waterdog Peak, CO . Full-time to 449.65000 (KB0YNA) at Grand Junction, Grand Mesa, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.525,-5,100,N0PKT,"Creede, Bristol Head",CO,OPEN,A,,85.59,SE,,08,14923,37.7933,-107.055,449.525,444.525,100,Mineral,,,The Fun Machine,2017-01-06,On-Air,N0PKT,,,100,,Full-time to the The Fun Machine System .,,,,,,,,,,43265,,,,DM67lt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.925,-0.6,,WA0JS,Creede,CO,OPEN,,,87.46,SE,,08,63,37.8492,-106.926,146.925,146.325,,Mineral,,,,2012-11-12,Off-Air,Creede ARC,CCARC,,,,,,,WA0JS license expired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.19,-0.6,100,KB5ITS,"Cortez, Goodman",CO,OPEN,,,90.79,SSW,,08,16606,37.4739,-108.505,145.19,144.59,100,Montezuma,,,,2018-01-15,On-Air,,CCARC,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.275,-5,100,KB5ITS,"Dolores, Summit Ridge",CO,OPEN,,,90.79,SSW,,08,16623,37.4739,-108.505,447.275,442.275,100,Montezuma,,,,2017-12-07,On-Air,,,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
