Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,Downlink Tone,YSF Digital Enabled,DG-ID,WIRES-X,County,Grid,Op Status,Coverage,Affiliate,Features,Mixed-Mode,Notes,Last update,Sponsor,Links,EchoLink,IRLP,Nets,Web links,Coordination,Bandwidth,AllStar,Feed,DMR Enabled,Color Code,DMR ID,IPSC Network,Wide Network,Talkgroups,Rocky Mountain Wide,Southern Colorado,On-air,Commands,Local/Cluster,Central Regional,Colorado,REACT,CO-Park County,D-STAR Enabled,Node,Sources,TAC 310,TAC 311,Colorado Chat,Eastern Colorado,P-25 Digital Enabled,NAC,Default Reflector,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,Location Photo,Devilshead Local,Local Network,Northern Colorado Regional,Talkgroup Network,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Worldwide,North America,English,DCI Bridge,Texas,COMM 1,Texas/Oklahoma Regional USA,N. Colorado,Mountain Reg USA,Worldwide English
147.09,0.6,118.8,KZ0DEM,Springfield,CO,OPEN,,,64.6,SE,,08,8174,37.4083,-102.614,147.09,147.69,118.8,118.8,,,,Baca,,,,,,,,2012-11-12,BCDEARC,,,,,,CCARC,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.33,0.6,118.8,KZ0DEM,Springfield,CO,OPEN,EI,,64.6,SE,Node Offline,08,6093,37.40829849,-102.61399841,147.33,147.93,118.8,118.8,,,,Baca,,Off-Air,,,,,,2018-03-12,Baca County Amateur Emergency Management,,97142,7142,,KZ0DEM Repeaters,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.2,-5,118.8,KZ0DEM,Springfield,CO,OPEN,EI,,64.6,SE,Node Offline,08,4588,37.4083,-102.614,449.2,444.2,118.8,118.8,,,,Baca,,On-Air,provides coverage to central Baca County,,,,,2011-08-21,Baca County Div of Emerg Mgt Communications,,97142,7142,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,CC 88.5,W0PHC,"Pueblo, 12 Mile Hill",CO,OPEN,,D,65.08,WNW,,08,194,38.20700073,-104.70700073,146.88,146.28,88.5,,,,,Pueblo,DM78pe,On-Air,Wide area.,,E-power.,Yes; analog capable.,,2019-12-10,Pueblo Amateur Radio Club,,,,,http://www.puebloradio.org/,CCARC,,,,yes,0,,c Record retrieved from radioid.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.975,-5,100,K0JSC,Pueblo West,CO,OPEN,EIA,,68.3,WNW,ON - IDLE,08,7994,38.3030014,-104.73400116,448.975,443.975,100,100,,,,Pueblo,,On-Air,,,,,Off air. Will return to service,2017-03-11,,Full-time to the The Fun Machine System .,363976,7301,,http://www.k0jsc.com,CCARC,,28368,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7625,-5,CC,KZ0DEM,Vilas,CO,OPEN,,D,73.33,SE,,08,17522,37.37469864,-102.4469986,446.7625,441.7625,,,,,,Baca,,,Baca County,,,,TS1​ 310815 - Fun Machine Link - Static,2019-11-27,Southeast Colorado REACT,,,,,http://www.secahr.com/southeast-colorado-react.html,,,,,yes,7,310841,RMHAM c Record retrieved from radioid.net,,"Open Talkgroup View Assignment TS TG Access Local/Cluster 2 2 Full-Time Central Regional 2 720 Full-Time Colorado 2 3108 Full-Time REACT 2 3740 Full-Time CO-Park County 2 31081 Full-Time function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",,,Unknown,,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,-5,103.5,KC0VJD,Hugo,CO,OPEN,W,Y,73.96,N,,08,17059,39.05419922,-103.48000336,447,442,,,yes,Open ↑ / Open ↓,30534,Lincoln,,On-Air,"I-70, US-71, US-287, US-40, US-24, Hugo, Limon, Genoa, Punkin Center, Arriba.",,APRS repeater &amp; I-Gate / Weather station,,,2020-01-26,Delbert Noakes (KC0VJD),,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.6,-5,107.2,KC0CVU,"Trinidad, Raton Pass",CO,OPEN,,,76.92,SW,,08,240,37.16939926,-104.5,449.6,444.6,107.2,,,,,Las Animas,,Off-Air,Wide area.,,E-power.,,,2017-10-24,Cheyenne Mtn Rptr Grp,,,,,CMRG Repeaters,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.375,0.6,100,K0BV,"Trinidad, Raton Pass",CO,OPEN,,,76.95,SW,,08,8180,37.16949844,-104.50099945,147.375,147.975,100,100,,,,Las Animas,,Off-Air,Good coverage along I-25 between CO/NM state line and 40 miles north.,,,,,2017-10-24,K0BV,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.375,-5,100,KG5JL,"Trinidad, Raton Pass",CO,OPEN,,Y,76.95,SW,,08,13499,37.16949844,-104.50099945,447.375,442.375,100,,yes,Open ↑ / Open ↓,,Las Animas,,On-Air,"Covers I-25 from CO/NM border to north of Trinidad, CO.",,E-power (batt).,Yes; analog capable.,,2018-04-04,KG5JL,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.6,-5,103.5,KC0VJD,Firstview,CO,OPEN,W,Y,77.77,NE,,08,17703,38.79579926,-102.54799652,447.6,442.6,,,yes,Open ↑ / Open ↓,35710,Cheyenne,DM88RT,On-Air,"US-40, US-287, US-385, CO-94, CO-96 Kit Carson, Cheyenne Wells, Firstview, Eads, Aroya, Sheridan Lake",,"APRS Digireater &amp; iGate, Weather Station",,,2019-04-24,Delbert Noakes (KC0VJD),,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,88.5,WB5NJU,Kenton,NM,OPEN,,,80.57,SSE,,35,18214,36.90100098,-103.00299835,147.39,147.99,88.5,,,,,Union,,On-Air,,,,,Repeater on the New Mexico - Oklahoma border,2019-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.775,-5,,KD0RDI,"Trinidad, Raton Pass",CO,OPEN,,S,80.79,SW,,08,8086,37.14569855,-104.57099915,446.775,441.775,,,,,,Las Animas,,On-Air,,,,,,2017-12-13,Cheyenne Mountain Repeater Group (CMRG),,,,,,CCARC,,,,,,,,,,,,,,,,,,,yes,KD0RDI (B),jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
