ID,StateID,Callsign,Use,Status,SquelchTone,DigitalTone,VOIP,Location.Latitude,Location.Longitude,Location.County,Location.State,Location.Local,Frequency.Input,Frequency.Output,Digital.P25,Digital.DStar,Digital.YSF,Digital.DMR.ColorCode,Digital.DMR.ID,Digital,SquelchTone.Input,SquelchTone.Output,VOIP.AllStar,VOIP.Wires,VOIP.EchoLink.NodeID,VOIP.IRLP.NodeID,VOIP.EchoLink,VOIP.IRLP,VOIP.AllStar.NodeID,Digital.DMR,VOIP.Wires.ID,Digital.YSF.GroupID.Input,Digital.YSF.GroupID.Output,Digital.DStar.Node,Digital.P25.NAC,DigitalTone.Input,DigitalTone.Output
79,8,N0JXN,Open,On-Air,,,,39.73920059,-104.98400116,Denver,CO,Denver,146.115,146.715,,,,,,,123,123,,,,,,,,,,,,,,,
91,8,N5EHP,Open,On-Air,,,,39.73920059,-104.98400116,Denver,CO,Denver,443.075,448.075,,,,,,,123,,,,,,,,,,,,,,,,
93,8,W0KIZ,Open,Off-Air,,,,39.73920059,-104.98400116,Denver,CO,Denver,443.55,448.55,,,,,,,82.5,,,,,,,,,,,,,,,,
8196,8,K0FEZ,Open,On-Air,,,,39.73759842,-104.98500061,Denver,CO,Denver,442.925,447.925,,,,,,,100,100,,,,,,,,,,,,,,,
8195,8,WB0TPT,Open,Off-Air,,,,39.73759842,-104.98500061,Denver,CO,Denver,442.9,447.9,,,,,,,,,,,,,,,,,,,,,,,
8212,8,WR0AEN,Open,On-Air,,,,39.73759842,-104.98500061,Denver,CO,Denver,444.65,449.65,,,,,,,,,,,,,,,,,,,,WR0AEN (B),,,
8213,8,WR0AEN,Open,On-Air,,,,39.73759842,-104.98500061,Denver,CO,Denver,444.675,449.675,,,,,,,,,,,,7708,,,,,,,,WR0AEN (B),,,
28,56,KC7SNO,Open,On-Air,,,,41.4178009,-104.09799957,Laramie,WY,Albin,147.765,147.165,,,,,,,114.8,,,,,,,,,,,,,,,,
8208,8,N1UPS,Open,On-Air,,,,39.83670044,-105.03700256,Adams,CO,Westminster,444.3,449.3,,,,,,,100,,,,43699,3699,,,,,,,,,,,
181,8,W0LRA,Open,On-Air,,,,40.39780045,-105.0739975,Larimer,CO,"Loveland, Namaqua Hill",444.575,449.575,,,,,,,100,,,,,,,,,,,,,,,,
176,8,N0EPA,Open,On-Air,,,,40.16719818,-105.10099792,Boulder,CO,Longmont,443.525,448.525,,,,,,,151.4,,,,223853,,,,,,,,,,,,
175,8,W0ENO,Open,On-Air,,,,40.16719818,-105.10099792,Boulder,CO,Longmont,147.87,147.27,,,,,,,100,100,,,,,,,,,,,,,,,
177,8,W0ENO,Open,On-Air,,,,40.16719818,-105.10099792,Boulder,CO,Longmont,443.8,448.8,,,,,,,88.5,88.5,,,,,,,,,,,,,,,
26,8,W0LMA,Open,Off-Air,,,,39.92060089,-105.08599854,Boulder,CO,Broomfield,443.925,448.925,,,,,,,131.8,,,,,,,,,,,,,,,,
266,8,W0WYX,Open,Off-Air,,,,39.92060089,-105.08599854,Boulder,CO,Broomfield,444.825,449.825,,,,,,,103.5,,,,,,,,,,,,,,,,
17703,8,KC0VJD,Open,On-Air,,,,38.79579926,-102.54799652,Cheyenne,CO,Firstview,442.6,447.6,,,,,,,,,,,,,,,,,35710,Open ↑,Open ↓,,,,
8194,8,W7RF,Open,On-Air,,,,40.49599838,-105.07900238,Larimer,CO,Fort Collins,442.725,447.725,,,,,,,131.8,,,,,,,,,,,,,,,,
8251,8,WB7UPS,Open,On-Air,,,,40.70389938,-105.00900269,Larimer,CO,Wellington,443.325,448.325,,,,,,,110.9,,,,,,,,,,,,,,,,
34,56,N7JJY,Open,On-Air,,,,41.02740097,-104.78399658,Laramie,WY,"Cheyenne, Chalk Bluffs",444.3,449.3,,,,,,,,,,,,,,,,,,Open ↑,Open ↓,,,,
179,8,W0LRA,Open,On-Air,,,,40.39849854,-105.125,Larimer,CO,"Loveland, Namaqua Hill",147.795,147.195,,,,,,,100,,,,,,,,,,,,,,,,
125,8,W0QEY,Open,On-Air,,,,40.57080078,-105.07700348,Larimer,CO,"Fort Collins, CSU Durward Hall",147.96,147.36,,,,,,,100,100,,,,,,,,,,,,,,,
124,8,W0QEY,Open,On-Air,,,,40.58530045,-105.08399963,Larimer,CO,"Fort Collins, CSU Durward Hall",444.85,449.85,,,,,,,100,100,,,,,,,,,,,,,,,
3592,8,W0QEY,Open,On-Air,,,,40.58530045,-105.08399963,Larimer,CO,"Fort Collins, CSU Durward Hall",902.95,927.95,,,,,,,100,100,,,,,,,,,,,,,,,
16,8,W0IA,Open,On-Air,,,,40.05559921,-105.15699768,Boulder,CO,"Boulder, Gunbarrel Hill",146.16,146.76,,,,,,,100,,,,,,,,,,,,,,,,
11025,31,N0UGO,Open,On-Air,,,,41.12820053,-101.72000122,Keith,NE,Ogallala,146.16,146.76,,,,,,,123,,,,751985,7349,,,,,,,,,,,
18416,8,W0QEY,Open,On-Air,,,,40.57759857,-105.09300232,Larimer,CO,"Fort Collins, CSU Durward Hall",441.7625,446.7625,,,,8,,,,,,,,,,,,,,,,,,,
18417,8,W0QEY,Open,On-Air,,,,40.57759857,-105.09300232,Larimer,CO,"Fort Collins, CSU Durward Hall",441.7625,446.7625,,,,8,,,,,,,,,,,,,,,,,,,
8901,8,W0QEY,Open,On-Air,,,,40.57770157,-105.09300232,Larimer,CO,"Fort Collins, CSU Durward Hall",441.8125,446.8125,,,,,,,,,,,,,,,,,,,,W0QEY (B) Repeater,,,
3620,8,K1TJ,Open,On-Air,,,,40.51530075,-105.14700317,Larimer,CO,Fort Collins,1263.55,1283.55,,,,,,,100,,,,,,,,,,,,,,,,
276,8,KC0RBT,Open,On-Air,,,,40.51530075,-105.14700317,Larimer,CO,Fort Collins,442.45,447.45,,,,,,,123,,,,447450,,,,,,,,,,,,
8505,8,N0AOL,Open,On-Air,,,,40.51530075,-105.14700317,Larimer,CO,Fort Collins,441.7375,446.7375,,,,2,310803,,,,,,,,,,,,,,,,,,
9775,8,KD0SSP,Open,On-Air,,,,39.75049973,-105.1230011,Jefferson,CO,"Lakewood, Moffat Treatment Plant",147.81,147.21,,,,,,,100,100,,,,3241,,,,,,,,,,,
17349,8,KD0SSP,Open,On-Air,,,,39.75059891,-105.1230011,Jefferson,CO,"Lakewood, Moffat Treatment Plant",443.35,448.35,,,,,,,,,,,,,,,,,,Open ↑,Open ↓,,,,
8204,8,N0ELY,Open,Off-Air,,,,39.70460129,-105.1230011,Jefferson,CO,Lakewood,443.75,448.75,,,,,,,100,100,,,,,,,,,,,,,,,
5805,8,W0TX,Open,On-Air,,,,39.71620178,-105.12999725,Jefferson,CO,"Lakewood, St Anthony Medical Campus",442.825,447.825,,,,,,,,,,,,,,,,,,,,,,73,
8715,8,K7PFJ,Open,Off-Air,,,,40.53879929,-105.17900085,Larimer,CO,"Fort Collins, Horsetooth Mountain",441.75,446.75,,,,7,310814,,,,,,,,,,,,,,,,,,
14274,8,KB0VGD,Open,On-Air,,,,40.53879929,-105.17900085,Larimer,CO,"Fort Collins, Horsetooth Mountain",144.665,145.265,,,,2,310831,,,,,,,,,,,,,,,,,,
8171,8,KC0DS,Open,On-Air,,,,40.03720093,-105.23000336,Boulder,CO,Boulder,144.7875,145.3875,,,,,,,,,,,,,,,,,,,,KC0DS (C),,,
8220,8,KC0DS,Open,On-Air,,,,40.03720093,-105.23000336,Boulder,CO,Boulder,1263.8625,1283.8625,,,,,,,,,,,,,,,,,,,,KC0DS (A) Repeater,,,
13294,8,KD0MDP,Open,On-Air,,,,39.04370117,-104.60800171,El Paso,CO,"Falcon, Black Forest",442.625,447.625,,,,,,,100,100,,,363976,7301,,,28299,,,,,,,,
15672,56,K7PFJ,Open,Off-Air,,,,41.06000137,-104.87999725,Laramie,WY,"Cheyenne, South",444.9375,449.9375,,,,7,315603,,,,,,,,,,,,,,,,,,
27,56,KC7SNO,Open,On-Air,,,,41.12390137,-104.81900024,Laramie,WY,"Cheyenne, Denver Hill",146.175,146.775,,,,,,,114.8,,,,,,,,,,,,,,,,
85,8,W0TX,Open,On-Air,,,,39.68220139,-105.14299774,Jefferson,CO,"Lakewood, Green Mountain",147.93,147.33,,,,,,,100,,,,,,,,,,,,,,,,
267,8,W0TX,Open,On-Air,,,,39.68220139,-105.14299774,Jefferson,CO,"Lakewood, Green Mountain",222.78,224.38,,,,,,,100,100,,,,,,,,,,,,,,,
8215,8,W0TX,Open,On-Air,,,,39.68220139,-105.14299774,Jefferson,CO,"Lakewood, Green Mtn",444.775,449.775,,,,,,,,,,,,,,,,,,Open ↑,Open ↓,,,,
15,8,K0DK,Open,Off-Air,,,,40.05709839,-105.24299622,Boulder,CO,Boulder,146.13,146.73,,,,,,,91.5,91.5,,,115482,,,,,,,,,,,,
123,8,W0UPS,Open,On-Air,,,,40.53969955,-105.19599915,Larimer,CO,"Fort Collins, Horsetooth Mountain",144.515,145.115,,,,,,,100,100,,,4236,,,,,,,,,,,,
275,8,W0UPS,Open,Off-Air,,,,40.53969955,-105.19599915,Larimer,CO,"Fort Collins, Horsetooth Mountain",222.92,224.52,,,,,,,100,100,,,,,,,,,,,,,,,
126,8,W0UPS,Open,On-Air,,,,40.53969955,-105.19599915,Larimer,CO,"Fort Collins, Horsetooth Mountain",442.275,447.275,,,,,,,100,100,,,,,,,,,,,,,,,
19,56,KB7SWR,Open,On-Air,,,,41.13999939,-104.81999969,Laramie,WY,Cheyenne,144.635,145.235,,,,,,,131.8,,,,,,,,,,,,,,,,
15518,56,N7JJY,Open,On-Air,,,,41.13999939,-104.81999969,Laramie,WY,Cheyenne,444.9,449.9,,,,,,,100,100,,,,,,,,,,,,,,,
10803,56,WY7EOC,Open,On-Air,,,,41.13999939,-104.81999969,Laramie,WY,Cheyenne,444.975,449.975,,,,11,315601,,,,,,,,,,,,,,,,,,
8991,56,KC7DHF,Open,On-Air,,,,41.15299988,-104.81800079,Laramie,WY,"Cheyenne, Old airport control tower",443.95,448.95,,,,15,315615,,,,,,,,,,,,,,,,,,
105,8,W0TX,Open,On-Air,,,,39.70080185,-105.1780014,Jefferson,CO,"Lakewood, Green Mountain",51.39,53.09,,,,,,,107.2,,,,,,,,,,,,,,,,
21,8,K0DK,Open,Off-Air,,,,40.01499939,-105.26999664,Boulder,CO,Boulder,444.4,449.4,,,,,,,91.5,,,,,,,,,,,,,,,,
14273,8,KB0VGD,Open,On-Air,,,,39.7845993,-105.21600342,Jefferson,CO,"Golden, Table Mountain",441.975,446.975,,,,2,310811,,,,,,,,,,,,,,,,,,
11,8,W0IA,Open,On-Air,,,,40.01499939,-105.26999664,Boulder,CO,Boulder,444.55,449.55,,,,,,,100,,,,217336,,,,,,,,,,,,
8186,8,KC0DS,Open,On-Air,,,,40.01499939,-105.27100372,Boulder,CO,Boulder,441.8625,446.8625,,,,,,,,,,,,,,,,,,,,KC0DS (B),,,
8185,8,N0SZ,Open,On-Air,,,,40.01499939,-105.27100372,Boulder,CO,"Boulder, Mount Thorodin",441.8,446.8,,,,7,310800,,,,,,,,,,,,,,,,,,
8221,8,W0DK,Open,On-Air,,,,40.01499939,-105.27100372,Boulder,CO,Boulder,1279.5,1299.5,,,,,,,,,,,,,,,,,,,,W0DK (A) DVAP 24/7,,,
110,31,WB7GR,Open,On-Air,,,,41.70100021,-103.68099976,Scotts Bluff,NE,"Scottsbluff, Stage Hill",449.125,444.125,,,,,,,114.8,114.8,,,,,,,,,,,,,,,
18534,8,W0BTV,Open,On-Air,,,,39.97848511,-105.27445221,Boulder,CO,Boulder,1243,423,,,,,,,,,,,,,,,,,,,,,,,
13,8,W0DK,Open,On-Air,,,,39.97829819,-105.27500153,Boulder,CO,Boulder,146.01,146.61,,,,,,,100,,,,,7007,,,,,,,,,,,
10,8,W0DK,Open,On-Air,,,,39.97800064,-105.27500153,Boulder,CO,"Boulder, Table Mesa",443.9,448.9,,,,,,,100,,,,,,,,,,,,,,,,
143,8,N0PYY,Open,On-Air,,,,39.75559998,-105.22100067,Jefferson,CO,Golden,443.125,448.125,,,,,,,107.2,,,,,,,,,,,,,,,,
7170,8,N0PYY,Open,On-Air,,,,39.75550079,-105.22100067,Jefferson,CO,Golden,902.7875,927.7875,,,,,,,156.7,,,,,,,,,,,,,,,,
14,8,W0DK,Open,On-Air,,,,39.97750092,-105.27899933,Boulder,CO,"Boulder, Table Mountain",146.1,146.7,,,,,,,100,,,,,,,,,,,,,,,,
137,8,W0GV,Open,On-Air,,,,39.75559998,-105.22100067,Jefferson,CO,Golden,443.975,448.975,,,,,,,123,,,,,,,,42845,,,,,,,,
17551,8,,Open,Other,,,,39.04850006,-104.7009964,El Paso,CO,Black Forest,443.95,448.95,,,,,,,,,,,,,,,,,,Open ↑,Open ↓,(B) Repeater,,,
3753,8,WA2YZT,Open,On-Air,,,,39.73049927,-105.23200226,Jefferson,CO,"Golden, Lookout",441.8375,446.8375,,,,7,310802,,,,,,,,,,,,,,,,,,
10939,8,N0SZ,Open,On-Air,,,,39.73070145,-105.23300171,Jefferson,CO,"Golden, Lookout Mountain",144.77,145.37,,,,7,310808,,,,,,,,,,,,,,,,,,
3739,8,W0CDS,Open,On-Air,,,,39.73049927,-105.23300171,Jefferson,CO,"Golden, Lookout Mountain",144.65,145.25,,,,,,,,,,,,,,,,,,,,W0CDS (C) Repeater,,,
2769,8,W0CDS,Open,On-Air,,,,39.73049927,-105.23300171,Jefferson,CO,"Golden, Lookout Mountain",441.9625,446.9625,,,,,,,,,,,,,,,,,,,,W0CDS (B) Repeater,,,
3751,8,W0CDS,Open,On-Air,,,,39.73049927,-105.23300171,Jefferson,CO,"Golden, Lookout Mountain",1263.9625,1283.9625,,,,,,,,,,,,,,,,,,,,W0CDS (A) Repeater,,,
8222,8,W0CDS,Open,On-Air,,,,39.73049927,-105.23300171,Jefferson,CO,"Golden, Lookout Mountain",1299.9,1299.9,,,,,,,,,,,,,,,,,,,,W0CDS (A) DVAP 24/7,,,
18156,8,W0SKY,Open,On-Air,,,,39.7333,-105.237,Jefferson,CO,"Golden, Lookout Mountain",902.0375,927.975,,,,,,,67,67,,,,,,,,,,,,,,,
80,8,N0PUF,Open,On-Air,,,,39.50419998,-105.12799835,Jefferson,CO,"Centennial, Warren Mountain",146.28,146.88,,,,,,,100,,,,,,,,,,,,,,,,
273,8,N0PUF,Open,On-Air,,,,39.50419998,-105.12799835,Jefferson,CO,"Centennial, Warren Mountain",444.6,449.6,,,,,,,,,,,690473,3345,,,,,,Open ↑,Open ↓,,,,
139,8,KE0VH,Open,On-Air,,,,39.733,-105.239,Jefferson,CO,"Golden, Lookout Mountain",444.625,449.625,,,,,,,141.3,141.3,,,,,,,,,,Open ↑,Open ↓,,,,
10514,8,N6LXX,Open,On-Air,,,,39.67340088,-105.21800232,Jefferson,CO,"Morrison, Mt. Morrison",52.67,53.17,,,,,,,107.2,,,,,,,,29883,,,,,,,,
10513,8,N6LXX,Open,On-Air,,,,39.67340088,-105.21800232,Jefferson,CO,"Morrison, Mt. Morrison",442.875,447.875,,,,,,,107.2,107.2,,,,,,,29913,,,,,,,,
17457,8,KI0HC,Open,On-Air,,,,39.6,-105.21,Jefferson,CO,"Indian Hills, Chief Mtn",902.025,927.9375,,,,,,,,,,,,,,,,,,,,,293,,
13790,8,,Open,Testing,,,,38.93299866,-104.60900116,El Paso,CO,Falcon,442.2,447.2,,,,,,,,,,,,,,,,,,Open ↑,Open ↓,,,,
8992,8,N0SZ,Open,On-Air,,,,40.07220078,-105.35399628,Boulder,CO,"Boulder, Lee Hill",440.05,445.05,,,,1,310852,,,,,,,,,,,,,,,,,,
5219,8,N0SZ,Open,On-Air,,,,40.07220078,-105.35399628,Boulder,CO,"Boulder, Lee Hill",441.9875,446.9875,,,,7,310813,,,,,,,,,,,,,,,,,,
8,8,W0CRA,Open,On-Air,,,,40.07220078,-105.35399628,Boulder,CO,"Boulder, Eldorado Mountain",144.86,145.46,,,,,,,107.2,107.2,,,347086,3990,,,,,,,,,,,
20,8,W0CRA,Open,On-Air,,,,40.07220078,-105.35399628,Boulder,CO,"Boulder, Eldorado Mountain",442.975,447.975,,,,,,,107.2,107.2,,,,,,,,,,,,,,,
18,8,W0IA,Open,On-Air,,,,40.07220078,-105.35399628,Boulder,CO,"Boulder, Lee Hill",222.42,224.02,,,,,,,,,,,217336,,,,,,,,,,,,
57,8,KB0SRJ,Open,On-Air,,,,39.03020096,-104.7990036,El Paso,CO,"Colorado Springs, ~2 mi ENE USAFA North Gate",443.8,448.8,,,,,,,100,,,,,,,,,,,,,,,,
265,8,KI0GO,Open,On-Air,,,,39.7772,-105.328,Jefferson,CO,"Golden, Guy Hill",444.75,449.75,,,,,,,103.5,103.5,,,,,,,,,,,,,,,
134,8,N0POH,Open,On-Air,,,,39.7772,-105.328,Jefferson,CO,"Golden, Guy Hill",223.14,224.74,,,,,,,88.5,88.5,,,,,,,,,,,,,,,
71,8,WT0C,Open,On-Air,,,,39.77719879,-105.32800293,Jefferson,CO,"Golden, Guy Hill",144.62,145.22,,,,,,,103.5,103.5,,,,,,,,,,,,,293,,
183,8,K0NR,Open,On-Air,,,,39.09170151,-104.87200165,El Paso,CO,"Monument, Monument Hill",442.725,447.725,,,,,,,100,100,,,,,,,,,,,,,,,
136,8,K0IBM,Open,On-Air,,,,39.7772,-105.329,Jefferson,CO,"Golden, Guy Hill",443.85,448.85,,,,,,,88.5,88.5,,,,,,,,,,,,,,,
86,8,N0MHU,Open,On-Air,,,,39.7772,-105.329,Jefferson,CO,"Golden, Guy Hill",222.4,224,,,,,,,103.5,103.5,,,,,,,,,,,,,,,
133,8,W0CBI,Open,On-Air,,,,39.7772,-105.329,Jefferson,CO,"Golden, Guy Hill",147.75,147.15,,,,,,,100,100,,,,,,,,,,,,,,,
5853,8,W0UPS,Open,On-Air,,,,40.61109924,-105.3239975,Larimer,CO,"Fort Collins, Buckhorn Mountain",442.7,447.7,,,,,,,100,100,,,,,,,,,,,,,,,
8740,8,N0XLF,Open,On-Air,,,,39.13600159,-104.92700195,Douglas,CO,"Palmer Lake, Monument Hill",144.59,145.19,,,,,,,131.8,131.8,,,10079,,,,,,,,,,,,
60,8,N0OWY,Open,On-Air,,,,39.4703,-105.198,Jefferson,CO,"Conifer, Critchell Mountain",442.5,447.5,,,,,,,88.5,88.5,,,,,,,,,,,,,,,
18418,8,N0SZ,Open,On-Air,,,,40.61700058,-105.32700348,Larimer,CO,"Fort Collins, Buckhorn Mountain",440.2,445.2,,,,7,,,,,,,,,,,,,,,,,,,
246,8,W0UPS,Open,On-Air,,,,40.61700058,-105.32700348,Larimer,CO,"Fort Collins, Buckhorn Mountain",146.025,146.625,,,,,,,100,100,,,,,,,,,,,,,,,
3660,8,W0UPS,Open,Off-Air,,,,40.61700058,-105.32700348,Larimer,CO,"Fort Collins, Buckhorn Mountain",223.24,224.84,,,,,,,100,100,,,,,,,,,,,,,,,
