Channel Number,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Show Name,Tone Mode,CTCSS,DCS,Tx Power,Skip,Step,Clock Shift,Comment,User CTCSS
367,146.88000,146.28000,600 kHz,Minus,Auto,PDO Los Alamos Barranca Mesa,Large,None,100.0 Hz,023,High,Off,Auto,Off,35 194 429.00 NM Los Alamos Los Alamos Barranca Mesa W5PDO,1500 Hz
368,145.39000,144.79000,600 kHz,Minus,Auto,PFO Red River Molycorp,Large,Tone,100.0 Hz,023,High,Off,Auto,Off,35 137 329.00 NM Taos Red River Molycorp KF5PFO,1500 Hz
369,147.12000,147.72000,600 kHz,Plus,Auto,PFO Taos Picuris Peak,Large,Tone,67.0 Hz,023,High,Off,Auto,Off,35 172 380.00 NM Taos Taos Picuris Peak KF5PFO,1500 Hz
370,146.76000,146.16000,600 kHz,Minus,Auto,PFO Tres Piedras San Antonio Mou,Large,Tone,67.0 Hz,023,High,Off,Auto,Off,35 19 321.00 NM Rio Arriba Tres Piedras San Antonio Mountain KF5PFO,1500 Hz
371,146.76000,146.16000,600 kHz,Minus,Auto,PFO Tres Piedras San Antonio Mou,Large,Tone,67.0 Hz,023,High,Off,Auto,Off,35 174 342.00 NM Taos Tres Piedras San Antonio Mountain KF5PFO,1500 Hz
372,146.84000,146.24000,600 kHz,Minus,Auto,PGQ La Cueva,Large,Tone,107.2 Hz,023,High,Off,Auto,Off,35 102 453.00 NM Santa Fe La Cueva N9PGQ,1500 Hz
373,146.79000,146.19000,600 kHz,Minus,Auto,PHC Pueblo Baculite Mesa,Large,Tone,88.5 Hz,023,High,Off,Auto,Off,8 193 144.00 CO Pueblo Pueblo Baculite Mesa W0PHC,1500 Hz
374,146.73000,146.13000,600 kHz,Minus,Auto,PHC Walsenburg N Rattlesnake But,Large,Tone,88.5 Hz,023,High,Off,Auto,Off,8 247 210.00 CO Huerfano Walsenburg N Rattlesnake Butte W0PHC,1500 Hz
375,145.46000,144.86000,600 kHz,Minus,Auto,PLA Casper Casper Mountain,Large,T Sql,110.9 Hz,023,High,Off,Auto,Off,56 12433 365.00 WY Natrona Casper Casper Mountain K7PLA,1500 Hz
376,145.44500,144.84500,600 kHz,Minus,Auto,PPP Lander airport,Large,Tone,110.9 Hz,023,High,Off,Auto,Off,56 40 446.00 WY Fremont Lander airport KD7PPP,1500 Hz
377,147.26000,147.86000,600 kHz,Plus,Auto,PQD Duchense,Large,None,100.0 Hz,023,High,Off,Auto,Off,49 152 468.00 UT Duchesne Duchense N7PQD,1500 Hz
378,146.83500,146.23500,600 kHz,Minus,Auto,PTS Pawnee Rock,Large,T Sql,100.0 Hz,023,High,Off,Auto,Off,20 4101 533.00 KS Barton Pawnee Rock KE0PTS,1500 Hz
379,146.88000,146.28000,600 kHz,Minus,Auto,PUF Centennial Warren Mountain,Large,Tone,100.0 Hz,023,High,Off,Auto,Off,8 80 20.00 CO Jefferson Centennial Warren Mountain N0PUF,1500 Hz
