Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,WIRES-X,County,Op Status,Coverage,Sponsor,Affiliate,Features,Nets,Web links,Last update,D-STAR Enabled,Node,Sources,DMR Enabled,Color Code,DMR ID,IPSC Network,Wide Network,On-air,Coordination,Uplink Tone,Downlink Tone,YSF Digital Enabled,DG-ID,Links,Grid,IRLP,EchoLink,AllStar,Commands,Notes,Local Network,Feed,Mixed-Mode,Analog Bandwidth,P-25 Digital Enabled,NAC,Default Reflector,Talkgroups,Southern Colorado,Devilshead Local,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Talkgroup Network,Rocky Mountain Wide,Central Regional,Northern Colorado Regional,NXDN Enabled,RAN,NXDN Bandwidth,Bandwidth,Eastern Colorado,Worldwide,North America,WW English FT,TAC 310,Local/Cluster,N. Colorado,TAC 311,Colorado,Colorado Chat,DCI Bridge,Mountain Reg USA,Worldwide English FT,Location Photo,Wyoming,WyLOCAL
449.65,-5,136.5,WR0AEN,Denver,CO,OPEN,,S,7.96,NW,,08,8212,39.73759842,-104.98500061,449.65,444.65,,Denver,On-Air,,Colorado Amateur Repeater Network (CARN),,,,,2012-11-16,1,WR0AEN (B),jfindu lookup / dstar-users lookup,,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.675,-5,136.5,WR0AEN,Denver,CO,OPEN,I,S,7.96,NW,,08,8213,39.73759842,-104.98500061,449.675,444.675,,Denver,On-Air,,Colorado Amateur Repeater Network (CARN),,,,,2012-11-16,1,WR0AEN (B),jfindu lookup / dstar-users lookup,,,,,,,CCARC,,,,,,,7708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.475,-0.6,100,KE0SJ,"Boulder, Blue Mountain",CO,OPEN,,,8.02,NW,,08,75,39.73920059,-104.98400116,145.475,144.875,,Jefferson,On-Air,"Wide Area: Ft. Collins to the North, Colorado Springs to the South, Parts of Akron to the east.",Intermountain Repeater Group,,E-power.,,Intermountain Repeater Group,2015-05-22,,,,,,,,,,CCARC,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.715,-0.6,123,N0JXN,Denver,CO,OPEN,,,8.02,NW,,08,79,39.73920059,-104.98400116,146.715,146.115,,Denver,On-Air,,EARS,,E-power.,,,2017-04-09,,,,,,,,,,CCARC,123,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.075,-5,123,N5EHP,Denver,CO,OPEN,,,8.02,NW,,08,91,39.73920059,-104.98400116,448.075,443.075,,Denver,On-Air,,W0IG,,,,,2017-03-11,,,,,,,,,,CCARC,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.55,-5,82.5,W0KIZ,Denver,CO,OPEN,,,8.02,NW,,08,93,39.73920059,-104.98400116,448.55,443.55,,Denver,On-Air,,HPRA,,E-power.,,,2017-03-11,,,,,,,,,,CCARC,82.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.7,-5,146.2,WQ8M,Parker,CO,OPEN,,,8.12,SE,,08,274,39.55799866,-104.79399872,448.7,443.7,,Douglas,On-Air,Local North Parker only,,,,,,2018-09-07,,,,,,,,,,,146.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.4,-0.6,100,KB0UDD,"Aurora, Smoky Hill",CO,OPEN,,,8.73,SE,,08,5,39.6072998,-104.74099731,145.4,144.8,,Arapahoe,On-Air,Greater Denver area.,Castle Rock Repeater Group,,"Autopatch, e-power.",,,2019-03-09,,,,,,,,,,CCARC,100,,,,"Full-time to 448.50000 (KB0UDD) at Aurora, Smokey Hill, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.175,-5,100,W0JRL,"Denver, Broadway Plaza Lofts",CO,OPEN,EA,,9.03,NNW,ON - IDLE,08,12216,39.75519943,-104.98699951,447.175,442.175,,Denver,On-Air,,W0JRL,,,,,2015-05-15,,,,,,,,,,CCARC,100,100,,,,DM79MS,,201712,29997,Standard AllStar Link access commands.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.525,-5,203.5,N0ESQ,"Parker, Hess Reservoir",CO,OPEN,,,10.86,SSE,,08,8189,39.49420166,-104.83599854,447.525,442.525,,Douglas,On-Air,"Denver metropolitan area, front range foothills",EmComm Colorado,Colorado ARES,,,,2017-03-11,,,,,,,,,,CCARC,203.5,146.2,,,,DM79NL,,,,,"Not a ragchew machine. Traffic related to ARES, RACES and administrative and exercise traffic related thereto.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.225,-5,,K0PRA,Parker,CO,OPEN,W,Y,11.32,SE,,08,18248,39.51860046,-104.76100159,447.225,442.225,40895,Arapahoe,On-Air,Small coverage area in Parker,Parker Radio Association,,Linked to the Colorado Mega digital system,Monday nights 8pm mountain,https://www.parkerradio.org,2020-05-06,,,,,,,,,,CCARC,,,1,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.05,-5,CC,N0KEG,Parker,CO,OPEN,,D,11.32,SE,,08,17696,39.51860046,-104.76100159,448.05,443.05,,Douglas,,,,,,,,2019-11-27,,,,1,1,310374,Brandmeister c Record retrieved from radioid.net,BrandMeister,Unknown,,,,,,,,,,,,,Brandmeister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.75,-5,100,N0ELY,Lakewood,CO,OPEN,,,12.68,WNW,,08,8204,39.70460129,-105.1230011,448.75,443.75,,Jefferson,On-Air,Local.,,N0ELY,E-power.,,,2019-08-23,,,,,,,,,,CCARC,100,100,,,,DM79KQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,141.3,WE0FUN,"Denver, Green Valley Ranch",CO,OPEN,EA,,13.23,NE,Node Offline,08,9765,39.79669952,-104.7480011,448.15,443.15,,Denver,On-Air,Small coverage of the East Denver area SW of DIA. Repeater Coverage Map,K0GUR,,E-power (batt),APRS Net: Sun at 19:00. Region 5 District 2 ARES Net: Sun at 19:30. Statewide ARES Net: Sun at 20:00. Region 5 District 1 ARES Net: Mon at 19:00.,WE0FUN.com,2020-04-01,,,,,,,,,,CCARC,141.3,141.3,,,Full-time to the The Fun Machine System .,DM79pt,,24340,29436,,Echolink connects restricted. Email me to be added to the authorized list. The system may be occupied in the Southern Colorado area for a formal net or ARES activity.,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.33,0.6,100,W0TX,"Lakewood, Green Mountain",CO,OPEN,,,13.3,WNW,,08,85,39.68220139,-105.14299774,147.33,147.93,,Jefferson,On-Air,Metro Denver and the foothills.,Denver Radio Club,,E-power.,SATERN: Thu at 19:30.,DRC Repeaters,2017-03-31,,,,,,,,,,CCARC,100,,,,,,,,,,Not recommeded to use tone squelch on this repeater.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.38,-1.6,100,W0TX,"Lakewood, Green Mountain",CO,OPEN,,,13.3,WNW,,08,267,39.68220139,-105.14299774,224.38,222.78,,Jefferson,On-Air,,Denver Radio Club,,,,DRC Repeaters,2017-03-11,,,,,,,,,,CCARC,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.775,-5,CSQ,W0TX,"Lakewood, Green Mtn",CO,OPEN,,Y,13.3,WNW,,08,8215,39.68220139,-105.14299774,449.775,444.775,,Jefferson,On-Air,Metro Denver,Denver Radio Club,,Yaesu Digital Only,,Denver Radio Club,2019-09-06,,,,,,,,,,CCARC,,,1,Open ↑ / Open ↓,,DM79KQ,,,,,"YSF digital only, no analog FM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.825,-5,D073,W0TX,"Lakewood, St Anthony Medical Campus",CO,OPEN,,,13.31,WNW,,08,5805,39.71620178,-105.12999725,447.825,442.825,,Jefferson,On-Air,,Denver Radio Club,,,,,2017-03-11,,,,,,,,,,CCARC,D073,,,,,DM79KR,,,,,Now operating in Narrow Band mode with Digital Code Squelch. Please reset your programing to use: 12.5 KHz. bandwidth (+/- 2.5 KHz. deviation).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.21,0.6,100,KD0SSP,"Lakewood, Moffat Treatment Plant",CO,OPEN,I,,14.05,WNW,,08,9775,39.75049973,-105.1230011,147.21,147.81,,Jefferson,On-Air,,Denver Water Amateur Radio Club,,,,http://www.dwarc.com,2020-01-23,,,,,,,,,,,100,100,,,,DM79KS,3241,,,,,,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.35,-5,225.7,KD0SSP,"Lakewood, Moffat Treatment Plant",CO,OPEN,,Y,14.05,WNW,,08,17349,39.75059891,-105.1230011,448.35,443.35,,Jefferson,On-Air,Denver Metro and surrounding,Denver Water Amateur Radio Club (DWARC),,,,http://www.DWARC.com,2018-10-02,,,,,,,,,,CCARC,,,1,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.3,-5,100,N1UPS,Westminster,CO,OPEN,EI,,15.23,NNW,ON - IDLE,08,8208,39.83670044,-105.03700256,449.3,444.3,,Adams,On-Air,,N1UPS,,,,,2020-04-23,,,,,,,,,,CCARC,100,,,,,,3699,43699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.09,-1.7,107.2,W0TX,"Lakewood, Green Mountain",CO,OPEN,,,15.4,WNW,,08,105,39.70080185,-105.1780014,53.09,51.39,,Jefferson,On-Air,Metro Denver area.,Denver Radio Club,,E-power.,,DRC Repeaters,2017-03-11,,,,,,,,,,CCARC,107.2,,,,,DM79JQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,100,N0PUF,"Centennial, Warren Mountain",CO,OPEN,,,15.6,SW,,08,80,39.50419998,-105.12799835,146.88,146.28,,Jefferson,On-Air,Wide Area,Denver Radio League,,E-power.,,DRL Repeaters,2020-03-13,,,,,,,,,,CCARC,100,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.6,-5,100,N0PUF,"Centennial, Warren Mountain",CO,OPEN,EI,Y,15.6,SW,Node Offline,08,273,39.50419998,-105.12799835,449.6,444.6,,Jefferson,On-Air,,Denver Radio League,,,,DRL Repeaters,2020-03-13,,,,,,,,,,CCARC,,,1,Open ↑ / Open ↓,,,3345,690473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.9375,-25.9,,KI0HC,"Indian Hills, Chief Mtn",CO,OPEN,,,16.88,W,,08,17457,39.59999847,-105.20999908,927.9375,902.025,,Jefferson,On-Air,"Wide area coverage, I 25 from Cheyenne south to MM 20 just north of Trinidad. I 76 East to MM 100. I 70 from Idaho Springs to Genoa. Highway 24 from the Colorado Springs to Limon. Highway 24 west of Colorado Springs is spotty to Hartsel. US 50 from Canon City to Las Animas. Salida south to the San Luis Valley to Antonito. Salida North to just south of Leadville. Repeater Coverage Map",,,,,,2020-01-01,,,,,,,,,,CCARC,,,,,Full-time to the The 900 P25 Network System .,,,,,,,,,,,1,293,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.075,-5,CC,K0PRA,Parker,CO,OPEN,,D,17,SE,"Colorado Mega Reflector - XLX376 Transcoder - YSF 23160 - WiresX 40895 Welcome to the new and improved Colorado Mega Link! Brought to you by the Parker Radio Association, where we have fun, play radio and keep the squelch loose. Please join us Monday nights at 8pm mountain time our our digital net.",08,17292,39.44910049,-104.70300293,445.075,440.075,,Douglas,On-Air,,Parker Radio Association,,Brandmeister Network https://brandmeister.network/?page=repeater&amp;id=310844,Mondays 20:30 MST,http://www.parkerradio.org,2019-11-27,,,,1,1,310844,None c Record retrieved from radioid.net,,,CCARC,,,,,,,,,,,Mixed Mode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.875,-5,107.2,N6LXX,"Morrison, Mt. Morrison",CO,OPEN,A,,17.14,W,,08,10513,39.67340088,-105.21800232,447.875,442.875,,Jefferson,On-Air,"I-70,I-76,I-25,I-225",N6LXX,N6LXX,,,,2017-03-09,,,,,,,,,,CCARC,107.2,107.2,,,Full-time to the N6LXX System .,,,,29913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.17,-0.5,107.2,N6LXX,"Morrison, Mt. Morrison",CO,OPEN,A,,17.14,W,,08,10514,39.67340088,-105.21800232,53.17,52.67,,Jefferson,On-Air,"I-70,I-76,I-25,I-225",N6LXX,N6LXX,,,,2019-03-25,,,,,,,,,,CCARC,107.2,,,,Full-time to the N6LXX System .,,,,29883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.045,0.6,123,K0ML,Northglenn,CO,OPEN,,,17.36,NNW,,08,185,39.88560104,-104.98699951,147.045,147.645,,Adams,On-Air,,Northglenn RA,,E-power.,,,2017-04-10,,,,,,,,,,CCARC,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8375,-5,CC,WA2YZT,"Golden, Lookout",CO,OPEN,,D,18.74,WNW,,08,3753,39.73049927,-105.23200226,446.8375,441.8375,,Jefferson,On-Air,,WA2YZT,,200,,,2019-11-27,,,,1,7,310802,RMHR c Record retrieved from radioid.net,,,CCARC,,,,,Full-time to the Colorado TRBO System .,DM79JR,,,,,See website for more info on CC/TS/TG programming. www.rmham.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.37,-0.6,CC,N0SZ,"Golden, Lookout Mountain",CO,OPEN,,D,18.8,WNW,,08,10939,39.73070145,-105.23300171,145.37,144.77,,Jefferson,On-Air,,Rocky Mountain Ham Radio,,700,,Rocky Mountain Ham Radio,2019-11-27,,,,1,7,310808,RMHR c Record retrieved from radioid.net,,,CCARC,,,,,,DM79JR,,,,,See the website for programming information. Voice ID is required for data/GPS/text on TG 705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.7875,-25,156.7,N0PYY,Golden,CO,OPEN,,,18.82,WNW,,08,7170,39.75550079,-105.22100067,927.7875,902.7875,,Jefferson,On-Air,Golden and Denver.,N0PYY,,,,,2017-12-24,,,,,,,,,,,156.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.125,-5,107.2,N0PYY,Golden,CO,OPEN,,,18.83,WNW,,08,143,39.75559998,-105.22100067,448.125,443.125,,Jefferson,On-Air,,Denver PD EEB,,,,,2014-04-28,,,,,,,,,,CCARC,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.975,-5,123,W0GV,Golden,CO,OPEN,A,,18.83,WNW,,08,137,39.75559998,-105.22100067,448.975,443.975,,Jefferson,On-Air,Wide area.,FRG,,Linkable VHF/UHF Remote Base,,,2019-09-06,,,,,,,,,,CCARC,123,,,,,,,,42845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.7375,-25.7,100,KI0HC,Parker,CO,OPEN,,,18.96,SE,,08,14732,39.53910065,-104.56900024,927.7375,902.025,,Douglas,On-Air,"Wide area coverage, I 25 from Cheyenne south to MM 20 just north of Trinidad. I 76 East to MM 100. I 70 from Idaho Springs to Genoa. Highway 24 from the Colorado Springs to Limon. Highway 24 west of Colorado Springs is spotty to Hartsel. US 50 from Canon City to Las Animas. Salida south to the San Luis Valley to Antonito. Salida North to just south of Leadville. Repeater Coverage Map",,,,,,2020-01-01,,,,,,,,,,CCARC,100,100,,,Full-time to the The 900 P25 Network System .,DM79RM,,,,,,,,Yes; analog capable.,,1,293,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.975,-25.9,67,W0SKY,"Golden, Lookout Mountain",CO,OPEN,A,,19.05,WNW,,08,18156,39.73329926,-105.23699951,927.975,902.0375,,Jefferson,On-Air,"Denver, Golden",,,,,http://www.w0sky.com,2020-01-01,,,,,,,,,,CCARC,67,67,,,,,,,40195,Standard AllStar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.625,-5,141.3,KE0VH,"Golden, Lookout Mountain",CO,OPEN,,Y,19.15,WNW,,08,139,39.73300171,-105.23899841,449.625,444.625,,Jefferson,On-Air,,,,E-power,,,2019-06-19,,,,,,,,,,CCARC,141.3,141.3,1,Open ↑ / Open ↓,,DM79JR,,,,,,,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.975,-5,CC,KB0VGD,"Golden, Table Mountain",CO,OPEN,,D,19.5,WNW,"KB0VGD North Table Mtn. Golden Wide area coverage. Please use ONLY TG 310811, TG 3171, TG 3108, and TG 2 (Local 2) on Time Slot 2 (TS2). ALL OTHER TG connections will be directed to Time Slot 1 (TS1).",08,14273,39.7845993,-105.21600342,446.975,441.975,,Jefferson,On-Air,Denver Metro Area,W0DMR,,,"Tac 310 Net, Sundays 18:00 Mountain Time, TS1, TG 310.",http://www.w0dmr.org/,2019-11-27,,,,1,2,310811,NoCo c Record retrieved from radioid.net,,,,,,,,,,,,,"TS 1, CC 2: TG 3171 - Northern Colorado Network, TG 3100 - DCI Bridge, TG 1776 - USA Network, TG 310 - Tac 310. TS 2, CC 2: TG 2 - Local",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.5,-5,88.5,N0OWY,"Conifer, Critchell Mountain",CO,OPEN,,,19.98,SW,,08,60,39.47029877,-105.19799805,447.5,442.5,,Jefferson,On-Air,Wide area.,Aurora Repeater Association,,E-power.,,,2020-05-17,,,,,,,,,,CCARC,88.5,88.5,,,,DM79JL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.85,-5,,K0PRA,Franktown,CO,OPEN,,S,20.99,SE,,08,11473,39.39350128,-104.67500305,446.85,441.85,,Douglas,On-Air,,Parker Radio Association,,D-Star B module,,http://parkerradio.org,2018-03-18,1,K0PRA (B) Repeater,jfindu lookup / dstar-users lookup,,,,,,,CCARC,,,,,,DM79PJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.925,-5,131.8,W0LMA,Broomfield,CO,OPEN,,,21.57,NNW,,08,26,39.92060089,-105.08599854,448.925,443.925,,Boulder,On-Air,,W0LMA,,,,,2019-06-19,,,,,,,,,,CCARC,131.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.825,-5,103.5,W0WYX,Broomfield,CO,OPEN,,,21.57,NNW,,08,266,39.92060089,-105.08599854,449.825,444.825,,Boulder,On-Air,Along the foothills and into Boulder where the 94 repeater is shadowed.,Rocky Mountain Radio League,,6,Colorado WX: Daily at 06:30. RMRL: Mod at 20:30. Astronomy: Tue at 19:00. Amateur Radio Events: Tue at 20:00.,Repeater,2019-06-19,,,,,,,,,,CCARC,103.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.34,-0.6,103.5,KE4GUQ,Evergreen,CO,OPEN,I,,22.31,W,,08,73,39.63330078,-105.31700134,145.34,144.74,,Jefferson,On-Air,Wide area.,Rocky Mtn Radio League,,E-power.,,Repeater,2019-08-15,,,,,,,,,,CCARC,103.5,127.3,,,,,3350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.175,-0.6,CC,N0SZ,"Evergreen, Squaw Mountain",CO,OPEN,,D,22.31,W,,08,10932,39.63330078,-105.31700134,145.175,144.575,,Clear Creek,On-Air,,Rocky Mountain Ham Radio,,700,,Rocky Mountain Ham Radio,2019-11-27,,,,1,7,310810,RMHR c Record retrieved from radioid.net,,,CCARC,,,,,,DM79IP,,,,,Voice ID is required for data/GPS/text on TG 705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.75,-5,103.5,KI0GO,"Golden, Guy Hill",CO,OPEN,,,24.64,WNW,,08,265,39.77719879,-105.32800293,449.75,444.75,,Jefferson,On-Air,,Rocky Mtn Radio League,,8,,Repeater,2016-12-23,,,,,,,,,,CCARC,103.5,103.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.74,-1.6,88.5,N0POH,"Golden, Guy Hill",CO,OPEN,,,24.64,WNW,,08,134,39.77719879,-105.32800293,224.74,223.14,,Jefferson,On-Air,,Aurora Repeater Assoc,,e-power,ARA: Wed at 2000.,ARA Repeaters,2016-01-17,,,,,,,,,,CCARC,88.5,88.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.22,-0.6,103.5,WT0C,"Golden, Guy Hill",CO,OPEN,,,24.64,WNW,,08,71,39.77719879,-105.32800293,145.22,144.62,,Jefferson,On-Air,Wide area.,Rocky Mtn Radio League,,8,,Repeater,2016-12-23,,,,,,,,,,CCARC,103.5,103.5,,,,,,,,,Talk-Group of $FFFF.,,,Yes; analog capable.,,1,293,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.85,-5,88.5,K0IBM,"Golden, Guy Hill",CO,OPEN,,,24.69,WNW,,08,136,39.77719879,-105.32900238,448.85,443.85,,Jefferson,On-Air,"Denver metro, central front range",Aurora Repeater Assoc,,e-power.,ARA: Wed at 20:00.,ARA Repeaters,2016-01-17,,,,,,,,,,CCARC,88.5,88.5,,,,DM79IS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
