Channel Number,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Tone Mode,CTCSS,Rx CTCSS,DCS,DCS Polarity,Select Scan,Comment,Digital Squelch,Digital Code,Your Callsign,Rpt-1 CallSign,Rpt-2 CallSign,Filter,Tx Data Mode,Data Mode,Split Tone Mode,Split CTCSS,Split Rx CTCSS,Split DCS,Split DCS Polarity,Tx Filter,Tx Operating Mode
16,443.50000,438.50000,5.00 MHz,-DUP,FM,5XE Albuquerque,Tone,123.0 Hz,123.0 Hz,023,Both N,Off,35 16953 423.28 NM Bernalillo Albuquerque KE5XE,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
17,147.15000,147.75000,600 kHz,+DUP,FM,7BA Douglas,None,100.0 Hz,100.0 Hz,023,Both N,Off,56 50 460.10 WY Converse Douglas KK7BA,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
18,146.73000,146.13000,600 kHz,-DUP,FM,7BR Torrington,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,56 42 399.18 WY Goshen Torrington KF7BR,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
19,144.63500,145.23500,600 kHz,+DUP,FM,7BV Mountain View Hickey Mtn,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,56 14219 409.09 WY Uinta Mountain View Hickey Mtn WY7BV,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
20,146.91000,146.31000,600 kHz,-DUP,FM,7GT Casper,None,100.0 Hz,100.0 Hz,023,Both N,Off,56 15529 442.77 WY Natrona Casper N7GT,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
21,147.20000,147.80000,600 kHz,+DUP,FM,7GX Price Wood Hill,Tone,88.5 Hz,88.5 Hz,023,Both N,Off,49 10058 408.68 UT Carbon Price Wood Hill K7GX,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
22,145.27000,144.67000,600 kHz,-DUP,FM,7JL Brighton Scotts Peak,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,49 35 483.48 UT Salt Lake Brighton Scotts Peak K7JL,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
23,146.86000,146.26000,600 kHz,-DUP,FM,7JL Evanston Medicine Butte,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,56 2 471.93 WY Uinta Evanston Medicine Butte K7JL,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
24,145.27000,144.67000,600 kHz,-DUP,FM,7JL Levan Levan Peak,Tone,103.5 Hz,103.5 Hz,023,Both N,Off,49 32 474.26 UT Juab Levan Levan Peak K7JL,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
25,147.18000,147.78000,600 kHz,+DUP,FM,7JL Snowbird Hidden Peak,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,49 34 487.04 UT Utah Snowbird Hidden Peak K7JL,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
26,147.28000,147.88000,600 kHz,+DUP,FM,7ZW Altamont,T Sql,107.2 Hz,107.2 Hz,023,Both N,Off,49 14977 372.27 UT Duchesne Altamont AD7ZW,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
27,146.64000,146.04000,600 kHz,-DUP,FM,AGA Casper Casper Mountain,Tone,173.8 Hz,173.8 Hz,023,Both N,Off,56 7 430.08 WY Natrona Casper Casper Mountain KD7AGA,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
28,147.04000,147.64000,600 kHz,+DUP,FM,B1Q Isleta Pueblo 1505 Hwy 314,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,35 15633 443.50 NM Bernalillo Isleta Pueblo 1505 Hwy 314 AB1Q,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
