Channel Number,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Tone Mode,CTCSS,Rx CTCSS,DCS,DCS Polarity,Select Scan,Comment,Digital Squelch,Digital Code,Your Callsign,Rpt-1 CallSign,Rpt-2 CallSign,Filter,Tx Data Mode,Data Mode,Split Tone Mode,Split CTCSS,Split Rx CTCSS,Split DCS,Split DCS Polarity,Tx Filter,Tx Operating Mode
17,147.06000,147.66000,600 kHz,+DUP,FM,AKK Cedar City Hospital,None,100.0 Hz,100.0 Hz,023,Both N,Off,49 133 258.66 UT Iron Cedar City Hospital N7AKK,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
18,449.75000,444.75000,5.00 MHz,-DUP,FM,AOR St George Utah Hill,Tone,123.0 Hz,123.0 Hz,023,Both N,Off,49 180 163.19 UT Washington St George Utah Hill W7AOR,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
19,447.70000,442.70000,5.00 MHz,-DUP,FM,AZY Lone Pine Alabama Hills,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,6 17992 266.09 CA Inyo Lone Pine Alabama Hills N6AZY,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
20,52.90000,52.40000,500 kHz,-DUP,FM,BKL Lone Pine Owens Valley,Tone,100.0 Hz,141.3 Hz,023,Both N,Off,6 5465 264.50 CA Inyo Lone Pine Owens Valley N6BKL,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
21,52.68000,52.18000,500 kHz,-DUP,FM,BKL Randsburg,Tone,82.5 Hz,141.3 Hz,023,Both N,Off,6 10121 239.13 CA Kern Randsburg N6BKL,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
22,147.03000,147.63000,600 kHz,+DUP,FM,BNG Barstow,None,100.0 Hz,100.0 Hz,023,Both N,Off,6 439 215.17 CA San Bernardino Barstow WD6BNG,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
23,445.68000,440.68000,5.00 MHz,-DUP,FM,BZZ Apple Valley,Tone,141.3 Hz,141.3 Hz,023,Both N,Off,6 12821 256.06 CA San Bernardino Apple Valley KB6BZZ,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
24,145.43000,144.83000,600 kHz,-DUP,FM,Beatty,None,100.0 Hz,100.0 Hz,023,Both N,Off,32 15731 175.51 NV Nye Beatty,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
25,447.58000,442.58000,5.00 MHz,-DUP,FM,CDF Landers Goat Mountain,Tone,173.8 Hz,173.8 Hz,023,Both N,Off,6 1004 235.44 CA San Bernardino Landers Goat Mountain WB6CDF,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
26,147.70500,147.10500,600 kHz,-DUP,FM,CDF Yucca Valley Yucca Mesa Area,Tone,123.0 Hz,123.0 Hz,023,Both N,Off,6 11844 240.70 CA San Bernardino Yucca Valley Yucca Mesa Area WB6CDF,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
