Channel Number,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Tone Mode,CTCSS,Rx CTCSS,DCS,DCS Polarity,Select Scan,Comment,Digital Squelch,Digital Code,Your Callsign,Rpt-1 CallSign,Rpt-2 CallSign,Filter,Tx Data Mode,Data Mode,Split Tone Mode,Split CTCSS,Split Rx CTCSS,Split DCS,Split DCS Polarity,Tx Filter,Tx Operating Mode
32,145.49000,144.89000,600 kHz,-DUP,FM,5SJ Lybrook,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,35 128 440.00 NM Rio Arriba Lybrook NM5SJ,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
33,146.82000,146.22000,600 kHz,-DUP,FM,5SJ Red Rock Roof Butte,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,4 72 507.00 AZ Apache Red Rock Roof Butte NM5SJ,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
34,147.36000,147.96000,600 kHz,+DUP,FM,5XE Albuquerque,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,35 23 517.00 NM Bernalillo Albuquerque KB5XE,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
35,443.50000,438.50000,5.00 MHz,-DUP,FM,5XE Albuquerque,Tone,123.0 Hz,123.0 Hz,023,Both N,Off,35 16953 524.00 NM Bernalillo Albuquerque KE5XE,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
36,144.63500,145.23500,600 kHz,+DUP,FM,7BV Mountain View Hickey Mtn,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,56 14219 484.00 WY Uinta Mountain View Hickey Mtn WY7BV,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
37,147.20000,147.80000,600 kHz,+DUP,FM,7GX Price Wood Hill,Tone,88.5 Hz,88.5 Hz,023,Both N,Off,49 10058 529.00 UT Carbon Price Wood Hill K7GX,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
38,147.28000,147.88000,600 kHz,+DUP,FM,7ZW Altamont,T Sql,107.2 Hz,107.2 Hz,023,Both N,Off,49 14977 469.00 UT Duchesne Altamont AD7ZW,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
39,147.39000,147.99000,600 kHz,+DUP,FM,AKN Forgan,None,100.0 Hz,100.0 Hz,023,Both N,Off,40 4411 481.00 OK Beaver Forgan N5AKN,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
40,145.49000,144.89000,600 kHz,-DUP,FM,BYU Myton Flat Top,Tone,136.5 Hz,136.5 Hz,023,Both N,Off,49 13041 451.00 UT Duchesne Myton Flat Top W7BYU,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
41,146.74000,146.14000,600 kHz,-DUP,FM,CBS Altamont,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,49 253 469.00 UT Duchesne Altamont WB7CBS,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
