Channel Number,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Tone Mode,CTCSS,Rx CTCSS,DCS,DCS Polarity,Select Scan,Comment,Digital Squelch,Digital Code,Your Callsign,Rpt-1 CallSign,Rpt-2 CallSign,Filter,Tx Data Mode,Data Mode,Split Tone Mode,Split CTCSS,Split Rx CTCSS,Split DCS,Split DCS Polarity,Tx Filter,Tx Operating Mode
11,449.75000,444.75000,5.00 MHz,-DUP,FM,0GO Golden Guy Hill,T Sql,103.5 Hz,103.5 Hz,023,Both N,Off,8 265 272.00 CO Jefferson Golden Guy Hill KI0GO,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
12,448.97500,443.97500,5.00 MHz,-DUP,FM,0GV Golden,Tone,123.0 Hz,123.0 Hz,023,Both N,Off,8 137 278.00 CO Jefferson Golden W0GV,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
13,449.55000,444.55000,5.00 MHz,-DUP,FM,0IA Boulder,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,8 11 295.00 CO Boulder Boulder W0IA,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
14,146.76000,146.16000,600 kHz,-DUP,FM,0IA Boulder Gunbarrel Hill,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,8 16 304.00 CO Boulder Boulder Gunbarrel Hill W0IA,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
15,146.91000,146.31000,600 kHz,-DUP,FM,0JZ Gold Hill,Tone,123.0 Hz,127.3 Hz,023,Both N,Off,8 13368 290.00 CO Boulder Gold Hill W0JZ,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
16,147.04500,147.64500,600 kHz,+DUP,FM,0ML Northglenn,Tone,123.0 Hz,123.0 Hz,023,Both N,Off,8 185 302.00 CO Adams Northglenn K0ML,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
17,145.47500,144.87500,600 kHz,-DUP,FM,0SJ Boulder Blue Mountain,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,8 75 292.00 CO Jefferson Boulder Blue Mountain KE0SJ,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
18,145.28000,144.68000,600 kHz,-DUP,FM,0SJ Golden Centennial Cone,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,8 140 269.00 CO Jefferson Golden Centennial Cone KE0SJ,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
19,449.52500,444.52500,5.00 MHz,-DUP,FM,0SJ Golden Centennial Cone,None,100.0 Hz,100.0 Hz,023,Both N,Off,8 138 269.00 CO Jefferson Golden Centennial Cone KE0SJ,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
20,447.75000,442.75000,5.00 MHz,-DUP,FM,0SZ Boulder Lee Hill,T Sql,141.3 Hz,141.3 Hz,023,Both N,Off,8 19 294.00 CO Boulder Boulder Lee Hill N0SZ,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
