Channel Number,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Tone Mode,CTCSS,Rx CTCSS,DCS,DCS Polarity,Select Scan,Comment,Digital Squelch,Digital Code,Your Callsign,Rpt-1 CallSign,Rpt-2 CallSign,Filter,Tx Data Mode,Data Mode,Split Tone Mode,Split CTCSS,Split Rx CTCSS,Split DCS,Split DCS Polarity,Tx Filter,Tx Operating Mode
11,447.05000,442.05000,5.00 MHz,-DUP,FM,0VQ Aspen Aspen Moun,T Sql,136.5 Hz,136.5 Hz,023,Both N,Off,8 260 174.00 CO Pitkin Aspen Aspen Mountain K0VQ,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
12,447.15000,442.15000,5.00 MHz,-DUP,FM,0VQ Carbondale Misso,Tone,136.5 Hz,136.5 Hz,023,Both N,Off,8 6009 190.00 CO Garfield Carbondale Missouri Heights K0VQ,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
13,147.30000,147.90000,600 kHz,+DUP,FM,0VQ Glenwood Springs,Tone,107.2 Hz,107.2 Hz,023,Both N,Off,8 131 208.00 CO Garfield Glenwood Springs Three Mile Ridge K0VQ,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
14,449.95000,444.95000,5.00 MHz,-DUP,FM,5GF Gunnison 449.95,None,100.0 Hz,100.0 Hz,023,Both N,Off,8 161 213.00 CO Gunnison Gunnison K5GF,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
15,444.35000,449.35000,5.00 MHz,+DUP,FM,5ML Eagle Nest Iron,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,35 77 338.00 NM Colfax Eagle Nest Iron Mountain NM5ML,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
16,147.28000,147.88000,600 kHz,+DUP,FM,5ML Raton Sierra Gra,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,35 136 305.00 NM Colfax Raton Sierra Grande NM5ML,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
17,147.22000,147.82000,600 kHz,+DUP,FM,5ML Tres Piedras San,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,35 175 323.00 NM Rio Arriba Tres Piedras San Antonio Mountain NM5ML,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
18,147.39000,147.99000,600 kHz,+DUP,FM,7BN Rawlins 147.39,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,56 55 311.00 WY Carbon Rawlins KD7BN,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
19,146.73000,146.13000,600 kHz,-DUP,FM,7BR Torrington 146.7,None,100.0 Hz,100.0 Hz,023,Both N,Off,56 42 277.00 WY Goshen Torrington KF7BR,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
20,444.12500,449.12500,5.00 MHz,+DUP,FM,7GR Scottsbluff Stag,T Sql,114.8 Hz,114.8 Hz,023,Both N,Off,31 110 252.00 NE Scotts Bluff Scottsbluff Stage Hill WB7GR,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
