Channel Number,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Tone Mode,CTCSS,Rx CTCSS,DCS,DCS Polarity,Select Scan,Comment,Digital Squelch,Digital Code,Your Callsign,Rpt-1 CallSign,Rpt-2 CallSign,Filter,Tx Data Mode,Data Mode,Split Tone Mode,Split CTCSS,Split Rx CTCSS,Split DCS,Split DCS Polarity,Tx Filter,Tx Operating Mode
11,147.33000,147.93000,600 kHz,+DUP,FM,0TX Lakewood Green Mountain,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,8 85 98.00 CO Jefferson Lakewood Green Mountain W0TX,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
12,447.82500,442.82500,5.00 MHz,-DUP,FM,0TX Lakewood St Anthony Medical,DTCS,100.0 Hz,100.0 Hz,073,Both N,Off,8 5805 101.00 CO Jefferson Lakewood St Anthony Medical Campus W0TX,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
13,447.02500,442.02500,5.00 MHz,-DUP,FM,0WF Colorado Springs,Tone,123.0 Hz,123.0 Hz,023,Both N,Off,8 49 2.00 CO El Paso Colorado Springs KF0WF,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
14,449.95000,444.95000,5.00 MHz,-DUP,FM,9SL Aurora,T Sql,77.0 Hz,77.0 Hz,023,Both N,Off,8 8743 98.00 CO Arapahoe Aurora W9SL,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
15,147.13500,147.73500,600 kHz,+DUP,FM,A0L Colorado Springs,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,8 8176 1.00 CO El Paso Colorado Springs AA0L,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
16,448.30000,443.30000,5.00 MHz,-DUP,FM,A0L Colorado Springs,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,8 8200 2.00 CO El Paso Colorado Springs AA0L,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
17,449.15000,444.15000,5.00 MHz,-DUP,DV,AEN Aurora,Tone,136.5 Hz,136.5 Hz,023,Both N,Off,8 8207 95.00 CO Arapahoe Aurora WR0AEN,,,CQCQCQ,WR0AEN B,WR0AEN G,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
18,449.65000,444.65000,5.00 MHz,-DUP,DV,AEN Denver,Tone,136.5 Hz,136.5 Hz,023,Both N,Off,8 8212 100.00 CO Denver Denver WR0AEN,,,CQCQCQ,WR0AEN B,WR0AEN G,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
19,449.67500,444.67500,5.00 MHz,-DUP,DV,AEN Denver,Tone,136.5 Hz,136.5 Hz,023,Both N,Off,8 8213 100.00 CO Denver Denver WR0AEN,,,CQCQCQ,WR0AEN B,WR0AEN G,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
20,147.12000,147.72000,600 kHz,+DUP,FM,ARA Critchell Critchell Mountain,T Sql,88.5 Hz,88.5 Hz,023,Both N,Off,8 59 88.00 CO Jefferson Critchell Critchell Mountain N0ARA,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
21,448.95000,443.95000,5.00 MHz,-DUP,DV,Black Forest,None,100.0 Hz,100.0 Hz,023,Both N,Off,8 17551 24.00 CO El Paso Black Forest,,,CQCQCQ,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
22,449.67500,444.67500,5.00 MHz,-DUP,FM,CGQ Querida,Tone,88.5 Hz,88.5 Hz,023,Both N,Off,8 18872 93.00 CO Custer Querida K0CGQ,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
23,145.16000,144.56000,600 kHz,-DUP,FM,CRA Colorado Springs Cheyenne Mo,T Sql,107.2 Hz,107.2 Hz,023,Both N,Off,8 38 14.00 CO El Paso Colorado Springs Cheyenne Mountain W0CRA,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
24,147.22500,147.82500,600 kHz,+DUP,FM,CRA Larkspur Westcreek,T Sql,107.2 Hz,107.2 Hz,023,Both N,Off,8 83 42.00 CO Douglas Larkspur Westcreek W0CRA,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
25,448.42500,443.42500,5.00 MHz,-DUP,FM,CRA Larkspur Westcreek,T Sql,107.2 Hz,107.2 Hz,023,Both N,Off,8 16547 42.00 CO Douglas Larkspur Westcreek W0CRA,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
26,53.13000,51.43000,,-DUP,FM,CVU Colorado Springs Cheyenne Mo,T Sql,107.2 Hz,107.2 Hz,023,Both N,Off,8 8158 12.00 CO El Paso Colorado Springs Cheyenne Mountain KC0CVU,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
27,145.38500,144.78500,600 kHz,-DUP,DV,CVU Colorado Springs Cheyenne Mo,None,100.0 Hz,100.0 Hz,023,Both N,Off,8 8088 12.00 CO El Paso Colorado Springs Cheyenne Mountain KC0CVU,,,CQCQCQ,KC0CVU C,KC0CVU G,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
28,146.76000,146.16000,600 kHz,-DUP,FM,CVU Colorado Springs Cheyenne Mo,T Sql,107.2 Hz,107.2 Hz,023,Both N,Off,8 41 14.00 CO El Paso Colorado Springs Cheyenne Mountain KC0CVU,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
29,147.34500,147.94500,600 kHz,+DUP,FM,CVU Colorado Springs Cheyenne Mo,T Sql,107.2 Hz,107.2 Hz,023,Both N,Off,8 47 14.00 CO El Paso Colorado Springs Cheyenne Mountain KC0CVU,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
30,446.91250,441.91250,5.00 MHz,-DUP,DV,CVU Colorado Springs Cheyenne Mo,None,100.0 Hz,100.0 Hz,023,Both N,Off,8 8087 12.00 CO El Paso Colorado Springs Cheyenne Mountain KC0CVU,,,CQCQCQ,KC0CVU B,KC0CVU G,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
31,448.00000,443.00000,5.00 MHz,-DUP,FM,CVU Colorado Springs Cheyenne Mo,Tone,107.2 Hz,107.2 Hz,023,Both N,Off,8 269 14.00 CO El Paso Colorado Springs Cheyenne Mountain KC0CVU,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
32,448.10000,443.10000,5.00 MHz,-DUP,FM,CVU Colorado Springs Cheyenne Mo,T Sql,107.2 Hz,107.2 Hz,023,Both N,Off,8 53 14.00 CO El Paso Colorado Springs Cheyenne Mountain KC0CVU,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
33,147.36000,147.96000,600 kHz,+DUP,FM,CVU Lake George Badger Mountain,T Sql,107.2 Hz,107.2 Hz,023,Both N,Off,8 170 66.00 CO Park Lake George Badger Mountain KC0CVU,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
34,448.07500,443.07500,5.00 MHz,-DUP,FM,EHP Denver,Tone,123.0 Hz,123.0 Hz,023,Both N,Off,8 91 101.00 CO Denver Denver N5EHP,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
35,145.49000,144.89000,600 kHz,-DUP,FM,EKR Canon City Fremont Peak,T Sql,103.5 Hz,103.5 Hz,023,Both N,Off,8 30 61.00 CO Fremont Canon City Fremont Peak WD0EKR,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
36,447.75000,442.75000,5.00 MHz,-DUP,FM,EKR Canon City Fremont Peak,T Sql,103.5 Hz,103.5 Hz,023,Both N,Off,8 32 61.00 CO Fremont Canon City Fremont Peak WD0EKR,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
37,448.75000,443.75000,5.00 MHz,-DUP,FM,ELY Lakewood,T Sql,100.0 Hz,100.0 Hz,023,Both N,Off,8 8204 99.00 CO Jefferson Lakewood N0ELY,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
38,449.32500,444.32500,5.00 MHz,-DUP,FM,EPS Woodland Park Paradise Pines,T Sql,103.5 Hz,103.5 Hz,023,Both N,Off,8 9503 26.00 CO Teller Woodland Park Paradise Pines KA4EPS,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
39,447.52500,442.52500,5.00 MHz,-DUP,FM,ESQ Castle Rock Devils Head (Pik,T Sql,146.2 Hz,146.2 Hz,023,Both N,Off,8 8190 54.00 CO Douglas Castle Rock Devils Head (Pike National Forest) N0ESQ,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
40,447.52500,442.52500,5.00 MHz,-DUP,FM,ESQ Parker Hess Reservoir,Tone,203.5 Hz,146.2 Hz,023,Both N,Off,8 8189 72.00 CO Douglas Parker Hess Reservoir N0ESQ,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
41,447.92500,442.92500,5.00 MHz,-DUP,FM,FEZ Denver,T Sql,100.0 Hz,100.0 Hz,023,Both N,Off,8 8196 100.00 CO Denver Denver K0FEZ,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
42,449.90000,444.90000,5.00 MHz,-DUP,FM,FSX Punkin Center,Tone,107.2 Hz,107.2 Hz,023,Both N,Off,8 7395 95.00 CO Lincoln Punkin Center N1FSX,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
43,145.34000,144.74000,600 kHz,-DUP,FM,GUQ Evergreen,Tone,103.5 Hz,127.3 Hz,023,Both N,Off,8 73 98.00 CO Jefferson Evergreen KE4GUQ,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
44,447.55000,442.55000,5.00 MHz,-DUP,FM,IFI Colorado Springs,Tone,123.0 Hz,123.0 Hz,023,Both N,Off,8 8191 2.00 CO El Paso Colorado Springs WA6IFI,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
45,146.91000,146.31000,600 kHz,-DUP,FM,IRP Colorado Springs,T Sql,151.4 Hz,151.4 Hz,023,Both N,Off,8 43 2.00 CO El Paso Colorado Springs K0IRP,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
46,447.35000,442.35000,5.00 MHz,-DUP,FM,IRP Colorado Springs,Tone,151.4 Hz,151.4 Hz,023,Both N,Off,8 50 2.00 CO El Paso Colorado Springs K0IRP,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
47,147.24000,147.84000,600 kHz,+DUP,FM,J0T Pueblo,Tone,103.5 Hz,103.5 Hz,023,Both N,Off,8 3747 70.00 CO Pueblo Pueblo KJ0T,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
48,447.17500,442.17500,5.00 MHz,-DUP,FM,JRL Denver Broadway Plaza Lofts,T Sql,100.0 Hz,100.0 Hz,023,Both N,Off,8 12216 102.00 CO Denver Denver Broadway Plaza Lofts W0JRL,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
49,447.97500,442.97500,5.00 MHz,-DUP,FM,JSC Canon City Colorado,T Sql,100.0 Hz,100.0 Hz,023,Both N,Off,8 7185 60.00 CO Fremont Canon City Colorado K0JSC,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
50,447.25000,442.25000,5.00 MHz,-DUP,FM,JSC Canon City Fremont Peak,T Sql,100.0 Hz,100.0 Hz,023,Both N,Off,8 8879 61.00 CO Fremont Canon City Fremont Peak K0JSC,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
51,449.97500,444.97500,5.00 MHz,-DUP,FM,JSC Larkspur Westcreek,T Sql,100.0 Hz,100.0 Hz,023,Both N,Off,8 15903 42.00 CO Douglas Larkspur Westcreek K0JSC,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
52,449.97500,444.97500,5.00 MHz,-DUP,FM,JSC Pueblo Cedarwood,T Sql,100.0 Hz,100.0 Hz,023,Both N,Off,8 5369 94.00 CO Pueblo Pueblo Cedarwood K0JSC,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
53,447.27500,442.27500,5.00 MHz,-DUP,FM,JSC Pueblo Metro,T Sql,100.0 Hz,100.0 Hz,023,Both N,Off,8 9527 70.00 CO Pueblo Pueblo Metro K0JSC,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
54,448.97500,443.97500,5.00 MHz,-DUP,FM,JSC Pueblo West,T Sql,100.0 Hz,100.0 Hz,023,Both N,Off,8 7994 61.00 CO Pueblo Pueblo West K0JSC,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
55,448.32500,443.32500,5.00 MHz,-DUP,FM,JSC Westcliffe,T Sql,100.0 Hz,100.0 Hz,023,Both N,Off,8 15584 98.00 CO Custer Westcliffe K0JSC,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
56,146.71500,146.11500,600 kHz,-DUP,FM,JXN Denver,T Sql,123.0 Hz,123.0 Hz,023,Both N,Off,8 79 101.00 CO Denver Denver N0JXN,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
